[行业>市值]
+----------+--------+----------+--------+---------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+---------+------+---------+---------+
| 电网设备 | 600406 | 国电南瑞 | 1873.0 |  123.5  | -0.6 |   0.0   |   4.1   |
| 电网设备 | 600089 | 特变电工 | 1027.0 |   8.2   | 3.1  |   4.9   |   4.1   |
| 电网设备 | 601877 | 正泰电器 | 801.7  |  34.1   | 0.3  |   0.2   |   3.2   |
| 电网设备 | 603606 | 东方电缆 | 507.3  |  45.6   | -1.3 |  10.5   |  10.4   |
| 电网设备 | 600885 | 宏发股份 | 431.1  |  38.6   | -0.3 |  -0.4   |   3.5   |
| 电网设备 | 600517 | 国网英大 | 303.1  |  47.9   | 1.3  |   0.8   |   1.3   |
| 电网设备 | 002028 | 思源电气 | 277.3  |  45.6   | 1.2  |   1.7   |   0.4   |
| 电网设备 | 601179 | 中国西电 | 252.7  |  48.4   | 0.8  |   1.1   |   2.5   |
| 电网设备 | 000400 | 许继电气 | 208.9  |  51.9   | -0.9 |   2.0   |   5.2   |
| 电网设备 | 300001 |  特锐德  | 188.8  |  276.4  | -1.0 |   1.7   |   5.2   |
| 电网设备 | 002706 | 良信股份 | 176.7  |  61.2   | -0.4 |   8.0   |  14.5   |
| 电网设备 | 601567 | 三星医疗 | 166.2  |  25.3   | 1.0  |   8.8   |   6.8   |
| 电网设备 | 002498 | 汉缆股份 | 145.7  |  27.0   | 5.3  |   8.2   |   8.7   |
| 电网设备 | 601126 | 四方股份 | 137.3  |  26.6   | 0.7  |   8.1   |  16.2   |
| 电网设备 | 688248 | 南网科技 | 135.5  |  748.3  | 0.2  |  -3.9   |  -0.8   |
| 电网设备 | 600577 | 精达股份 | 124.7  |  30.5   | -1.4 |   5.4   |   9.1   |
| 电网设备 | 600869 | 远东股份 | 117.2  |  33.8   | 6.0  |   5.4   |  12.6   |
| 电网设备 | 600312 | 平高电气 | 113.4  |  70.9   | 3.2  |   6.4   |   8.0   |
| 电网设备 | 002121 | 科陆电子 | 111.5  |  -59.3  | 10.0 |  17.3   |  13.6   |
| 电网设备 | 600550 | 保变电气 | 104.0  |  205.9  | 0.0  |   0.5   |   3.5   |
