[行业>市值]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 航天航空 | 600893 | 航发动力 | 1230.0 | 464.2  | -0.5 |   7.3   |  11.8   |
| 航天航空 | 600760 | 中航沈飞 | 1191.0 |  58.2  | 3.0  |   3.0   |   5.3   |
| 航天航空 | 000768 | 中航西飞 | 865.8  | 140.0  | 4.9  |   7.9   |   9.7   |
| 航天航空 | 002013 | 中航机电 | 491.0  |  46.2  | 4.0  |   2.4   |   3.8   |
| 航天航空 | 600765 | 中航重机 | 468.8  |  56.4  | 3.6  |   9.3   |  11.7   |
| 航天航空 | 600862 | 中航高科 | 409.3  |  35.1  | 3.6  |   4.3   |   8.2   |
| 航天航空 | 600372 | 中航电子 | 383.3  |  47.6  | 2.7  |   2.1   |   6.0   |
| 航天航空 | 000738 | 航发控制 | 375.4  |  43.9  | 0.1  |   2.9   |   4.5   |
| 航天航空 | 300474 |  景嘉微  | 314.0  | 101.6  | 2.9  |   9.5   |  10.3   |
| 航天航空 | 600038 | 中直股份 | 277.1  | 614.8  | 1.7  |   4.8   |   9.6   |
| 航天航空 | 600118 | 中国卫星 | 243.5  | 124.6  | 1.2  |   1.3   |   0.8   |
| 航天航空 | 300775 | 三角防务 | 241.9  |  42.7  | 3.5  |   7.0   |  16.8   |
| 航天航空 | 688297 | 中无人机 | 218.4  |  40.6  | 0.0  |   0.0   |   0.0   |
| 航天航空 | 600316 | 洪都航空 | 217.8  | 1189.2 | 1.5  |   6.0   |   5.0   |
| 航天航空 | 002985 | 北摩高科 | 202.0  |  32.7  | 0.6  |   3.3   |   5.0   |
| 航天航空 | 600879 | 航天电子 | 180.3  |  27.1  | 2.3  |   3.0   |   3.3   |
| 航天航空 | 300696 |  爱乐达  | 133.1  |  50.4  | 4.1  |   5.3   |   9.6   |
| 航天航空 | 688586 | 江航装备 | 104.1  |  46.0  | 0.6  |   6.3   |  13.2   |
| 航天航空 | 300581 | 晨曦航空 |  81.2  | 317.3  | 5.0  |  13.7   |  19.1   |
| 航天航空 | 002023 | 海特高新 |  78.4  |  93.8  | 2.2  |   3.4   |   5.6   |
| 航天航空 | 688239 | 航宇科技 |  76.2  |  36.7  | 0.6  |   0.1   |   3.0   |
| 航天航空 | 003009 | 中天火箭 |  73.5  |  47.9  | 1.5  |   4.2   |   0.5   |
| 航天航空 | 600391 | 航发科技 |  65.2  | -66.2  | 1.5  |   2.3   |   3.4   |
| 航天航空 | 300722 | 新余国科 |  62.0  | 139.8  | 1.6  |   4.3   |   7.9   |
| 航天航空 | 300900 | 广联航空 |  58.9  |  87.5  | 3.6  |   7.8   |   8.6   |
| 航天航空 | 000697 | 炼石航空 |  55.5  | -16.4  | 10.0 |  16.5   |  18.2   |
| 航天航空 | 688510 | 航亚科技 |  51.9  | 673.3  | 11.6 |  10.7   |   9.3   |
| 航天航空 | 002297 | 博云新材 |  47.7  | 120.5  | 2.8  |   4.0   |   4.8   |
| 航天航空 | 688287 | 观典防务 |  43.6  | 177.8  | 2.7  |   3.5   |   4.0   |
| 航天航空 | 603261 | 立航科技 |  38.6  | 393.9  | 2.1  |   6.4   |  10.5   |
| 航天航空 | 688237 | 超卓航科 |  37.0  |  35.9  | 0.0  |   0.0   |   0.0   |
| 航天航空 | 002933 | 新兴装备 |  35.6  |  93.0  | 0.7  |   1.5   |  10.4   |
| 航天航空 | 688070 | 纵横股份 |  35.5  | -388.0 | 4.6  |  13.3   |  16.0   |
| 航天航空 | 688685 |  迈信林  |  31.2  |  68.2  | 2.8  |   4.1   |   7.2   |
| 航天航空 | 300965 | 恒宇信通 |  29.1  | 1058.5 | 2.6  |   5.3   |   4.2   |
| 航天航空 | 300424 | 航新科技 |  28.4  | -43.1  | 2.2  |   4.1   |   5.6   |
| 航天航空 | 300159 |  ST新研  |  28.3  | -22.1  | 3.8  |   2.7   |   3.3   |
| 航天航空 | 300719 | 安达维尔 |  27.4  | -54.7  | 5.8  |   8.5   |  10.3   |
+----------+--------+----------+--------+--------+------+---------+---------+
 




 [行业>单日涨幅]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 航天航空 | 688510 | 航亚科技 |  51.9  | 673.3  | 11.6 |  10.7   |   9.3   |
| 航天航空 | 000697 | 炼石航空 |  55.5  | -16.4  | 10.0 |  16.5   |  18.2   |
| 航天航空 | 300719 | 安达维尔 |  27.4  | -54.7  | 5.8  |   8.5   |  10.3   |
| 航天航空 | 300581 | 晨曦航空 |  81.2  | 317.3  | 5.0  |  13.7   |  19.1   |
| 航天航空 | 000768 | 中航西飞 | 865.8  | 140.0  | 4.9  |   7.9   |   9.7   |
| 航天航空 | 688070 | 纵横股份 |  35.5  | -388.0 | 4.6  |  13.3   |  16.0   |
| 航天航空 | 300696 |  爱乐达  | 133.1  |  50.4  | 4.1  |   5.3   |   9.6   |
| 航天航空 | 002013 | 中航机电 | 491.0  |  46.2  | 4.0  |   2.4   |   3.8   |
| 航天航空 | 300159 |  ST新研  |  28.3  | -22.1  | 3.8  |   2.7   |   3.3   |
| 航天航空 | 600765 | 中航重机 | 468.8  |  56.4  | 3.6  |   9.3   |  11.7   |
| 航天航空 | 300900 | 广联航空 |  58.9  |  87.5  | 3.6  |   7.8   |   8.6   |
| 航天航空 | 600862 | 中航高科 | 409.3  |  35.1  | 3.6  |   4.3   |   8.2   |
| 航天航空 | 300775 | 三角防务 | 241.9  |  42.7  | 3.5  |   7.0   |  16.8   |
| 航天航空 | 600760 | 中航沈飞 | 1191.0 |  58.2  | 3.0  |   3.0   |   5.3   |
| 航天航空 | 300474 |  景嘉微  | 314.0  | 101.6  | 2.9  |   9.5   |  10.3   |
| 航天航空 | 002297 | 博云新材 |  47.7  | 120.5  | 2.8  |   4.0   |   4.8   |
| 航天航空 | 688685 |  迈信林  |  31.2  |  68.2  | 2.8  |   4.1   |   7.2   |
| 航天航空 | 600372 | 中航电子 | 383.3  |  47.6  | 2.7  |   2.1   |   6.0   |
| 航天航空 | 688287 | 观典防务 |  43.6  | 177.8  | 2.7  |   3.5   |   4.0   |
| 航天航空 | 300965 | 恒宇信通 |  29.1  | 1058.5 | 2.6  |   5.3   |   4.2   |
| 航天航空 | 600879 | 航天电子 | 180.3  |  27.1  | 2.3  |   3.0   |   3.3   |
| 航天航空 | 300424 | 航新科技 |  28.4  | -43.1  | 2.2  |   4.1   |   5.6   |
| 航天航空 | 002023 | 海特高新 |  78.4  |  93.8  | 2.2  |   3.4   |   5.6   |
| 航天航空 | 603261 | 立航科技 |  38.6  | 393.9  | 2.1  |   6.4   |  10.5   |
| 航天航空 | 600038 | 中直股份 | 277.1  | 614.8  | 1.7  |   4.8   |   9.6   |
| 航天航空 | 300722 | 新余国科 |  62.0  | 139.8  | 1.6  |   4.3   |   7.9   |
| 航天航空 | 600316 | 洪都航空 | 217.8  | 1189.2 | 1.5  |   6.0   |   5.0   |
| 航天航空 | 600391 | 航发科技 |  65.2  | -66.2  | 1.5  |   2.3   |   3.4   |
| 航天航空 | 003009 | 中天火箭 |  73.5  |  47.9  | 1.5  |   4.2   |   0.5   |
| 航天航空 | 600118 | 中国卫星 | 243.5  | 124.6  | 1.2  |   1.3   |   0.8   |
| 航天航空 | 002933 | 新兴装备 |  35.6  |  93.0  | 0.7  |   1.5   |  10.4   |
| 航天航空 | 002985 | 北摩高科 | 202.0  |  32.7  | 0.6  |   3.3   |   5.0   |
| 航天航空 | 688586 | 江航装备 | 104.1  |  46.0  | 0.6  |   6.3   |  13.2   |
| 航天航空 | 688239 | 航宇科技 |  76.2  |  36.7  | 0.6  |   0.1   |   3.0   |
| 航天航空 | 000738 | 航发控制 | 375.4  |  43.9  | 0.1  |   2.9   |   4.5   |
| 航天航空 | 688297 | 中无人机 | 218.4  |  40.6  | 0.0  |   0.0   |   0.0   |
| 航天航空 | 688237 | 超卓航科 |  37.0  |  35.9  | 0.0  |   0.0   |   0.0   |
| 航天航空 | 600893 | 航发动力 | 1230.0 | 464.2  | -0.5 |   7.3   |  11.8   |
+----------+--------+----------+--------+--------+------+---------+---------+
