[行业>三日涨幅]
+------------+--------+----------+--------+---------+------+---------+---------+
|    行业    |  代码  |   名称   |  市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+------------+--------+----------+--------+---------+------+---------+---------+
|  食品饮料  | 003030 | 祖名股份 |  32.4  |  104.5  | 10.0 |  23.8   |  22.4   |
|  食品饮料  | 603102 | 百合股份 |  29.8  |  23.9   | 10.0 |  15.5   |  15.6   |
|  通用设备  | 001226 | 拓山重工 |  38.8  |  37.7   | 10.0 |  33.1   |  110.9  |
|  通用设备  | 002843 | 泰嘉股份 |  28.8  |  46.6   | 10.0 |  33.1   |  43.9   |
|  通用设备  | 002514 | 宝馨科技 |  46.4  |  207.8  | 10.0 |  33.1   |  25.5   |
|  通用设备  | 300503 | 昊志机电 |  40.1  |  51.8   | 20.0 |  30.9   |  43.2   |
|  通用设备  | 002747 |  埃斯顿  | 220.2  |  91.6   | 10.0 |  25.6   |  32.6   |
|  通用设备  | 000530 | 冰山冷热 |  43.5  |  -85.3  | 10.0 |  16.7   |  23.4   |
|  通用设备  | 688003 | 天准科技 |  63.0  |  -46.9  | 12.1 |  15.8   |  15.9   |
|  通用设备  | 300885 | 海昌新材 |  32.6  |  37.4   | 10.0 |  15.2   |  12.5   |
|  通用设备  | 688165 | 埃夫特-U |  55.3  |  -41.1  | 11.5 |  14.5   |  24.4   |
|  通用设备  | 002896 | 中大力德 |  27.2  |  39.1   | 10.0 |  12.2   |  39.6   |
|  通用设备  | 600860 | 京城股份 | 102.5  | -2049.1 | 10.0 |   9.3   |   7.8   |
|  通用设备  | 002347 | 泰尔股份 |  31.8  | 1168.8  | 9.9  |   2.8   |  37.0   |
|  通信设备  | 002977 | 天箭科技 |  44.7  |  59.3   | 10.0 |  13.9   |  13.2   |
|  通信设备  | 000561 | 烽火电子 |  50.2  |  -35.8  | 10.1 |  11.4   |  12.6   |
|  通信设备  | 000070 | 特发信息 |  57.0  |  201.2  | 9.9  |   9.9   |   4.5   |
|  贸易行业  | 001316 | 润贝航科 |  40.7  |  54.1   | 10.0 |  74.3   |  74.3   |
|    证券    | 002926 | 华西证券 | 220.2  |  -32.4  | 10.0 |   9.4   |   9.8   |
|    证券    | 002797 | 第一创业 | 282.0  |  98.1   | 10.0 |   8.8   |   8.8   |
|  装修装饰  | 001212 | 中旗新材 |  54.2  |  77.2   | 10.0 |   6.0   |  -12.9  |
|  装修建材  | 002631 | 德尔未来 |  45.5  |  -42.7  | 10.1 |  22.1   |  21.3   |
|  航运港口  | 601975 | 招商南油 | 215.0  |  52.0   | 9.9  |  15.4   |  24.1   |
|  航天航空  | 000697 | 炼石航空 |  55.5  |  -16.4  | 10.0 |  16.5   |  18.2   |
|  航天航空  | 688510 | 航亚科技 |  51.9  |  673.3  | 11.6 |  10.7   |   9.3   |
|  石油行业  | 600777 | 新潮能源 | 187.7  |   8.9   | 10.0 |  10.0   |   8.2   |
|  电网设备  | 002058 |  威尔泰  |  24.8  | -278.1  | 10.0 |  33.1   |  65.5   |
|  电网设备  | 002953 | 日丰股份 |  44.5  |  38.5   | 10.0 |  33.1   |  33.3   |
|  电网设备  | 001208 | 华菱线缆 |  73.3  |  62.9   | 10.0 |  33.1   |  28.9   |
|  电网设备  | 002451 | 摩恩电气 |  37.4  |  96.6   | 9.9  |  33.0   |  37.0   |
|  电网设备  | 002121 | 科陆电子 | 111.5  |  -59.3  | 10.0 |  17.3   |  13.6   |
|  电网设备  | 688676 | 金盘科技 | 102.7  |  61.2   | 13.9 |   8.7   |   7.7   |
|  电网设备  | 603191 | 望变电气 |  86.3  |  58.9   | 10.0 |   7.9   |  27.5   |
|    电机    | 002892 |  科力尔  |  49.2  |  77.1   | 10.0 |  21.0   |  23.4   |
|    电机    | 003021 | 兆威机电 |  95.2  |  104.9  | 10.0 |  14.3   |  12.6   |
|  电子元件  | 300747 | 锐科激光 | 179.1  |  214.2  | 15.8 |  22.6   |  25.2   |
|  电子元件  | 002724 |  海洋王  |  90.9  |  134.9  | 10.0 |  13.0   |  10.4   |
|  电子元件  | 688103 | 国力股份 |  51.2  |  106.2  | 14.4 |  12.8   |   9.2   |
|  电子元件  | 600353 | 旭光电子 |  45.7  |  107.2  | 9.9  |  11.3   |  13.5   |
|  电子元件  | 603936 | 博敏电子 |  66.6  |  41.0   | 10.0 |   8.8   |  23.1   |
|  电力行业  | 605580 | 恒盛能源 |  28.7  |  17.7   | 10.0 |  13.8   |  14.5   |
|  电力行业  | 000899 | 赣能股份 |  63.4  | -1562.1 | 10.0 |  11.3   |   8.2   |
|  生物制品  | 688276 | 百克生物 | 247.0  |  356.6  | 10.8 |  11.2   |  11.4   |
|  物流行业  | 605050 |  福然德  |  67.2  |  23.9   | 10.0 |  17.9   |  21.2   |
|  煤炭行业  | 600348 | 华阳股份 | 367.0  |   7.0   | 10.0 |  20.2   |  22.4   |
|  煤炭行业  | 600725 | 云维股份 |  56.7  |  196.6  | 10.1 |   9.8   |  11.1   |
|    游戏    | 002168 | 惠程科技 |  30.5  |  -26.5  | 10.1 |  11.1   |  14.8   |
|  消费电子  | 002866 | 传艺科技 |  50.4  |  28.0   | 10.0 |  33.1   |  53.9   |
|  消费电子  | 003028 | 振邦智能 |  67.2  |  39.5   | 10.0 |  33.1   |  77.4   |
|  消费电子  | 600745 | 闻泰科技 | 1005.0 |  50.0   | 10.0 |  25.2   |  20.1   |
|  消费电子  | 002655 | 共达电声 |  56.6  |  73.2   | 10.0 |  24.7   |  28.1   |
|  消费电子  | 600203 | 福日电子 |  45.7  |  45.3   | 10.0 |  13.9   |  13.2   |
|  消费电子  | 002547 | 春兴精工 |  45.4  |  67.8   | 10.1 |  13.9   |  14.2   |
|  消费电子  | 002976 | 瑞玛精密 |  27.3  |  39.3   | 10.0 |   9.4   |  10.4   |
| 汽车零部件 | 603758 | 秦安股份 |  52.9  |  32.4   | 10.0 |  33.3   |  63.4   |
| 汽车零部件 | 002454 | 松芝股份 |  83.2  |  103.1  | 10.0 |  33.2   |  77.6   |
| 汽车零部件 | 002355 | 兴民智通 |  48.3  |  -19.0  | 10.0 |  33.2   |  47.5   |
| 汽车零部件 | 603917 | 合力科技 |  39.1  |  84.6   | 10.0 |  33.1   |  39.7   |
| 汽车零部件 | 002101 | 广东鸿图 | 135.9  |  46.3   | 10.0 |  29.3   |  47.8   |
| 汽车零部件 | 002703 | 浙江世宝 | 122.9  | -761.8  | 10.0 |  26.1   |  67.8   |
| 汽车零部件 | 601717 |  郑煤机  | 271.6  |  10.0   | 10.0 |  16.8   |  18.5   |
| 汽车零部件 | 600609 | 金杯汽车 |  85.9  |  72.9   | 10.1 |  10.3   |  14.5   |
| 汽车零部件 | 000622 | 恒立实业 |  21.4  | -166.8  | 10.0 |  10.0   |  12.8   |
| 汽车零部件 | 002283 | 天润工业 |  86.4  |  23.0   | 10.0 |   9.9   |   9.9   |
|  汽车服务  | 600653 | 申华控股 |  58.4  |  639.9  | 9.9  |   9.1   |   5.6   |
|  汽车整车  | 000868 | 安凯客车 |  59.8  |  -37.4  | 10.0 |  33.0   |  55.2   |
|  汽车整车  | 000625 | 长安汽车 | 2019.0 |  11.1   | 10.0 |  23.1   |  39.9   |
|  汽车整车  | 600213 | 亚星客车 |  32.8  |  -18.8  | 10.0 |  21.2   |  35.5   |
|  汽车整车  | 000572 | 海马汽车 | 117.6  |  -48.2  | 10.0 |  10.8   |  15.5   |
|  汽车整车  | 600006 | 东风汽车 | 175.6  |  37.0   | 10.0 |   7.5   |  12.4   |
|  橡胶制品  | 600469 | 风神股份 |  36.5  |  -22.1  | 9.9  |   8.5   |   6.8   |
|  有色金属  | 002540 | 亚太科技 |  95.8  |  28.7   | 10.1 |  12.4   |  19.7   |
|  有色金属  | 601677 | 明泰铝业 | 236.9  |  10.0   | 10.0 |  11.8   |   9.4   |
|  有色金属  | 600219 | 南山铝业 | 455.3  |  15.8   | 10.1 |   8.9   |   5.8   |
|  有色金属  | 002379 | 宏创控股 |  33.6  |  76.2   | 10.0 |   8.4   |   2.5   |
|  旅游酒店  | 301073 | 君亭酒店 |  84.9  |  541.0  | 13.2 |  44.4   |  42.6   |
|  旅游酒店  | 300859 | 西域旅游 |  52.1  |  -74.2  | 20.0 |  41.0   |  38.1   |
|  旅游酒店  | 002033 | 丽江股份 |  49.1  |  -43.4  | 10.0 |  28.9   |  28.7   |
|  旅游酒店  | 603199 | 九华旅游 |  30.4  | -137.0  | 10.0 |  25.7   |  24.2   |
|  旅游酒店  | 000428 | 华天酒店 |  45.2  |  -34.0  | 9.9  |  21.3   |  15.0   |
|  旅游酒店  | 002707 | 众信旅游 |  63.8  |  -28.0  | 10.0 |  18.5   |  15.0   |
|  旅游酒店  | 000610 | 西安旅游 |  24.2  |  -17.7  | 10.0 |  18.3   |  14.4   |
|  旅游酒店  | 000721 | 西安饮食 |  28.9  |  -14.3  | 10.0 |  16.9   |  16.7   |
|  文化传媒  | 000892 | 欢瑞世纪 |  35.6  |  72.1   | 10.0 |  19.4   |  23.1   |
| 房地产服务 | 002188 | 巴士在线 |  19.3  |  14.1   | 10.0 |  17.4   |  30.2   |
| 房地产开发 | 600503 | 华丽家族 |  53.0  |  20.4   | 10.0 |  11.8   |  12.6   |
|   小金属   | 000970 | 中科三环 | 208.6  |  31.4   | 10.0 |  25.7   |  31.0   |
|   小金属   | 002182 | 云海金属 | 182.7  |  15.0   | 10.0 |  22.4   |  26.5   |
|   小金属   | 002428 | 云南锗业 |  84.5  |  241.7  | 10.0 |  12.1   |  13.9   |
|   小金属   | 002056 | 横店东磁 | 440.2  |  30.1   | 10.0 |  10.9   |   5.3   |
|  家电行业  | 603551 | 奥普家居 |  37.9  |  34.0   | 10.0 |  13.9   |  10.3   |
|  家电行业  | 603677 | 奇精机械 |  24.5  |  28.0   | 10.0 |  13.6   |  13.4   |
|  塑料制品  | 603051 | XD鹿山新 |  72.7  |  55.5   | 10.0 |  33.3   |  31.9   |
|  塑料制品  | 002838 | 道恩股份 | 120.8  |  58.9   | 10.0 |  33.1   |  55.5   |
|  塑料制品  | 300539 | 横河精密 |  20.8  |  103.2  | 20.0 |  23.5   |  24.2   |
|  塑料制品  | 603010 | 万盛股份 | 109.5  |  21.3   | 10.0 |  10.5   |   8.2   |
|  塑料制品  | 688323 |  瑞华泰  |  44.6  |  90.8   | 11.3 |  10.0   |   7.5   |
|   半导体   | 688262 | 国芯科技 | 122.4  | 9955.6  | 11.3 |  27.3   |  32.2   |
|   半导体   | 002079 | 苏州固锝 | 118.1  |  49.9   | 10.0 |  20.3   |  37.1   |
|   半导体   | 300458 | 全志科技 | 171.8  |  55.9   | 13.4 |  15.8   |  23.0   |
