[行业>三日涨幅]
+--------------+--------+-------------+--------+----------+------+---------+---------+
|     行业     |  代码  |    名称     |  市值  |    pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+--------------+--------+-------------+--------+----------+------+---------+---------+
|   食品饮料   | 300791 |  仙乐健康   |  51.9  |   88.6   | 4.7  |   9.4   |   6.2   |
|   食品饮料   | 002597 |  金禾实业   | 237.7  |   13.4   | 4.9  |   8.2   |   6.3   |
|   风电设备   | 600416 |  湘电股份   | 234.0  |  116.6   | 5.7  |   3.2   |   5.6   |
|  非金属材料  | 300395 |   菲利华    | 241.6  |   66.9   | 3.1  |  14.8   |  11.7   |
|  非金属材料  | 300035 |  中科电气   | 218.9  |   42.5   | 4.7  |   8.0   |   1.0   |
|  非金属材料  | 600516 |  方大炭素   | 298.0  |  221.0   | 3.9  |   4.5   |   3.2   |
|  非金属材料  | 002130 |  沃尔核材   |  78.4  |   18.3   | 3.3  |   3.7   |   5.8   |
|     银行     | 600919 |  江苏银行   | 1035.0 |   3.9    | 3.2  |   5.7   |   6.0   |
|     银行     | 002839 |  张家港行   | 114.3  |   6.6    | 3.3  |   2.9   |   3.9   |
|   铁路公路   | 002627 |  三峡旅游   |  45.3  |   79.6   | 3.0  |   6.0   |   6.2   |
|   钢铁行业   | 002978 |  安宁股份   | 150.7  |   10.6   | 3.9  |   6.9   |   8.7   |
|   钢铁行业   | 002478 |  常宝股份   |  42.9  |   27.5   | 3.0  |   3.3   |  -0.8   |
|   钢铁行业   | 000708 |  中信特钢   | 1039.0 |   13.3   | 3.9  |   2.1   |   5.3   |
|   采掘行业   | 603619 |  中曼石油   |  83.8  |   28.8   | 3.8  |   8.6   |   6.1   |
|   酿酒行业   | 000858 |   五粮液    | 7750.0 |   17.9   | 3.5  |  10.7   |   8.8   |
|   造纸印刷   | 000695 |  滨海能源   |  23.3  |  -40.5   | 3.5  |  10.4   |  26.7   |
|   造纸印刷   | 603607 |  京华激光   |  24.1  |   17.8   | 3.4  |   4.8   |   3.9   |
|   造纸印刷   | 603165 |  荣晟环保   |  37.6  |   11.8   | 3.5  |   4.8   |   5.1   |
|   通用设备   | 002943 |  宇晶股份   |  56.2  |   76.5   | 5.7  |  23.4   |  14.0   |
|   通用设备   | 000837 |  秦川机床   |  79.8  |   33.2   | 5.1  |  14.0   |  15.9   |
|   通用设备   | 002158 |  汉钟精机   | 130.4  |   35.8   | 4.3  |  13.1   |  19.0   |
|   通用设备   | 300971 |  博亚精工   |  22.2  |   41.1   | 5.7  |  11.1   |  11.5   |
|   通用设备   | 688577 |  浙海德曼   |  23.5  |   39.6   | 3.0  |  11.1   |  10.8   |
|   通用设备   | 300988 |  津荣天宇   |  31.7  |   42.7   | 5.0  |  10.1   |  12.8   |
|   通用设备   | 002438 |  江苏神通   |  75.1  |   25.4   | 3.4  |  10.0   |  11.9   |
|   通用设备   | 002903 |  宇环数控   |  24.4  |   23.3   | 4.6  |   9.9   |  12.1   |
|   通用设备   | 002685 |  华东重机   |  38.7  |   39.3   | 4.1  |   9.4   |  16.0   |
|   通用设备   | 300024 |   机器人    | 165.6  |  -70.9   | 5.7  |   9.0   |  18.0   |
|   通用设备   | 603915 |  国茂股份   | 150.7  |   58.2   | 5.1  |   8.9   |  21.5   |
|   通用设备   | 688251 |  井松智能   |  25.9  |   40.0   | 5.2  |   8.5   |   8.4   |
|   通用设备   | 300946 |   恒而达    |  46.4  |   43.7   | 3.6  |   8.2   |   9.2   |
|   通用设备   | 000969 |  安泰科技   |  94.4  |   27.4   | 5.0  |   7.8   |   8.1   |
|   通用设备   | 603308 |  应流股份   | 116.4  |   43.9   | 3.2  |   7.7   |   8.9   |
|   通用设备   | 300984 |  金沃股份   |  23.6  |   63.1   | 4.8  |   7.0   |   3.6   |
|   通用设备   | 300193 |  佳士科技   |  47.0  |   24.2   | 5.5  |   6.9   |   8.0   |
|   通用设备   | 601369 |  陕鼓动力   | 170.8  |   15.3   | 4.7  |   6.9   |   5.5   |
|   通用设备   | 300488 |  恒锋工具   |  43.6  |   37.3   | 4.5  |   6.3   |   8.1   |
|   通用设备   | 300126 |  锐奇股份   |  19.3  |  346.7   | 3.6  |   6.0   |  10.4   |
|   通用设备   | 002520 |  日发精机   |  55.3  |   68.0   | 3.2  |   6.0   |   5.2   |
|   通用设备   | 002686 |   亿利达    |  32.9  |  157.7   | 5.8  |   5.8   |   8.2   |
