[行业>三日涨幅]
+------------+--------+----------+--------+---------+------+---------+---------+
|    行业    |  代码  |   名称   |  市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+------------+--------+----------+--------+---------+------+---------+---------+
|  食品饮料  | 002557 | 洽洽食品 | 278.2  |  33.5   | -3.2 |   1.6   |   0.3   |
|  食品饮料  | 600191 | *ST华资  |  24.8  |  -18.1  | -3.6 |   0.8   |  -4.5   |
|  食品饮料  | 001318 | 阳光乳业 |  56.5  |  57.6   | -3.6 |   0.2   |   5.0   |
|  食品饮料  | 002840 | 华统股份 |  87.6  |  -24.9  | -3.3 |  -1.4   |  -0.6   |
|  风电设备  | 688349 |  C三一   | 487.7  |  20.4   | -5.3 |  -2.3   |  39.1   |
|  风电设备  | 300850 |  新强联  | 326.4  |  83.5   | -5.8 |  -4.1   |  -1.0   |
|  铁路公路  | 600620 | 天宸股份 |  67.4  |  -69.5  | -3.9 |   7.7   |   7.2   |
|  钢铁行业  | 600010 | 包钢股份 | 1144.0 |  86.4   | -5.3 |   2.5   |  19.5   |
|  酿酒行业  | 000799 |  酒鬼酒  | 581.9  |  27.9   | -3.2 |  -2.5   |  -0.4   |
|  酿酒行业  | 600197 |  伊力特  | 137.3  |  31.7   | -3.2 |  -2.8   |  -2.4   |
|  通用设备  | 002046 | 国机精工 |  76.9  |  36.4   | -3.3 |   8.8   |   7.0   |
|  通用设备  | 301268 |  铭利达  | 149.8  |  66.2   | -3.4 |   2.2   |  13.4   |
|  通用设备  | 300263 | 隆华科技 |  90.4  |  34.4   | -3.0 |   1.8   |  14.6   |
|  通用设备  | 603090 | 宏盛股份 |  28.4  |  257.4  | -3.7 |  -0.5   |   9.2   |
|  通用设备  | 300179 |  四方达  |  78.8  |  47.8   | -3.5 |  -2.1   |   1.1   |
|  通用设备  | 002598 | 山东章鼓 |  31.9  |  39.5   | -3.0 |  -2.8   |   0.6   |
|  通用设备  | 603088 | 宁波精达 |  32.9  |  28.8   | -3.0 |  -3.3   |  -5.0   |
|  通用设备  | 300953 | 震裕科技 | 134.7  |  60.0   | -5.9 |  -6.4   |  -4.8   |
|  通用设备  | 000880 | 潍柴重机 |  36.6  |  47.4   | -3.2 |  -7.3   |  -3.5   |
|  通用设备  | 000816 | 智慧农业 |  63.9  |  234.5  | -3.2 |  -9.2   |  -11.9  |
|  软件开发  | 300799 | 左江科技 |  80.3  |  -76.9  | -5.4 |  19.9   |  26.3   |
|  软件开发  | 300451 | 创业慧康 | 115.8  |  31.4   | -4.2 |   2.9   |   1.6   |
|   贵金属   | 600766 | *ST园城  |  19.0  | -3333.4 | -3.4 |  -3.5   |   1.8   |
| 计算机设备 | 300367 |  网力退  |  3.3   |  -0.9   | -3.5 |   3.7   |  -6.7   |
| 计算机设备 | 688208 | 道通科技 | 157.3  |  62.1   | -3.4 |  -2.9   |  -0.5   |
| 计算机设备 | 300202 |  聚龙退  |  3.1   |  -7.0   | -3.4 |  -16.2  |  -12.3  |
|  装修装饰  | 002047 | 宝鹰股份 |  60.8  |  -33.5  | -4.3 |  11.4   |  18.3   |
|  装修装饰  | 601886 | 江河集团 |  97.3  |  26.6   | -4.0 |   8.6   |  15.9   |
|  装修装饰  | 000055 | 方大集团 |  48.1  |  27.4   | -3.9 |   2.3   |   6.2   |
|  装修装饰  | 603038 | 华立股份 |  18.0  | -302.7  | -3.2 |   2.0   |   2.0   |
|  装修建材  | 002652 | 扬子新材 |  14.9  |  -54.9  | -4.6 |  10.2   |  14.1   |
|  纺织服装  | 300979 | 华利集团 | 843.4  |  32.5   | -3.3 |  -1.4   |  -4.9   |
|  纺织服装  | 603908 |  牧高笛  |  63.2  |  42.9   | -4.4 |  -1.5   |  -7.5   |
|  电网设备  | 603530 | 神马电力 |  91.7  | 2822.7  | -4.4 |  15.7   |  54.1   |
|  电网设备  | 002350 | 北京科锐 |  42.0  |  -13.8  | -3.0 |   5.0   |   8.9   |
|  电网设备  | 002452 | 长高电新 |  43.4  |  38.1   | -3.6 |   1.3   |   5.4   |
|  电网设备  | 300208 | 青岛中程 | 101.1  |  -43.4  | -3.1 |   1.1   |   7.7   |
|  电网设备  | 688330 |  宏力达  |  86.7  |  19.2   | -3.7 |  -5.7   |  -9.9   |
|  电网设备  | 002927 | 泰永长征 |  27.7  |  51.7   | -4.7 |  -13.5  |  -4.5   |
|  电源设备  | 002364 | 中恒电气 |  45.2  |  199.0  | -4.2 |   7.6   |   8.7   |
|    电池    | 688148 | 芳源股份 | 106.2  | -1169.6 | -3.0 |   5.9   |   2.1   |
| 电子化学品 | 688268 | 华特气体 |  86.3  |  55.1   | -3.5 |   3.7   |   2.9   |
|  电子元件  | 002388 | 新亚制程 |  29.8  |  125.6  | -4.1 |   8.0   |   3.0   |
|  电力行业  | 000993 | 闽东电力 |  62.9  |  43.9   | -3.0 |  -1.1   |  -2.6   |
|  电力行业  | 000037 | 深南电A  |  51.8  |  -33.3  | -4.7 |  -18.2  |   1.3   |
|  生物制品  | 300142 | 沃森生物 | 740.1  |  479.1  | -4.3 |  -2.0   |  -4.1   |
|  玻璃玻纤  | 600876 | 洛阳玻璃 | 169.3  |  37.8   | -3.0 |  12.6   |  13.4   |
|  玻璃玻纤  | 002163 | 海南发展 | 120.2  |  -70.6  | -4.2 |   5.8   |   7.2   |
|  环保行业  | 300203 | 聚光科技 | 108.6  |  -46.0  | -4.4 |  -4.8   |  -0.7   |
|  物流行业  | 001228 |  永泰运  |  51.4  |  25.5   | -4.2 |  -0.7   |  15.0   |
