[行业>三日涨幅]
+------------+--------+----------+--------+---------+------+---------+---------+
|    行业    |  代码  |   名称   |  市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+------------+--------+----------+--------+---------+------+---------+---------+
|  食品饮料  | 003030 | 祖名股份 |  29.5  |  95.0   | 10.0 |  12.8   |  11.1   |
|  钢铁行业  | 600399 | 抚顺特钢 | 370.0  |  108.3  | 10.0 |  14.5   |  20.2   |
|  通用设备  | 688017 | 绿的谐波 | 194.8  |  133.4  | 20.0 |  40.7   |  40.9   |
|  通用设备  | 002347 | 泰尔股份 |  30.9  | 1137.3  | 10.1 |  33.3   |  47.7   |
|  通用设备  | 001226 | 拓山重工 |  38.8  |  37.7   | 10.0 |  33.1   |  110.9  |
|  通用设备  | 002843 | 泰嘉股份 |  28.8  |  46.6   | 10.0 |  33.1   |  43.9   |
|  通用设备  | 300503 | 昊志机电 |  40.1  |  51.8   | 20.0 |  30.9   |  43.2   |
|  通用设备  | 002747 |  埃斯顿  | 220.2  |  91.6   | 10.0 |  25.6   |  32.6   |
|  通用设备  | 000530 | 冰山冷热 |  39.5  |  -77.5  | 10.1 |  14.7   |  14.7   |
|  通用设备  | 002514 | 宝馨科技 |  38.3  |  171.8  | 10.0 |  14.2   |  25.6   |
|  通用设备  | 002896 | 中大力德 |  24.8  |  35.6   | 10.0 |   4.9   |  30.0   |
|  通信设备  | 002902 | 铭普光磁 |  31.1  |  37.4   | 10.0 |  28.9   |  30.9   |
|  通信服务  | 603322 | 超讯通信 |  31.7  |  193.5  | 10.0 |  14.9   |  16.5   |
|  贸易行业  | 001316 |  N润贝   |  33.6  |  44.7   | 44.0 |  44.0   |  44.0   |
|    证券    | 600621 | 华鑫股份 | 132.0  |  41.0   | 10.0 |   6.6   |  -2.0   |
|  装修建材  | 002631 | 德尔未来 |  45.5  |  -42.7  | 10.1 |  22.1   |  21.3   |
|  电网设备  | 603530 | 神马电力 |  79.3  | 2439.6  | 10.0 |  33.2   |  63.2   |
|  电网设备  | 002058 |  威尔泰  |  22.6  | -252.9  | 10.0 |  33.1   |  52.5   |
|  电网设备  | 001208 | 华菱线缆 |  73.3  |  62.9   | 10.0 |  33.1   |  28.9   |
|  电网设备  | 002451 | 摩恩电气 |  30.9  |  79.9   | 10.0 |  12.6   |  17.3   |
|  电网设备  | 002953 | 日丰股份 |  36.8  |  31.8   | 10.0 |   7.9   |  12.5   |
|  电源设备  | 002255 | 海陆重工 |  51.0  |  39.0   | 10.0 |  17.7   |  17.7   |
|    电机    | 603728 | 鸣志电器 |  98.0  |  62.6   | 10.0 |  24.0   |  48.6   |
|  玻璃玻纤  | 300093 | 金刚玻璃 | 115.6  |  -92.0  | 20.0 |  44.6   |  48.6   |
|  物流行业  | 605050 |  福然德  |  61.1  |  21.7   | 10.0 |  13.5   |  13.4   |
|  煤炭行业  | 600348 | 华阳股份 | 367.0  |   7.0   | 10.0 |  20.2   |  22.4   |
|  消费电子  | 003028 | 振邦智能 |  61.1  |  35.9   | 10.0 |  33.1   |  77.6   |
|  消费电子  | 600745 | 闻泰科技 | 1005.0 |  50.0   | 10.0 |  25.2   |  20.1   |
|  消费电子  | 002655 | 共达电声 |  56.6  |  73.2   | 10.0 |  24.7   |  28.1   |
|  消费电子  | 002866 | 传艺科技 |  37.9  |  21.1   | 10.0 |  15.6   |  28.6   |
| 汽车零部件 | 603758 | 秦安股份 |  43.7  |  26.8   | 10.1 |  33.2   |  35.1   |
| 汽车零部件 | 002703 | 浙江世宝 |  97.4  | -604.1  | 10.0 |  33.1   |  77.3   |
| 汽车零部件 | 002454 | 松芝股份 |  62.7  |  77.7   | 10.0 |  33.1   |  61.3   |
| 汽车零部件 | 002101 | 广东鸿图 | 135.9  |  46.3   | 10.0 |  29.3   |  47.8   |
| 汽车零部件 | 603006 | 联明股份 |  27.2  |  41.9   | 10.0 |  23.4   |  28.0   |
| 汽车零部件 | 002355 | 兴民智通 |  40.0  |  -15.7  | 10.1 |  22.4   |  27.5   |
| 汽车零部件 | 601279 | 英利汽车 | 117.7  |  399.9  | 10.1 |  19.2   |  20.3   |
| 汽车零部件 | 603655 | 朗博科技 |  21.6  |  262.7  | 10.0 |  18.7   |  21.1   |
| 汽车零部件 | 601717 |  郑煤机  | 271.6  |  10.0   | 10.0 |  16.8   |  18.5   |
| 汽车零部件 | 688071 | 华依科技 |  32.1  | -220.1  | 20.0 |   8.9   |  22.9   |
| 汽车零部件 | 603917 | 合力科技 |  29.4  |  63.6   | 10.0 |   5.0   |  12.1   |
|  汽车服务  | 000996 | 中国中期 |  28.5  | -1626.2 | 10.0 |  18.2   |  19.2   |
|  汽车整车  | 600213 | 亚星客车 |  29.9  |  -17.1  | 10.0 |  21.2   |  22.8   |
|  汽车整车  | 601127 | 小康股份 | 1157.0 |  -34.5  | 10.0 |  20.0   |  20.9   |
|  汽车整车  | 000868 | 安凯客车 |  45.0  |  -28.1  | 10.1 |  16.8   |  16.5   |
|  汽车整车  | 000625 | 长安汽车 | 1658.0 |   9.1   | 10.0 |  13.5   |  16.7   |
|  橡胶制品  | 002753 | 永东股份 |  38.9  |  92.2   | 10.0 |  24.5   |  37.2   |
|  有色金属  | 301266 | 宇邦新材 |  64.4  |  80.0   | 14.9 |  35.1   |  47.9   |
|  有色金属  | 002996 | 顺博合金 |  73.4  |  14.5   | 10.0 |  12.8   |  19.4   |
|  有色金属  | 002540 | 亚太科技 |  95.8  |  28.7   | 10.1 |  12.4   |  19.7   |
|  旅游酒店  | 300859 | 西域旅游 |  52.1  |  -74.2  | 20.0 |  41.0   |  38.1   |
|  旅游酒店  | 301073 | 君亭酒店 |  75.0  |  477.8  | 16.9 |  32.1   |  23.7   |
|  旅游酒店  | 002033 | 丽江股份 |  49.1  |  -43.4  | 10.0 |  28.9   |  28.7   |
|  旅游酒店  | 603199 | 九华旅游 |  26.6  | -119.9  | 10.0 |   9.0   |   9.7   |
|  文化传媒  | 000892 | 欢瑞世纪 |  35.6  |  72.1   | 10.0 |  19.4   |  23.1   |
| 房地产服务 | 002188 | 巴士在线 |  19.3  |  14.1   | 10.0 |  17.4   |  30.2   |
|   小金属   | 002182 | 云海金属 | 166.1  |  13.7   | 10.0 |  17.8   |  13.1   |
|   小金属   | 000970 | 中科三环 | 182.6  |  27.5   | 10.0 |  17.3   |  17.9   |
|  家电行业  | 002860 |  星帅尔  |  44.8  |  29.7   | 10.0 |  16.3   |  19.8   |
