[行业>市值]
+----------+--------+------------+-------+--------+-------+---------+---------+
|   行业   |  代码  |    名称    | 市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+------------+-------+--------+-------+---------+---------+
| 仪器仪表 | 688686 |   奥普特   | 214.6 |  84.9  | -1.8  |   9.7   |  10.5   |
| 仪器仪表 | 601222 |  林洋能源  | 168.7 |  23.6  | -5.1  |  -5.2   |  -4.2   |
| 仪器仪表 | 300567 |  精测电子  | 119.4 | 105.1  | -1.5  |   0.7   |   1.3   |
| 仪器仪表 | 688665 |  四方光电  | 101.0 |  58.7  | -3.8  |  -2.8   |  10.8   |
| 仪器仪表 | 002819 |  东方中科  | 72.5  | -204.3 | -3.8  |  -2.5   |   0.8   |
| 仪器仪表 | 688320 |  禾川科技  | 71.0  |  89.5  | -11.7 |  14.6   |  19.7   |
| 仪器仪表 | 688337 | 普源精电-U | 70.4  | 411.1  | -4.9  |  -4.5   |  -2.7   |
| 仪器仪表 | 603100 |  川仪股份  | 69.4  |  16.0  | -2.9  |  -2.1   |   3.4   |
| 仪器仪表 | 300114 |  中航电测  | 68.5  |  67.7  | -3.5  |   1.1   |   6.9   |
| 仪器仪表 | 688112 |  鼎阳科技  | 64.5  |  80.5  | -3.8  |  -7.8   |   8.2   |
| 仪器仪表 | 300007 |  汉威科技  | 57.4  |  27.9  | -6.9  |  -3.9   |   0.6   |
| 仪器仪表 | 300066 |  三川智慧  | 55.8  |  41.0  | -6.5  |   0.2   |   6.3   |
| 仪器仪表 | 605056 |  咸亨国际  | 55.2  |  78.4  | -3.8  |  -2.0   |   0.4   |
| 仪器仪表 | 603662 |  柯力传感  | 45.9  |  32.8  | -1.9  |   7.2   |   9.0   |
| 仪器仪表 | 301129 |  瑞纳智能  | 44.9  | 105.0  | -1.6  |  -2.7   |  -2.9   |
| 仪器仪表 | 002658 |   雪迪龙   | 44.5  |  14.2  | -1.3  |   1.1   |   1.1   |
| 仪器仪表 | 300354 |  东华测试  | 44.0  | 231.1  | -1.6  |   3.0   |   7.1   |
| 仪器仪表 | 002338 |  奥普光电  | 42.8  |  62.3  | -2.5  |   1.8   |   3.7   |
| 仪器仪表 | 688768 |  容知日新  | 42.4  | -78.3  | -5.3  |  -4.0   |   1.7   |
| 仪器仪表 | 300259 |  新天科技  | 42.0  | 131.0  | -2.2  |   0.6   |   0.8   |
| 仪器仪表 | 300349 |  金卡智能  | 42.0  |  63.4  | -2.0  |   0.7   |   0.4   |
| 仪器仪表 | 301151 |  冠龙节能  | 38.9  |  41.6  | -3.0  |   1.9   |   0.3   |
| 仪器仪表 | 002175 |  东方网络  | 37.4  | 107.4  | -0.7  |  -2.3   |  -6.7   |
| 仪器仪表 | 300667 |  必创科技  | 37.3  |  89.6  |  2.3  |  11.7   |  15.9   |
| 仪器仪表 | 300862 |  蓝盾光电  | 35.7  |  58.5  | -3.2  |   2.1   |   2.7   |
| 仪器仪表 | 001266 |  宏英智能  | 34.9  |  26.1  |  6.9  |   5.7   |  15.3   |
| 仪器仪表 | 688628 |   优利德   | 33.1  |  15.6  | -7.0  |  -1.0   |  10.2   |
| 仪器仪表 | 300306 |  远方信息  | 29.9  |  61.0  | -1.9  |   1.3   |  -0.5   |
| 仪器仪表 | 603700 |  宁水集团  | 29.6  | 124.1  | -3.5  |  -4.2   |  -5.2   |
| 仪器仪表 | 300112 |  万讯自控  | 29.4  |  91.0  | -2.2  |   7.0   |   5.0   |
| 仪器仪表 | 688115 |   思林杰   | 26.4  |  41.6  | -4.3  |  -1.9   |   1.0   |
| 仪器仪表 | 301006 |  迈拓股份  | 26.1  |  21.2  | -2.8  |  -2.0   |   2.5   |
| 仪器仪表 | 300165 |  天瑞仪器  | 25.6  |  67.8  | -3.5  |  -1.5   |  -1.9   |
| 仪器仪表 | 300720 |  海川智能  | 25.6  |  79.5  | -0.3  |   5.0   |  16.1   |
| 仪器仪表 | 300275 |   梅安森   | 25.1  |  78.3  | -3.7  |   2.4   |   1.8   |
| 仪器仪表 | 300445 |   康斯特   | 24.5  |  50.3  | -3.3  |  -1.1   |   1.1   |
| 仪器仪表 | 688056 |  莱伯泰科  | 24.3  |  51.0  | -6.7  |  -8.1   |  -2.7   |
| 仪器仪表 | 688622 |  禾信仪器  | 23.8  | -48.3  | -6.5  |  -6.2   |  13.9   |
| 仪器仪表 | 002877 |  智能自控  | 21.7  |  53.2  | -3.8  |   2.8   |   5.0   |
| 仪器仪表 | 300515 |  三德科技  | 21.0  |  35.4  | -1.5  |   1.3   |   2.8   |
| 仪器仪表 | 300838 |  浙江力诺  | 20.8  |  28.8  | -2.0  |   0.7   |   1.8   |
