[行业>市值]
+----------+--------+------------+--------+--------+------+---------+---------+
|   行业   |  代码  |    名称    |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+------------+--------+--------+------+---------+---------+
| 化学制药 | 600276 |  恒瑞医药  | 2266.0 |  45.8  | -0.4 |   6.0   |   7.6   |
| 化学制药 | 600196 |  复星医药  | 1084.0 |  58.6  | -0.9 |  -2.1   |  -4.0   |
| 化学制药 | 000963 |  华东医药  | 739.3  |  26.2  | -2.2 |  -0.1   |  -1.8   |
| 化学制药 | 002001 |   新和成   | 704.1  |  14.6  | -1.0 |   1.0   |  -0.3   |
| 化学制药 | 300363 |  博腾股份  | 410.7  |  26.9  | -1.6 |  -1.5   |   1.6   |
| 化学制药 | 603456 |  九洲药业  | 410.1  |  49.3  | -0.8 |  -2.3   |   0.0   |
| 化学制药 | 603707 |  健友股份  | 349.9  |  26.5  | -2.1 |  -4.5   |  -5.7   |
| 化学制药 | 000513 |  丽珠集团  | 331.9  |  15.0  | -2.4 |   3.0   |   1.8   |
| 化学制药 | 600521 |  华海药业  | 327.6  |  59.5  | 3.3  |   3.3   |   4.9   |
| 化学制药 | 688690 |  纳微科技  | 306.5  | 125.8  | -2.2 |  -7.1   |  -1.1   |
| 化学制药 | 002294 |   信立泰   | 302.1  |  31.8  | 0.1  |   0.5   |  -0.4   |
| 化学制药 | 002422 |  科伦药业  | 264.4  |  22.7  | -3.3 |  -4.5   |  -3.5   |
| 化学制药 | 600079 |  人福医药  | 259.8  |  7.0   | -1.4 |  -2.2   |  -8.0   |
| 化学制药 | 600062 |  华润双鹤  | 253.7  |  19.1  | 4.8  |   7.3   |   9.3   |
| 化学制药 | 300558 |  贝达药业  | 253.0  |  75.6  | -1.0 |  -1.2   |   5.6   |
| 化学制药 | 002399 |   海普瑞   | 251.3  |  26.8  | -0.2 |  -1.3   |  -4.0   |
| 化学制药 | 000739 |  普洛药业  | 241.5  |  39.7  | -0.9 |   0.2   |  -4.9   |
| 化学制药 | 600380 |   健康元   | 227.8  |  12.4  | -2.9 |  -1.9   |  -2.3   |
| 化学制药 | 300725 |  药石科技  | 187.2  |  66.1  | -0.4 |  -2.0   |   0.6   |
| 化学制药 | 000756 |  新华制药  | 179.5  |  41.4  | 1.5  |  -5.0   |  -7.6   |
| 化学制药 | 000623 |  吉林敖东  | 171.5  |  72.3  | -1.7 |  -0.8   |  -0.6   |
| 化学制药 | 002653 |   海思科   | 171.3  | 163.5  | -1.0 |   1.6   |  -0.4   |
| 化学制药 | 688091 | 上海谊众-U | 170.4  | 138.6  | -1.0 |  -10.1  |  -15.0  |
| 化学制药 | 002019 |  亿帆医药  | 168.6  |  34.8  | -1.9 |  -2.5   |   0.1   |
| 化学制药 | 600267 |  海正药业  | 153.6  |  28.4  | -2.9 |  -2.6   |  -3.5   |
| 化学制药 | 300630 |  普利制药  | 152.4  |  23.6  | 1.8  |   4.9   |  18.6   |
| 化学制药 | 301089 |  拓新药业  | 144.0  | 126.6  | -3.3 |  -6.4   |  -6.0   |
| 化学制药 | 688356 |  键凯科技  | 141.9  |  67.8  | 0.4  |   4.9   |   1.7   |
| 化学制药 | 688131 |  皓元医药  | 141.8  |  56.9  | -0.7 |  -1.5   |   7.9   |
| 化学制药 | 603229 |  奥翔药业  | 139.8  |  49.4  | 4.3  |   2.2   |   2.8   |
| 化学制药 | 002262 |  恩华药业  | 136.0  |  18.0  | 0.6  |   0.5   |  -1.3   |
| 化学制药 | 002773 |  康弘药业  | 135.6  |  11.4  | -1.3 |  -0.2   |  -1.3   |
| 化学制药 | 605507 |  国邦医药  | 133.3  |  16.6  | -1.5 |  -0.8   |  -0.2   |
| 化学制药 | 600216 |  浙江医药  | 131.3  |  12.6  | -1.1 |   0.8   |   0.6   |
| 化学制药 | 300573 |  兴齐眼药  | 126.7  |  42.7  | 3.0  |   5.7   |  -11.6  |
| 化学制药 | 300199 |  翰宇药业  | 124.2  | -53.8  | 0.0  |   0.2   |   3.1   |
| 化学制药 | 002793 |  罗欣药业  | 116.9  |  35.8  | -2.4 |   2.4   |   2.7   |
| 化学制药 | 600812 |  华北制药  | 115.3  | 210.7  | -1.8 |  -0.9   |  -1.8   |
| 化学制药 | 002099 |  海翔药业  | 112.5  |  32.3  | -1.4 |  -0.1   |  -2.1   |
| 化学制药 | 300233 |  金城医药  | 110.9  |  24.6  | -2.3 |  -2.4   |  -9.9   |
| 化学制药 | 688192 | 迪哲医药-U | 108.3  | -14.9  | -1.8 |   0.1   |   7.3   |
| 化学制药 | 600420 |  国药现代  | 105.0  |  33.8  | 10.0 |  11.2   |  12.8   |
| 化学制药 | 688505 |  复旦张江  | 104.1  | 528.5  | -1.6 |  -0.3   |  -0.3   |
| 化学制药 | 688321 |  微芯生物  | 103.3  | -692.0 | -0.8 |  -1.4   |   1.1   |
| 化学制药 | 688553 | 汇宇制药-W | 101.7  |  21.3  | -3.4 |  -2.3   |  -1.3   |
| 化学制药 | 002675 |  东诚药业  |  99.7  |  45.4  | 1.7  |   1.7   |   0.8   |
| 化学制药 | 688166 |  博瑞医药  |  98.9  |  40.7  | -1.4 |  -2.5   |   3.1   |
| 化学制药 | 300702 |  天宇股份  |  98.9  |  29.2  | -0.8 |  -1.0   |  -0.2   |
| 化学制药 | 688578 |  艾力斯-U  |  96.7  | -106.6 | -1.3 |  -9.5   |  -5.3   |
| 化学制药 | 603520 |   司太立   |  95.9  |  29.9  | -3.0 |  -4.1   |  -8.2   |
| 化学制药 | 000915 |  华特达因  |  95.6  |  15.3  | 0.6  |  -4.0   |   2.4   |
| 化学制药 | 002332 |  仙琚制药  |  93.5  |  18.3  | -0.8 |  -0.8   |  -1.8   |
| 化学制药 | 300942 |  易瑞生物  |  91.2  |  20.0  | -3.0 |  -2.5   |  -2.2   |
