[行业>市值]
+----------+--------+----------+--------+--------+-------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+-------+---------+---------+
| 医疗器械 | 300760 | 迈瑞医疗 | 3783.0 |  44.9  | -1.5  |  -2.3   |  -1.1   |
| 医疗器械 | 603392 | 万泰生物 | 1353.0 |  25.4  |  2.4  |   2.3   |   5.4   |
| 医疗器械 | 300595 | 欧普康视 | 495.7  |  83.7  |  4.0  |   3.9   |   4.0   |
| 医疗器械 | 300529 | 健帆生物 | 409.6  |  30.6  | -1.0  |   2.1   |   3.6   |
| 医疗器械 | 300832 |  新产业  | 349.8  |  28.4  |  2.4  |   3.3   |   3.3   |
| 医疗器械 | 688105 |  诺唯赞  | 335.1  |  19.4  | -4.6  |  -3.4   |  -1.5   |
| 医疗器械 | 300003 | 乐普医疗 | 332.9  |  15.3  | -1.3  |   0.3   |   0.4   |
| 医疗器械 | 688301 | 奕瑞科技 | 331.1  |  82.0  | -1.0  |   1.2   |   5.2   |
| 医疗器械 | 300676 | 华大基因 | 289.6  |  21.9  |  1.0  |   2.7   |   2.7   |
| 医疗器械 | 603658 | 安图生物 | 285.9  |  29.8  |  2.8  |   5.4   |   3.8   |
| 医疗器械 | 002432 | 九安医疗 | 285.6  |  0.5   | -1.9  |  -4.8   |  -0.2   |
| 医疗器械 | 002223 | 鱼跃医疗 | 259.4  |  14.0  | -3.0  |  -3.0   |  -3.5   |
| 医疗器械 | 002030 | 达安基因 | 242.0  |  3.6   | -0.5  |  -1.4   |   0.2   |
| 医疗器械 | 688139 | 海尔生物 | 237.2  |  52.2  |  0.0  |   3.0   |  -2.0   |
| 医疗器械 | 688050 | 爱博医疗 | 226.6  |  96.5  |  2.1  |   3.8   |   3.1   |
| 医疗器械 | 300171 |  东富龙  | 209.1  |  24.7  | -3.9  |   3.8   |   2.0   |
| 医疗器械 | 688161 | 威高骨科 | 200.1  |  51.1  |  3.1  |   4.4   |   7.2   |
| 医疗器械 | 688298 | 东方生物 | 193.6  |  2.3   | -0.1  |  -12.1  |  -13.0  |
| 医疗器械 | 688366 | 昊海生科 | 179.4  |  73.6  |  2.9  |   5.0   |   1.5   |
| 医疗器械 | 300482 | 万孚生物 | 179.2  |  5.0   | -1.9  |  -0.8   |  -0.4   |
| 医疗器械 | 688289 | 圣湘生物 | 174.4  |  6.7   | -1.4  |  -3.2   |  -2.3   |
| 医疗器械 | 600529 | 山东药玻 | 168.9  |  27.6  |  2.2  |   1.6   |   0.6   |
| 医疗器械 | 600055 | XD万东医 | 167.7  | 170.2  | -3.0  |   2.2   |  -1.4   |
