[行业>市值]
+----------+--------+----------+--------+-------+-------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |  pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+-------+-------+---------+---------+
| 家电行业 | 000333 | 美的集团 | 4147.0 | 14.4  |  0.3  |   2.5   |   3.5   |
| 家电行业 | 600690 | 海尔智家 | 2534.0 | 18.0  | -0.7  |   0.8   |   3.7   |
| 家电行业 | 000651 | 格力电器 | 1968.0 | 12.3  | -0.5  |  -1.9   |   0.3   |
| 家电行业 | 002050 | 三花智控 | 949.8  | 52.4  | -6.7  |   5.4   |   8.8   |
| 家电行业 | 603195 | 公牛集团 | 914.4  | 35.6  | -0.5  |   0.7   |   3.6   |
| 家电行业 | 603486 |  科沃斯  | 659.4  | 38.9  |  1.1  |   3.1   |  -2.6   |
| 家电行业 | 605117 | 德业股份 | 634.5  | 120.0 | -0.9  |   4.2   |  12.6   |
| 家电行业 | 002032 |  苏泊尔  | 452.7  | 21.0  | -2.2  |  -0.9   |  -0.6   |
| 家电行业 | 688169 | 石头科技 | 406.2  | 29.6  | -3.3  |  -5.2   |  -9.4   |
| 家电行业 | 603868 | 飞科电器 | 328.3  | 34.7  |  0.1  |   3.9   |   4.7   |
| 家电行业 | 002508 | 老板电器 | 323.1  | 22.0  | -0.6  |   0.6   |   4.8   |
| 家电行业 | 688696 | 极米科技 | 205.0  | 42.2  | -3.0  |  -5.5   |  -4.9   |
| 家电行业 | 000921 | 海信家电 | 185.3  | 17.4  |  2.5  |   6.4   |  10.7   |
| 家电行业 | 002705 | 新宝股份 | 182.6  | 25.6  | -1.9  |   1.6   |   2.9   |
| 家电行业 | 000810 | 创维数字 | 177.2  | 21.3  | -2.1  |  -1.9   |  -12.1  |
| 家电行业 | 002429 | 兆驰股份 | 174.7  | 12.6  | -1.8  |  -0.8   |   1.6   |
| 家电行业 | 600060 | 海信视像 | 164.2  | 13.8  | -2.0  |  -1.6   |  -0.2   |
| 家电行业 | 300894 |  火星人  | 143.1  | 59.5  | -2.6  |  -4.0   |   0.6   |
| 家电行业 | 000016 | 深康佳Ａ  | 142.6  | 34.3  | -6.0  |  -5.9   |  -2.6   |
| 家电行业 | 603355 | 莱克电气 | 140.6  | 16.6  | -0.7  |  -1.8   |   0.9   |
| 家电行业 | 002242 | 九阳股份 | 139.2  | 20.9  | -2.6  |  -5.0   |  -2.8   |
| 家电行业 | 600839 | 四川长虹 | 133.9  | 66.5  | -2.0  |  -2.0   |   1.1   |
| 家电行业 | 603515 | 欧普照明 | 131.6  | 49.7  | -0.4  |  -0.3   |   0.0   |
| 家电行业 | 002011 | 盾安环境 | 115.6  | 34.6  | -10.0 |   0.3   |  23.6   |
| 家电行业 | 002759 | 天际股份 | 108.1  |  6.6  | -6.4  |  -2.1   |   0.0   |
| 家电行业 | 002959 | 小熊电器 |  96.1  | 23.1  |  0.4  |   0.0   |   1.5   |
| 家电行业 | 002677 | 浙江美大 |  93.3  | 19.2  | -1.3  |  -1.4   |   0.3   |
| 家电行业 | 300217 | 东方电热 |  85.2  | 36.9  | -3.1  |  -1.2   |  10.3   |
| 家电行业 | 605365 |  立达信  |  84.0  | 22.1  | -2.4  |  -8.0   |  11.7   |
| 家电行业 | 300911 | 亿田智能 |  81.1  | 45.5  |  2.0  |   4.7   |   8.2   |
| 家电行业 | 600619 | 海立股份 |  74.5  | 43.8  | -3.6  |  -2.0   |   2.7   |
| 家电行业 | 603303 | 得邦照明 |  73.0  | 30.4  | -2.4  |  -0.8   |  -0.4   |
| 家电行业 | 603219 | 富佳股份 |  72.6  | 31.2  | -1.5  |  -4.4   |   4.7   |
| 家电行业 | 000801 | 四川九洲 |  70.3  | 54.2  | -3.0  |  -1.6   |   1.8   |
| 家电行业 | 000541 | 佛山照明 |  69.6  | 28.4  | -3.0  |  -0.4   |   1.0   |
| 家电行业 | 605555 | 德昌股份 |  67.0  | 27.9  | -4.2  |  -5.0   |   5.0   |
| 家电行业 | 603112 | 华翔股份 |  65.6  | 16.4  | -4.5  |  -4.8   |  10.3   |
| 家电行业 | 600983 |  惠而浦  |  59.4  | -81.3 | -2.5  |  -2.5   |  -0.8   |
| 家电行业 | 002614 |  奥佳华  |  54.4  | 49.1  | -1.8  |  -2.4   |  -1.9   |
| 家电行业 | 600336 |  澳柯玛  |  54.0  | 35.8  | -2.6  |  -1.5   |  -0.6   |
| 家电行业 | 002668 |  ST奥马  |  52.9  | 59.0  |  5.0  |   2.1   |   4.3   |
| 家电行业 | 002543 | 万和电气 |  52.2  |  8.2  | -1.4  |  -2.0   |  -1.7   |
| 家电行业 | 002519 | 银河电子 |  50.7  | 26.9  | -0.4  |  -1.5   |   0.7   |
| 家电行业 | 300160 | 秀强股份 |  50.6  | 21.2  | -5.2  |  -3.1   |  -0.4   |
| 家电行业 | 002035 | 华帝股份 |  48.9  | 15.4  | -1.9  |  -0.5   |   2.9   |
| 家电行业 | 600261 | 阳光照明 |  48.1  | 364.1 | -1.2  |   1.5   |   1.2   |
