[行业>市值]
+----------+--------+----------+-------+--------+-------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+--------+-------+---------+---------+
| 有色金属 | 601600 | 中国铝业 | 815.6 |  12.9  | -3.8  |   0.4   |  -0.2   |
| 有色金属 | 600362 | 江西铜业 | 618.1 |  10.5  | -3.6  |   2.1   |   0.1   |
| 有色金属 | 600219 | 南山铝业 | 443.4 |  15.3  | -2.6  |   6.9   |   4.8   |
| 有色金属 | 688122 | 西部超导 | 427.8 |  49.7  | -3.8  |  -4.4   |   3.8   |
| 有色金属 | 000807 | 云铝股份 | 347.5 |  7.7   | -1.7  |   0.8   |  -2.3   |
| 有色金属 | 000630 | 铜陵有色 | 342.1 |  13.6  | -3.3  |  -0.6   |  -1.5   |
| 有色金属 | 002532 | 天山铝业 | 306.1 |  6.9   | -3.0  |   0.8   |   0.0   |
| 有色金属 | 000933 | 神火股份 | 297.1 |  3.8   |  0.0  |   4.1   |   2.5   |
| 有色金属 | 601168 | 西部矿业 | 280.7 |  9.3   | -3.8  |  -0.2   |  -1.5   |
| 有色金属 | 600497 | 驰宏锌锗 | 261.2 |  11.9  | -4.1  |  -2.5   |  -2.7   |
| 有色金属 | 600338 | 西藏珠峰 | 256.7 |  78.8  | -6.2  |  -6.0   |  -0.2   |
| 有色金属 | 002203 | 海亮股份 | 228.1 |  18.3  | -1.9  |   1.7   |   2.6   |
| 有色金属 | 601677 | 明泰铝业 | 224.8 |  9.5   | -5.1  |   2.9   |   6.6   |
| 有色金属 | 603876 | 鼎胜新材 | 212.0 |  24.6  | -8.1  |  -5.6   |   6.9   |
| 有色金属 | 301219 | 腾远钴业 | 209.6 |  11.5  | -4.9  |  -3.9   |  -5.9   |
| 有色金属 | 601212 | 白银有色 | 205.9 | 122.7  | -2.5  |   1.1   |  -0.7   |
| 有色金属 | 300034 | 钢研高纳 | 202.1 |  82.3  | -4.3  |   0.0   |  12.7   |
| 有色金属 | 000878 | 云南铜业 | 194.8 |  13.0  | -2.3  |   0.3   |  -0.8   |
| 有色金属 | 000688 | 国城矿业 | 179.4 | 104.7  | -1.9  |  -2.0   |  -7.0   |
| 有色金属 | 000060 | 中金岭南 | 167.1 |  12.6  | -2.4  |   0.0   |   1.1   |
| 有色金属 | 600595 | 中孚实业 | 158.1 |  9.3   | -1.7  |  -0.2   |   0.0   |
| 有色金属 | 601137 | 博威合金 | 136.3 |  25.1  | -8.0  |  -6.7   |   3.7   |
