[行业>市值]
+----------+--------+----------+-------+--------+------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+--------+------+---------+---------+
| 环保行业 | 603568 | 伟明环保 | 439.8 |  23.9  | 0.8  |   7.1   |  19.1   |
| 环保行业 | 002266 | 浙富控股 | 258.8 |  16.0  | -3.4 |   1.9   |   3.4   |
| 环保行业 | 300070 |  碧水源  | 190.6 | 126.8  | 4.2  |   7.3   |   6.9   |
| 环保行业 | 603279 | 景津装备 | 169.5 |  27.6  | -2.5 |   1.4   |   1.3   |
| 环保行业 | 600323 | 瀚蓝环境 | 164.0 |  25.8  | -0.9 |  -1.6   |  -2.4   |
| 环保行业 | 000967 | 盈峰环境 | 162.8 |  28.8  | -2.5 |   6.0   |   6.4   |
| 环保行业 | 603588 | 高能环境 | 146.2 |  21.5  | 1.8  |   2.8   |  -1.0   |
| 环保行业 | 600388 |  ST龙净  | 138.6 |  19.5  | -3.4 |  -6.8   |   1.2   |
| 环保行业 | 000035 | 中国天楹 | 132.0 |  77.3  | -3.9 |  -1.5   |  -2.4   |
| 环保行业 | 002645 | 华宏科技 | 125.3 |  12.3  | -5.0 |  -1.7   |  -0.4   |
| 环保行业 | 601827 | 三峰环境 | 119.0 |  9.8   | -0.8 |   2.2   |   1.3   |
| 环保行业 | 601200 | 上海环境 | 113.5 |  19.0  | -0.8 |   0.9   |   1.1   |
| 环保行业 | 601330 | 绿色动力 | 108.8 |  15.0  | -1.5 |   2.1   |   2.1   |
| 环保行业 | 300203 | 聚光科技 | 107.6 | -45.5  | -1.0 |  -10.1  |   3.8   |
| 环保行业 | 002034 | 旺能环境 | 85.9  |  12.7  | 3.2  |   4.8   |   2.7   |
| 环保行业 | 002573 | 清新环境 | 81.4  |  17.5  | -1.2 |   0.0   |   0.2   |
| 环保行业 | 300774 |  倍杰特  | 79.4  |  53.4  | -1.8 |  -0.8   |   4.9   |
| 环保行业 | 300055 |  万邦达  | 75.2  |  72.7  | -2.8 |  -2.8   |  -0.3   |
| 环保行业 | 301109 | 军信股份 | 70.2  |  18.9  | -1.1 |  -0.2   |  -1.6   |
| 环保行业 | 600217 | 中再资环 | 68.5  | 104.5  | -2.6 |  -3.0   |  -5.2   |
| 环保行业 | 300197 | 节能铁汉 | 67.8  | -14.2  | -1.6 |   0.0   |   0.4   |
| 环保行业 | 002310 | 东方园林 | 64.2  |  -4.5  | 0.0  |   1.7   |   2.1   |
| 环保行业 | 300355 | 蒙草生态 | 62.9  |  50.1  | -1.8 |   1.0   |   0.5   |
| 环保行业 | 300266 | 兴源环境 | 59.2  | -59.1  | 0.0  |   4.1   |  -1.3   |
| 环保行业 | 300815 |  玉禾田  | 57.8  |  11.2  | -3.6 |  -1.5   |  -1.8   |
| 环保行业 | 300867 | 圣元环保 | 56.3  |  19.3  | -2.0 |   1.0   |  -0.1   |
| 环保行业 | 002672 | 东江环保 | 54.2  | 258.5  | -1.6 |   0.7   |   1.1   |
| 环保行业 | 603359 | 东珠生态 | 53.8  |  16.4  | -1.7 |  -1.6   |   9.0   |
| 环保行业 | 688057 |  金达莱  | 51.0  |  13.3  | -1.9 |   3.2   |   4.0   |
| 环保行业 | 002717 | 岭南股份 | 49.7  | -20.8  | -0.7 |   1.0   |  -1.7   |
| 环保行业 | 603324 | 盛剑环境 | 49.6  |  87.8  | -4.2 |  -0.7   |   0.2   |
| 环保行业 | 002973 | 侨银股份 | 49.1  |  15.9  | -3.1 |  -2.0   |   1.0   |
| 环保行业 | 688101 |  三达膜  | 48.4  |  20.8  | -2.7 |  -1.8   |  -0.8   |
| 环保行业 | 600292 | 远达环保 | 47.5  |  46.8  | -2.2 |   0.0   |   0.2   |
| 环保行业 | 300388 | 节能国祯 | 46.2  |  21.2  | -1.2 |   0.3   |  -0.3   |
| 环保行业 | 301127 | 天源环保 | 45.8  |  59.8  | -2.7 |  -0.5   |  -1.1   |
| 环保行业 | 000826 | 启迪环境 | 43.8  |  -4.6  | 0.3  |   0.7   |   1.0   |
| 环保行业 | 301175 | 中科环保 | 42.2  |  21.6  | 0.0  |   0.0   |   0.0   |
