[行业>市值]
+----------+--------+----------+--------+---------+-------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe    | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+---------+-------+---------+---------+
| 电网设备 | 600406 | 国电南瑞 | 1791.0 |  118.2  | -4.4  |  -5.6   |  -0.5   |
| 电网设备 | 600089 | 特变电工 | 965.5  |   7.7   | -6.0  |  -4.6   |  -1.0   |
| 电网设备 | 601877 | 正泰电器 | 759.8  |  32.4   | -5.2  |  -5.2   |  -1.4   |
| 电网设备 | 603606 | 东方电缆 | 494.6  |  44.4   | -2.5  |   1.4   |   9.5   |
| 电网设备 | 600885 | 宏发股份 | 417.5  |  37.4   | -3.1  |  -6.3   |   1.6   |
| 电网设备 | 600517 | 国网英大 | 295.1  |  46.6   | -2.6  |  -2.1   |  -0.8   |
| 电网设备 | 002028 | 思源电气 | 260.1  |  42.7   | -6.2  |  -5.3   |  -4.2   |
| 电网设备 | 601179 | 中国西电 | 240.9  |  46.1   | -4.7  |  -3.3   |  -2.0   |
| 电网设备 | 000400 | 许继电气 | 194.9  |  48.4   | -6.3  |  -5.8   |  -2.9   |
| 电网设备 | 300001 |  特锐德  | 179.8  |  263.3  | -4.7  |  -3.6   |   1.2   |
| 电网设备 | 002706 | 良信股份 | 170.9  |  59.2   | -3.3  |   1.9   |  11.3   |
| 电网设备 | 601567 | 三星医疗 | 170.0  |  25.8   |  2.3  |   7.0   |   9.5   |
| 电网设备 | 002498 | 汉缆股份 | 139.1  |  25.7   | -4.6  |   1.7   |   5.0   |
| 电网设备 | 688248 | 南网科技 | 130.0  |  718.0  | -4.0  |  -5.8   |  -2.1   |
| 电网设备 | 601126 | 四方股份 | 126.4  |  24.5   | -7.9  |  -3.7   |  10.2   |
| 电网设备 | 600577 | 精达股份 | 112.4  |  27.5   | -9.9  |  -6.9   |   2.7   |
| 电网设备 | 600869 | 远东股份 | 111.6  |  32.2   | -4.7  |   2.0   |   8.6   |
| 电网设备 | 600312 | XD平高电 | 109.2  |  68.2   | -3.5  |   2.2   |   4.9   |
| 电网设备 | 688676 | 金盘科技 | 103.3  |  61.5   |  0.6  |  10.0   |  11.2   |
| 电网设备 | 300208 | 青岛中程 | 101.2  |  -43.4  |  0.1  |  -0.4   |  11.3   |
| 电网设备 | 002121 | 科陆电子 | 100.4  |  -53.4  | -10.0 |   1.9   |  11.2   |
| 电网设备 | 600550 | 保变电气 |  98.3  |  194.6  | -5.5  |  -3.8   |  -0.6   |
| 电网设备 | 301031 | 中熔电气 |  93.1  |  70.0   | -4.1  |  -6.7   |  -1.0   |
| 电网设备 | 605222 | 起帆电缆 |  91.0  |  15.2   | -3.4  |   0.6   |   3.1   |
| 电网设备 | 000682 | 东方电子 |  90.0  |  37.0   | -5.1  |  -5.5   |  -1.6   |
| 电网设备 | 688330 |  宏力达  |  84.3  |  18.7   | -2.8  |  -8.8   |  -9.0   |
| 电网设备 | 603070 | 万控智造 |  84.3  |  116.1  | -8.4  |  -5.5   |  -9.0   |
| 电网设备 | 603530 | 神马电力 |  82.6  | 2540.7  | -10.0 |  -5.3   |  26.1   |
| 电网设备 | 300477 | 合纵科技 |  82.1  |  22.5   | -5.7  |  -3.9   |   0.0   |
| 电网设备 | 002276 | 万马股份 |  80.5  |  49.5   | -2.3  |  -1.1   |   0.8   |
| 电网设备 | 603191 | 望变电气 |  77.6  |  53.0   | -10.0 |  -2.4   |   4.3   |
| 电网设备 | 600973 | 宝胜股份 |  77.5  |  51.2   | -7.4  |  -6.0   |  -1.1   |
| 电网设备 | 300617 | 安靠智电 |  75.7  |  27.9   | -1.7  |  -3.4   |   3.9   |
| 电网设备 | 002270 | 华明装备 |  74.2  |  28.1   | -5.9  |  -8.6   |  -1.3   |
| 电网设备 | 603556 | 海兴电力 |  73.9  |  13.2   | -3.8  |  -6.0   |  -4.5   |
| 电网设备 | 000720 | 新能泰山 |  70.9  |  -54.4  | -4.2  |  -4.7   |  -7.6   |
| 电网设备 | 001208 | 华菱线缆 |  67.5  |  58.0   | -7.9  |  11.5   |  21.9   |
| 电网设备 | 600525 | 长园集团 |  67.0  |  35.7   | -4.7  |  -3.0   |   2.4   |
| 电网设备 | 300360 | 炬华科技 |  65.5  |  22.9   | -3.1  |   2.0   |   0.3   |
| 电网设备 | 603897 | 长城科技 |  64.0  |  32.7   | -7.2  |  -3.5   |   1.2   |
| 电网设备 | 300447 | 全信股份 |  63.7  |  29.1   | -4.4  |  -4.5   |   2.6   |
| 电网设备 | 300222 | 科大智能 |  62.6  |  -46.7  | -6.0  |   0.9   |  -0.7   |
| 电网设备 | 600268 | 国电南自 |  62.0  |  -23.0  | -4.7  |  -4.5   |  -3.2   |
| 电网设备 | 002169 | 智光电气 |  60.4  |  -7.2   | -2.2  |   1.1   |   1.3   |
| 电网设备 | 601700 | 风范股份 |  58.9  |  80.6   | -6.2  |  -2.3   |   0.6   |
| 电网设备 | 002346 | 柘中股份 |  56.6  |  38.4   | -4.3  |  -2.1   |  -1.2   |
| 电网设备 | 002256 | 兆新股份 |  55.7  |  -38.5  | -4.2  |  -4.5   |   0.3   |
| 电网设备 | 600590 | 泰豪科技 |  55.5  |   9.2   | -3.8  |  -0.9   |   1.4   |
