[行业>三日涨幅]
+------------+--------+----------+--------+--------+-------+---------+---------+
|    行业    |  代码  |   名称   |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+------------+--------+----------+--------+--------+-------+---------+---------+
|  食品饮料  | 600866 | 星湖科技 |  43.6  |  47.6  | -10.1 |  -12.8  |  -11.9  |
|  风电设备  | 002531 | 天顺风能 | 288.6  | 221.8  | -10.0 |  -9.5   |  -3.3   |
| 非金属材料 | 603688 | 石英股份 | 439.6  | 125.8  | -10.0 |  -1.1   |   9.2   |
| 非金属材料 | 600330 | 天通股份 | 118.7  |  27.1  | -10.0 |  -4.0   |   3.1   |
|  通信设备  | 002897 | 意华股份 |  75.3  |  41.9  | -10.0 |  -7.8   |  -2.8   |
|  装修装饰  | 001212 | 中旗新材 |  48.8  |  69.5  | -10.0 |  -4.4   |  -12.9  |
|  电网设备  | 002058 |  威尔泰  |  22.3  | -250.3 | -10.0 |   8.9   |  44.9   |
|  电网设备  | 002121 | 科陆电子 | 100.4  | -53.4  | -10.0 |   1.9   |  11.2   |
|  电网设备  | 301120 | 新特电气 |  44.0  |  71.7  | -10.0 |   0.0   |  -2.5   |
|  电网设备  | 603191 | 望变电气 |  77.6  |  53.0  | -10.0 |  -2.4   |   4.3   |
|  电网设备  | 603097 | 江苏华辰 |  38.0  |  33.1  | -10.0 |  -3.5   |   0.5   |
|  电网设备  | 688597 | 煜邦电力 |  27.0  | 117.6  | -11.5 |  -3.9   |   3.6   |
|  电网设备  | 603530 | 神马电力 |  82.6  | 2540.7 | -10.0 |  -5.3   |  26.1   |
|  电网设备  | 600577 | 精达股份 | 112.4  |  27.5  | -9.9  |  -6.9   |   2.7   |
|    电机    | 603728 | 鸣志电器 |  91.1  |  58.2  | -10.0 |   2.3   |  19.5   |
|  玻璃玻纤  | 300093 | 金刚玻璃 | 113.2  | -90.1  | -20.0 |  -2.1   |  41.7   |
|  消费电子  | 002655 | 共达电声 |  51.0  |  65.9  | -10.0 |   8.9   |  16.4   |
|  消费电子  | 003028 | 振邦智能 |  60.5  |  35.6  | -10.0 |   8.9   |  45.0   |
|  消费电子  | 002885 |  京泉华  |  54.3  | 131.9  | -10.0 |  -10.0  |   2.8   |
|  消费电子  | 002782 |  可立克  |  82.2  | 100.0  | -10.0 |  -15.5  |   2.6   |
| 汽车零部件 | 603917 | 合力科技 |  35.3  |  76.2  | -9.9  |   9.0   |  31.6   |
| 汽车零部件 | 002101 | 广东鸿图 | 122.3  |  41.7  | -10.0 |   8.9   |  40.8   |
| 汽车零部件 | 300611 | 美力科技 |  21.0  | 290.2  | -10.7 |   1.8   |  11.6   |
