[行业>市值]
+------+--------+----------+--------+--------+-------+---------+---------+
| 行业 |  代码  |   名称   |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+------+--------+----------+--------+--------+-------+---------+---------+
| 中药 | 600436 |  片仔癀  | 2152.0 |  78.1  |  2.2  |   1.1   |   7.2   |
| 中药 | 000538 | 云南白药 | 1085.0 |  29.7  |  3.1  |   3.1   |   4.8   |
| 中药 | 600085 |  同仁堂  | 725.2  |  45.3  | -0.0  |   0.2   |   3.3   |
| 中药 | 600332 |  白云山  | 513.6  |  7.1   |  3.0  |   1.6   |   3.0   |
| 中药 | 000999 | 华润三九 | 444.2  |  13.2  |  3.3  |   2.1   |   1.1   |
| 中药 | 002603 | 以岭药业 | 406.0  |  21.0  |  2.2  |  -1.7   |  -2.5   |
| 中药 | 600518 |  ST康美  | 331.3  | -74.3  | -0.8  |  -2.9   |  -2.5   |
| 中药 | 000423 | 东阿阿胶 | 241.7  |  52.7  |  1.0  |  -0.1   |   1.2   |
| 中药 | 600566 | 济川药业 | 241.3  |  10.4  |  1.7  |  -6.1   |  -3.4   |
| 中药 | 300026 | 红日药业 | 231.3  |  24.3  |  5.8  |   6.9   |  13.2   |
| 中药 | 603858 | 步长制药 | 225.0  |  13.1  |  0.2  |  -0.5   |   0.4   |
| 中药 | 600329 |  达仁堂  | 190.1  |  23.8  | -1.0  |  -3.8   |   2.2   |
| 中药 | 600771 |  广誉远  | 172.9  | 557.3  |  1.6  |   2.0   |  10.1   |
| 中药 | 600535 |  天士力  | 157.6  |  -7.1  |  0.1  |   0.2   |   0.7   |
| 中药 | 002390 | 信邦制药 | 140.1  |  47.7  |  4.1  |   3.9   |  -1.9   |
| 中药 | 002287 | 奇正藏药 | 136.5  |  39.2  |  0.6  |  -0.8   |  -2.3   |
| 中药 | 002349 | 精华制药 | 122.9  |  45.9  |  0.3  |  -3.8   |  -6.7   |
| 中药 | 600129 | 太极集团 | 122.3  | 153.6  |  1.5  |  -3.6   |  -3.5   |
| 中药 | 002317 | 众生药业 | 118.2  |  39.6  | -0.1  |  -3.8   |  -8.2   |
| 中药 | 600572 |  康恩贝  | 113.9  |  28.0  |  0.2  |  -0.9   |   1.4   |
| 中药 | 603567 |  珍宝岛  | 111.8  |  17.7  |  0.1  |  -0.7   |  -1.7   |
| 中药 | 002424 | 贵州百灵 | 108.5  |  41.7  |  0.7  |  -0.4   |   0.5   |
| 中药 | 600211 | 西藏药业 | 102.9  |  14.7  |  3.8  |   3.9   |   5.2   |
| 中药 | 600252 | 中恒集团 | 102.5  |  29.9  |  0.3  |   0.7   |   1.4   |
| 中药 | 600993 |  马应龙  | 100.4  |  18.2  |  2.1  |   2.7   |   3.8   |
| 中药 | 600422 | 昆药集团 |  92.1  |  20.1  |  0.4  |  -3.1   |  -1.1   |
| 中药 | 002737 | 葵花药业 |  91.3  |  10.4  |  0.7  |   0.3   |  -1.0   |
| 中药 | 600750 | 江中药业 |  90.2  |  12.3  |  4.5  |   3.4   |   3.5   |
| 中药 | 000650 | 仁和药业 |  89.3  |  14.3  |  1.9  |   2.2   |   3.6   |
| 中药 | 600557 | 康缘药业 |  84.7  |  19.2  |  2.2  |  -0.4   |  -2.1   |
| 中药 | 000989 |  九芝堂  |  79.1  |  16.0  |  0.6  |  -0.6   |  -0.6   |
| 中药 | 600976 | 健民集团 |  78.5  |  22.1  |  0.8  |  -4.5   |  -0.8   |
| 中药 | 002275 | 桂林三金 |  76.9  |  16.0  |  2.0  |  -0.1   |   0.9   |
| 中药 | 603896 |  寿仙谷  |  76.5  |  32.4  |  2.8  |   2.7   |  -0.1   |
| 中药 | 002166 | 莱茵生物 |  71.2  |  46.3  |  3.1  |  13.8   |  24.9   |
| 中药 | 600285 | 羚锐制药 |  71.1  |  13.6  |  1.4  |  -2.3   |  -1.1   |
| 中药 | 605199 |  葫芦娃  |  70.6  |  59.0  |  1.1  |  -2.6   |  -7.1   |
| 中药 | 300039 | 上海凯宝 |  66.3  |  28.8  |  0.8  |  -0.9   |  -0.9   |
| 中药 | 300181 | 佐力药业 |  60.5  |  22.0  |  1.3  |  -0.6   |   3.5   |
| 中药 | 002907 | 华森制药 |  56.5  |  48.1  |  1.5  |   2.2   |  13.2   |
| 中药 | 603439 | 贵州三力 |  53.9  |  56.8  |  0.7  |  -1.4   |  -2.2   |
| 中药 | 600351 | 亚宝药业 |  51.5  |  18.0  | -0.3  |  -1.6   |  -2.9   |
| 中药 | 002644 | 佛慈制药 |  49.1  |  57.1  | -0.1  |  -1.8   |  -0.8   |
| 中药 | 002750 | 龙津药业 |  47.8  | 1435.2 | -0.1  |  -1.3   |  -2.2   |
| 中药 | 600594 | 益佰制药 |  44.4  |  21.9  |  1.1  |   0.4   |   1.3   |
