[行业>市值]
+----------+--------+----------+--------+--------+-------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+-------+---------+---------+
| 光伏设备 | 601012 | 隆基绿能 | 5049.0 |  47.4  |  3.9  |   3.2   |   8.6   |
| 光伏设备 | 600438 | 通威股份 | 2695.0 |  13.0  |  5.2  |   4.0   |   9.5   |
| 光伏设备 | 002129 | TCL中环  | 1903.0 |  36.3  | 10.0  |  19.7   |  26.9   |
| 光伏设备 | 002459 | 晶澳科技 | 1853.0 |  61.7  |  0.1  |  -0.2   |   5.3   |
| 光伏设备 | 688223 | 晶科能源 | 1493.0 |  93.0  |  0.1  |   0.4   |  -1.0   |
| 光伏设备 | 300274 | 阳光电源 | 1459.0 |  88.8  |  6.7  |   4.2   |   5.1   |
| 光伏设备 | 688599 | 天合光能 | 1414.0 |  65.1  | -1.9  |  -3.3   |  -0.1   |
| 光伏设备 | 688303 | 大全能源 | 1315.0 |  7.6   |  5.8  |   1.9   |   4.2   |
| 光伏设备 | 603806 |  福斯特  | 872.4  |  64.3  |  1.4  |  -13.0  |  -11.8  |
| 光伏设备 | 300316 | 晶盛机电 | 869.5  |  49.1  |  1.4  |   3.0   |   2.7   |
| 光伏设备 | 601865 |  福莱特  | 818.0  |  46.8  |  1.1  |  -4.7   |  -7.6   |
| 光伏设备 | 300763 | 锦浪科技 | 791.0  | 120.3  |  4.0  |   2.6   |   7.7   |
| 光伏设备 | 600732 | 爱旭股份 | 672.4  |  74.0  |  5.1  |  -8.8   |   3.8   |
| 光伏设备 | 603185 | 上机数控 | 601.1  |  22.9  | 10.0  |  16.4   |  20.0   |
| 光伏设备 | 688032 | 禾迈股份 | 487.8  | 139.8  |  5.7  |   4.5   |   9.4   |
| 光伏设备 | 688348 | 昱能科技 | 390.4  | 317.7  | 11.2  |   5.6   |  12.1   |
| 光伏设备 | 688390 |  固德威  | 385.6  | 1024.2 | 10.9  |   9.1   |  13.8   |
| 光伏设备 | 300118 | 东方日升 | 264.4  |  31.1  |  2.0  |  -6.7   |   1.1   |
| 光伏设备 | 688516 |  奥特维  | 263.4  |  61.7  |  3.9  |  -2.8   |   1.8   |
| 光伏设备 | 688598 | 金博股份 | 236.3  |  29.2  |  0.3  |  -3.4   |  -3.1   |
| 光伏设备 | 002506 | 协鑫集成 | 217.6  | 249.7  | -1.6  |  -9.1   |  -3.6   |
| 光伏设备 | 002610 | 爱康科技 | 185.5  | -202.0 |  2.7  |  -8.2   |   6.4   |
| 光伏设备 | 300393 | 中来股份 | 185.2  |  52.2  |  2.4  |  -6.1   |   3.7   |
| 光伏设备 | 688556 | 高测股份 | 183.9  |  47.5  |  3.9  |  -3.5   |   2.0   |
| 光伏设备 | 002617 | 露笑科技 | 181.7  | -144.7 |  3.1  |   3.6   |   7.7   |
| 光伏设备 | 688680 | 海优新材 | 166.9  |  54.0  |  0.0  |  -10.1  |  -5.4   |
| 光伏设备 | 600151 | 航天机电 | 159.3  | -228.8 | -0.5  |   0.0   |   2.7   |
| 光伏设备 | 688408 |  中信博  | 125.5  | -351.3 |  6.9  |  -6.5   |   3.3   |
| 光伏设备 | 300827 | 上能电气 | 121.5  | 188.5  |  5.5  |  -4.8   |  -2.9   |
| 光伏设备 | 603212 | 赛伍技术 | 107.5  |  30.3  |  0.9  |  -8.0   |   1.1   |
| 光伏设备 | 603396 | 金辰股份 | 105.9  |  94.8  |  0.9  |  -11.0  |   5.9   |
| 光伏设备 | 002218 | 拓日新能 |  83.2  | 198.2  |  0.7  |  -8.5   |   1.7   |
| 光伏设备 | 002623 |  亚玛顿  |  79.7  | 180.6  | -10.0 |   8.9   |  42.1   |
| 光伏设备 | 300842 | 帝科股份 |  59.6  |  81.3  |  2.2  |  -14.8  |  19.4   |
| 光伏设备 | 600207 | 安彩高科 |  58.2  |  75.0  |  0.8  |  -10.2  |  -4.5   |
| 光伏设备 | 600537 | 亿晶光电 |  58.0  | -124.5 |  3.4  |  -0.4   |   3.8   |
| 光伏设备 | 688560 | 明冠新材 |  56.2  |  42.0  |  1.3  |  -8.2   |  13.0   |
| 光伏设备 | 603105 | 芯能科技 |  55.9  | 130.1  |  1.3  |  -1.1   |   1.1   |
| 光伏设备 | 301168 | 通灵股份 |  54.1  |  89.3  | -3.6  |   2.0   |  20.5   |
| 光伏设备 | 300317 | 珈伟新能 |  52.1  |  45.8  |  1.9  |  -2.6   |   2.8   |
| 光伏设备 | 301046 | 能辉科技 |  51.8  | 111.8  |  2.5  |  -4.9   |   1.9   |
| 光伏设备 | 002309 |  ST中利  |  39.1  | -15.4  | -3.9  |  -8.2   |  -9.7   |
| 光伏设备 | 603628 | 清源股份 |  35.6  | 149.6  | -0.6  |  -3.5   |  -1.6   |
| 光伏设备 | 300029 |  ST天龙  |  12.9  |  9.9   |  0.5  |  -0.3   |   0.0   |
+----------+--------+----------+--------+--------+-------+---------+---------+
 




 [行业>单日涨幅]
+----------+--------+----------+--------+--------+-------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+-------+---------+---------+
| 光伏设备 | 688348 | 昱能科技 | 390.4  | 317.7  | 11.2  |   5.6   |  12.1   |
| 光伏设备 | 688390 |  固德威  | 385.6  | 1024.2 | 10.9  |   9.1   |  13.8   |
| 光伏设备 | 603185 | 上机数控 | 601.1  |  22.9  | 10.0  |  16.4   |  20.0   |
| 光伏设备 | 002129 | TCL中环  | 1903.0 |  36.3  | 10.0  |  19.7   |  26.9   |
| 光伏设备 | 688408 |  中信博  | 125.5  | -351.3 |  6.9  |  -6.5   |   3.3   |
| 光伏设备 | 300274 | 阳光电源 | 1459.0 |  88.8  |  6.7  |   4.2   |   5.1   |
| 光伏设备 | 688303 | 大全能源 | 1315.0 |  7.6   |  5.8  |   1.9   |   4.2   |
| 光伏设备 | 688032 | 禾迈股份 | 487.8  | 139.8  |  5.7  |   4.5   |   9.4   |
| 光伏设备 | 300827 | 上能电气 | 121.5  | 188.5  |  5.5  |  -4.8   |  -2.9   |
| 光伏设备 | 600438 | 通威股份 | 2695.0 |  13.0  |  5.2  |   4.0   |   9.5   |
| 光伏设备 | 600732 | 爱旭股份 | 672.4  |  74.0  |  5.1  |  -8.8   |   3.8   |
| 光伏设备 | 300763 | 锦浪科技 | 791.0  | 120.3  |  4.0  |   2.6   |   7.7   |
| 光伏设备 | 688556 | 高测股份 | 183.9  |  47.5  |  3.9  |  -3.5   |   2.0   |
| 光伏设备 | 688516 |  奥特维  | 263.4  |  61.7  |  3.9  |  -2.8   |   1.8   |
| 光伏设备 | 601012 | 隆基绿能 | 5049.0 |  47.4  |  3.9  |   3.2   |   8.6   |
| 光伏设备 | 600537 | 亿晶光电 |  58.0  | -124.5 |  3.4  |  -0.4   |   3.8   |
| 光伏设备 | 002617 | 露笑科技 | 181.7  | -144.7 |  3.1  |   3.6   |   7.7   |
| 光伏设备 | 002610 | 爱康科技 | 185.5  | -202.0 |  2.7  |  -8.2   |   6.4   |
| 光伏设备 | 301046 | 能辉科技 |  51.8  | 111.8  |  2.5  |  -4.9   |   1.9   |
| 光伏设备 | 300393 | 中来股份 | 185.2  |  52.2  |  2.4  |  -6.1   |   3.7   |
| 光伏设备 | 300842 | 帝科股份 |  59.6  |  81.3  |  2.2  |  -14.8  |  19.4   |
| 光伏设备 | 300118 | 东方日升 | 264.4  |  31.1  |  2.0  |  -6.7   |   1.1   |
| 光伏设备 | 300317 | 珈伟新能 |  52.1  |  45.8  |  1.9  |  -2.6   |   2.8   |
| 光伏设备 | 603806 |  福斯特  | 872.4  |  64.3  |  1.4  |  -13.0  |  -11.8  |
| 光伏设备 | 300316 | 晶盛机电 | 869.5  |  49.1  |  1.4  |   3.0   |   2.7   |
| 光伏设备 | 688560 | 明冠新材 |  56.2  |  42.0  |  1.3  |  -8.2   |  13.0   |
| 光伏设备 | 603105 | 芯能科技 |  55.9  | 130.1  |  1.3  |  -1.1   |   1.1   |
| 光伏设备 | 601865 |  福莱特  | 818.0  |  46.8  |  1.1  |  -4.7   |  -7.6   |
| 光伏设备 | 603212 | 赛伍技术 | 107.5  |  30.3  |  0.9  |  -8.0   |   1.1   |
| 光伏设备 | 603396 | 金辰股份 | 105.9  |  94.8  |  0.9  |  -11.0  |   5.9   |
| 光伏设备 | 600207 | 安彩高科 |  58.2  |  75.0  |  0.8  |  -10.2  |  -4.5   |
| 光伏设备 | 002218 | 拓日新能 |  83.2  | 198.2  |  0.7  |  -8.5   |   1.7   |
| 光伏设备 | 300029 |  ST天龙  |  12.9  |  9.9   |  0.5  |  -0.3   |   0.0   |
| 光伏设备 | 688598 | 金博股份 | 236.3  |  29.2  |  0.3  |  -3.4   |  -3.1   |
| 光伏设备 | 002459 | 晶澳科技 | 1853.0 |  61.7  |  0.1  |  -0.2   |   5.3   |
| 光伏设备 | 688223 | 晶科能源 | 1493.0 |  93.0  |  0.1  |   0.4   |  -1.0   |
| 光伏设备 | 688680 | 海优新材 | 166.9  |  54.0  |  0.0  |  -10.1  |  -5.4   |
| 光伏设备 | 600151 | 航天机电 | 159.3  | -228.8 | -0.5  |   0.0   |   2.7   |
| 光伏设备 | 603628 | 清源股份 |  35.6  | 149.6  | -0.6  |  -3.5   |  -1.6   |
| 光伏设备 | 002506 | 协鑫集成 | 217.6  | 249.7  | -1.6  |  -9.1   |  -3.6   |
| 光伏设备 | 688599 | 天合光能 | 1414.0 |  65.1  | -1.9  |  -3.3   |  -0.1   |
| 光伏设备 | 301168 | 通灵股份 |  54.1  |  89.3  | -3.6  |   2.0   |  20.5   |
| 光伏设备 | 002309 |  ST中利  |  39.1  | -15.4  | -3.9  |  -8.2   |  -9.7   |
| 光伏设备 | 002623 |  亚玛顿  |  79.7  | 180.6  | -10.0 |   8.9   |  42.1   |
+----------+--------+----------+--------+--------+-------+---------+---------+
