[行业>市值]
+----------+--------+------------+--------+---------+------+---------+---------+
|   行业   |  代码  |    名称    |  市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+------------+--------+---------+------+---------+---------+
| 化学制药 | 600276 |  恒瑞医药  | 2366.0 |  47.8   | 4.4  |   4.3   |  13.6   |
| 化学制药 | 600196 |  复星医药  | 1130.0 |  61.1   | 4.2  |   1.8   |  -1.1   |
| 化学制药 | 000963 |  华东医药  | 790.2  |  28.1   | 6.9  |   4.4   |   6.5   |
| 化学制药 | 002001 |   新和成   | 705.0  |  14.7   | 0.1  |  -0.8   |   0.9   |
| 化学制药 | 603456 |  九洲药业  | 431.3  |  51.9   | 5.2  |   1.4   |   7.6   |
| 化学制药 | 300363 |  博腾股份  | 424.4  |  27.8   | 3.3  |  -0.2   |   7.4   |
| 化学制药 | 603707 |  健友股份  | 350.8  |  26.6   | 0.2  |  -1.1   |  -3.6   |
| 化学制药 | 000513 |  丽珠集团  | 338.5  |  15.3   | 2.0  |   2.3   |   4.7   |
| 化学制药 | 600521 |  华海药业  | 336.7  |  61.1   | 2.8  |   7.1   |   8.6   |
| 化学制药 | 688690 |  纳微科技  | 323.4  |  132.7  | 5.5  |   2.1   |   6.0   |
| 化学制药 | 002294 |   信立泰   | 313.3  |  33.0   | 3.7  |   3.8   |   6.0   |
| 化学制药 | 600062 |  华润双鹤  | 267.7  |  20.2   | 5.5  |  13.2   |  14.2   |
| 化学制药 | 002422 |  科伦药业  | 266.6  |  22.9   | 0.8  |  -1.6   |  -2.4   |
| 化学制药 | 600079 |  人福医药  | 261.3  |   7.0   | 0.6  |  -0.1   |  -3.0   |
| 化学制药 | 002399 |   海普瑞   | 258.0  |  27.4   | 2.6  |   0.5   |   0.5   |
| 化学制药 | 300558 |  贝达药业  | 252.6  |  75.5   | -0.2 |  -2.4   |   8.5   |
| 化学制药 | 000739 |  普洛药业  | 243.2  |  40.0   | 0.7  |   3.0   |  -0.7   |
| 化学制药 | 600380 |  XD健康元  | 236.2  |  12.8   | 5.0  |   2.8   |   4.1   |
| 化学制药 | 300725 |  药石科技  | 197.6  |  69.8   | 5.6  |   4.6   |   8.6   |
| 化学制药 | 000756 |  新华制药  | 184.3  |  42.5   | 2.7  |   1.4   |  -9.8   |
| 化学制药 | 002653 |   海思科   | 173.3  |  165.3  | 1.1  |   2.2   |   2.3   |
