[行业>市值]
+----------+--------+----------+--------+-------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |  pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+-------+------+---------+---------+
| 航运港口 | 601919 | 中远海控 | 2226.0 |  2.0  | 0.1  |   0.5   |   1.2   |
| 航运港口 | 600018 | 上港集团 | 1357.0 |  6.2  | 0.0  |  -0.5   |   0.2   |
| 航运港口 | 601018 |  宁波港  | 616.5  | 14.4  | 0.0  |  -1.3   |  -1.0   |
| 航运港口 | 600026 | 中远海能 | 492.8  | 492.3 | -1.8 |  -1.1   |   1.2   |
| 航运港口 | 601872 | 招商轮船 | 467.0  |  8.9  | -2.5 |  -2.2   |  -0.3   |
| 航运港口 | 601880 | 辽港股份 | 407.8  | 21.2  | -0.6 |  -1.2   |  -1.2   |
| 航运港口 | 601866 | 中远海发 | 407.6  |  7.4  | 0.3  |   1.0   |   1.4   |
| 航运港口 | 601298 |  青岛港  | 355.1  |  7.8  | -0.4 |  -0.2   |  -1.4   |
| 航运港口 | 001872 | 招商港口 | 299.9  |  8.7  | 0.5  |   2.2   |   5.0   |
| 航运港口 | 601228 |  广州港  | 227.3  | 18.3  | -0.5 |  -2.4   |  -0.5   |
| 航运港口 | 603565 | 中谷物流 | 225.2  |  9.0  | 0.1  |  -1.1   |  -0.1   |
| 航运港口 | 601975 | 招商南油 | 195.6  | 47.3  | -5.2 |   0.0   |   4.4   |
| 航运港口 | 601326 | 秦港股份 | 158.1  | 11.8  | -0.7 |  -1.1   |  -1.4   |
| 航运港口 | 601000 |  唐山港  | 152.9  |  9.7  | -0.4 |  -0.4   |  -0.8   |
| 航运港口 | 000582 | 北部湾港 | 138.2  | 14.8  | 0.4  |  -0.9   |  -0.5   |
| 航运港口 | 002320 | 海峡股份 | 126.8  | 32.9  | 3.1  |   1.8   |   9.4   |
| 航运港口 | 000088 |  盐田港  | 117.2  | 35.0  | 0.6  |   1.0   |   3.4   |
| 航运港口 | 600717 |  天津港  | 116.0  | 22.3  | -0.2 |   0.2   |   0.8   |
| 航运港口 | 600428 | 中远海特 | 102.2  |  8.1  | -0.4 |  -0.8   |  -1.9   |
| 航运港口 | 600017 |  日照港  |  93.5  |  9.4  | -0.7 |  -1.0   |  -1.6   |
| 航运港口 | 600190 |  锦州港  |  63.5  | 34.8  | 0.3  |   0.0   |   0.6   |
| 航运港口 | 000507 |  珠海港  |  58.4  | 25.1  | -1.4 |  -2.0   |   1.1   |
| 航运港口 | 601008 |  连云港  |  52.2  | 44.8  | -0.5 |  -0.9   |   0.2   |
| 航运港口 | 000905 | 厦门港务 |  49.4  | 18.7  | -0.6 |  -0.4   |   1.5   |
| 航运港口 | 600798 | 宁波海运 |  48.6  | 38.3  | 0.5  |  -0.7   |   0.2   |
| 航运港口 | 600279 |  重庆港  |  48.2  | 255.6 | 0.7  |   0.5   |   1.0   |
| 航运港口 | 603209 | 兴通股份 |  45.4  | 23.2  | -0.6 |  -3.0   |   0.2   |
| 航运港口 | 603167 | 渤海轮渡 |  34.6  | 22.6  | 2.5  |   4.4   |   6.1   |
| 航运港口 | 001205 | 盛航股份 |  33.8  | 21.5  | 2.0  |  -0.5   |   4.2   |
| 航运港口 | 002040 |  南京港  |  32.6  | 22.1  | 0.6  |  -0.7   |   0.3   |
| 航运港口 | 000520 | 长航凤凰 |  32.2  | 75.8  | -0.3 |  -0.9   |   0.0   |
+----------+--------+----------+--------+-------+------+---------+---------+
 




 [行业>单日涨幅]
+----------+--------+----------+--------+-------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |  pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+-------+------+---------+---------+
| 航运港口 | 002320 | 海峡股份 | 126.8  | 32.9  | 3.1  |   1.8   |   9.4   |
| 航运港口 | 603167 | 渤海轮渡 |  34.6  | 22.6  | 2.5  |   4.4   |   6.1   |
| 航运港口 | 001205 | 盛航股份 |  33.8  | 21.5  | 2.0  |  -0.5   |   4.2   |
| 航运港口 | 600279 |  重庆港  |  48.2  | 255.6 | 0.7  |   0.5   |   1.0   |
| 航运港口 | 002040 |  南京港  |  32.6  | 22.1  | 0.6  |  -0.7   |   0.3   |
| 航运港口 | 000088 |  盐田港  | 117.2  | 35.0  | 0.6  |   1.0   |   3.4   |
| 航运港口 | 600798 | 宁波海运 |  48.6  | 38.3  | 0.5  |  -0.7   |   0.2   |
| 航运港口 | 001872 | 招商港口 | 299.9  |  8.7  | 0.5  |   2.2   |   5.0   |
| 航运港口 | 000582 | 北部湾港 | 138.2  | 14.8  | 0.4  |  -0.9   |  -0.5   |
| 航运港口 | 601866 | 中远海发 | 407.6  |  7.4  | 0.3  |   1.0   |   1.4   |
| 航运港口 | 600190 |  锦州港  |  63.5  | 34.8  | 0.3  |   0.0   |   0.6   |
| 航运港口 | 603565 | 中谷物流 | 225.2  |  9.0  | 0.1  |  -1.1   |  -0.1   |
