[行业>市值]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 通信设备 | 000063 | 中兴通讯 | 1209.0 |  13.6  | 0.6  |   1.4   |   2.3   |
| 通信设备 | 600522 | 中天科技 | 788.4  |  19.4  | 3.9  |   2.2   |  13.5   |
| 通信设备 | 300628 | 亿联网络 | 687.1  |  35.3  | -1.8 |   0.5   |   6.3   |
| 通信设备 | 600487 | 亨通光电 | 343.5  |  25.0  | 4.2  |  -2.3   |   3.7   |
| 通信设备 | 603236 | DR移远通 | 252.6  |  51.1  | -0.1 |  -6.4   |   0.1   |
| 通信设备 | 300308 | 中际旭创 | 248.3  |  28.6  | -0.4 |   0.2   |   2.2   |
| 通信设备 | 603712 |  七一二  | 243.2  | 282.9  | -0.1 |   0.5   |   6.8   |
| 通信设备 | 601869 | 长飞光纤 | 234.3  |  28.8  | 4.1  |   5.3   |   1.8   |
| 通信设备 | 002465 | 海格通信 | 209.5  | 100.3  | 0.1  |   0.3   |   2.8   |
| 通信设备 | 000547 | 航天发展 | 191.5  |  33.2  | 1.1  |   1.4   |   6.1   |
| 通信设备 | 600562 | 国睿科技 | 184.4  |  53.5  | 0.6  |  -2.5   |  -1.1   |
| 通信设备 | 300627 | 华测导航 | 183.2  |  68.6  | 4.2  |   4.1   |   8.5   |
| 通信设备 | 600498 | 烽火通信 | 172.0  | 129.8  | -0.3 |   1.4   |   3.4   |
| 通信设备 | 000032 | 深桑达Ａ  | 170.6  | -33.2  | -2.1 |  -2.2   |   0.1   |
| 通信设备 | 300638 |  广和通  | 164.5  |  39.3  | 0.8  |  -2.3   |   4.9   |
| 通信设备 | 002151 | 北斗星通 | 161.7  |  88.2  | 0.1  |  -0.3   |   5.5   |
| 通信设备 | 600776 | 东方通信 | 141.3  | 643.4  | -0.8 |   3.5   |   3.9   |
| 通信设备 | 003031 | 中瓷电子 | 135.1  |  94.7  | 4.5  |  -1.6   |  11.5   |
| 通信设备 | 300502 |  新易盛  | 132.9  |  25.1  | 2.1  |   2.5   |   6.2   |
| 通信设备 | 002396 | 星网锐捷 | 132.1  |  27.5  | 0.2  |   1.1   |   6.4   |
| 通信设备 | 600435 | 北方导航 | 128.4  |  90.8  | -0.1 |  -1.3   |   2.7   |
| 通信设备 | 002281 | 光迅科技 | 123.0  |  21.5  | -2.0 |   3.8   |   6.2   |
| 通信设备 | 300101 | 振芯科技 | 115.6  |  42.7  | 1.4  |  -0.2   |   5.9   |
| 通信设备 | 300394 | 天孚通信 | 106.3  |  32.1  | 0.0  |  -2.9   |   0.6   |
| 通信设备 | 688100 | 威胜信息 | 104.9  |  40.3  | -0.4 |  -3.0   |  -0.1   |
| 通信设备 | 600734 |  ST实达  |  95.8  | -162.6 | -2.6 |   1.1   |   0.5   |
| 通信设备 | 003040 |  楚天龙  |  94.8  |  58.1  | 0.7  |  -2.1   |   1.0   |
| 通信设备 | 600775 | 南京熊猫 |  89.6  | -132.1 | 0.1  |   7.3   |  17.8   |
| 通信设备 | 002583 |  海能达  |  87.9  | -29.9  | 0.2  |   4.8   |   8.3   |
| 通信设备 | 300065 |  海兰信  |  83.3  | -71.7  | 3.1  |  -1.3   |   1.3   |
| 通信设备 | 688027 | 国盾量子 |  80.8  | -103.0 | 0.9  |  -1.7   |   2.9   |
| 通信设备 | 002897 | 意华股份 |  75.3  |  41.9  | -0.1 |  -4.9   |  -2.9   |
| 通信设备 | 002413 | 雷科防务 |  74.5  |  71.5  | 0.2  |   2.0   |   8.4   |
| 通信设备 | 002194 | 武汉凡谷 |  72.0  |  16.7  | 1.9  |  13.3   |  16.3   |
