[行业>三日涨幅]
+------------+--------+-------------+--------+--------+------+---------+---------+
|    行业    |  代码  |    名称     |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+------------+--------+-------------+--------+--------+------+---------+---------+
|  造纸印刷  | 000695 |  滨海能源   |  22.2  | -38.7  | -4.4 |  -1.2   |  11.3   |
|  通用设备  | 002747 |   埃斯顿    | 213.0  |  88.6  | -3.8 |   6.4   |  28.9   |
|  通用设备  | 002639 |  雪人股份   |  88.5  | 913.9  | -3.6 |   2.6   |   0.2   |
|  通用设备  | 002685 |  华东重机   |  36.6  |  37.2  | -3.5 |  -1.6   |   7.1   |
|  通用设备  | 300607 |   拓斯达    |  56.4  |  26.2  | -4.0 |  -5.8   |  10.0   |
|  软件开发  | 300996 |  普联软件   |  41.7  | -88.7  | -3.6 |   8.1   |   8.6   |
|  软件开发  | 002153 |  石基信息   | 333.2  | 271.3  | -3.0 |   5.4   |  14.6   |
|  软件开发  | 688168 |   安博通    |  25.8  | -28.6  | -3.1 |   2.0   |   9.2   |
|  软件开发  | 301302 |  华如科技   |  64.7  | -50.1  | -3.6 |  -2.5   |  17.9   |
|  软件开发  | 688327 | 云从科技-UW | 183.7  | -39.6  | -4.2 |  -3.8   |   1.2   |
|  软件开发  | 002410 |   广联达    | 648.0  | 148.9  | -4.5 |  -5.2   |   1.6   |
|  软件开发  | 300552 |  万集科技   |  65.5  | 531.1  | -5.3 |  -5.4   |  21.0   |
|  软件开发  | 300799 |  左江科技   |  76.8  | -73.5  | -5.4 |  -9.6   |  16.3   |
|  贸易行业  | 600241 |   ST时万    |  23.3  |  24.0  | -5.0 |  -5.2   |  -3.8   |
|  贸易行业  | 601028 |  玉龙股份   | 139.1  |  46.0  | -3.5 |  -5.4   |  -6.6   |
| 计算机设备 | 300202 |   聚龙退    |  2.8   |  -6.3  | -3.8 |  -13.6  |  -31.1  |
|  装修装饰  | 002789 |  建艺集团   |  23.4  | 135.5  | -3.4 |  -2.4   |  -6.7   |
|  航运港口  | 601975 |  招商南油   | 195.6  |  47.3  | -5.2 |   0.0   |   4.4   |
|  美容护理  | 002243 |  力合科创   | 116.8  |  83.9  | -5.2 |  -9.0   |  -1.4   |
|  纺织服装  | 603055 |  台华新材   | 109.1  |  23.8  | -4.0 |  -5.6   |  -4.3   |
|  电源设备  | 002630 |  华西能源   |  37.5  |  -6.1  | -3.9 |   9.3   |   6.3   |
|    电池    | 002733 |  雄韬股份   |  66.9  | 142.8  | -3.2 |   8.8   |   7.2   |
|    电机    | 003021 |  兆威机电   |  82.0  |  90.3  | -5.6 |  -5.3   |   3.0   |
|  电子元件  | 000988 |  华工科技   | 233.0  |  25.8  | -3.4 |  -1.1   |   9.1   |
|  电子元件  | 600478 |   科力远    | 137.3  | 108.7  | -3.8 |  -4.9   |  -1.1   |
|  电子元件  | 002388 |  新亚制程   |  29.2  | 123.2  | -3.5 |  -5.9   |   7.5   |
|  电力行业  | 000531 |   穗恒运Ａ   |  60.5  | -29.8  | -3.0 |  -0.4   |   0.8   |
|  电力行业  | 000722 |  湖南发展   |  65.7  |  40.8  | -5.8 |  -5.7   |  -7.2   |
|  电力行业  | 300125 |  聆达股份   |  42.9  | -38.9  | -3.8 |  -11.3  |  -8.8   |
|  环保行业  | 000068 |  华控赛格   |  36.9  | -95.0  | -3.4 |  -5.2   |  -12.4  |
|  物流行业  | 603223 |  恒通股份   |  86.8  | 216.9  | -3.7 |   2.1   |   3.6   |
|  消费电子  | 002547 |  春兴精工   |  47.7  |  71.4  | -4.3 |  15.9   |  25.1   |
