[行业>市值]
+------+--------+----------+--------+--------+------+---------+---------+
| 行业 |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+------+--------+----------+--------+--------+------+---------+---------+
| 中药 | 600436 |  片仔癀  | 2116.0 |  76.8  | -1.7 |  -0.6   |   4.2   |
| 中药 | 000538 | 云南白药 | 1078.0 |  29.5  | -0.6 |   2.1   |   3.2   |
| 中药 | 600085 |  同仁堂  | 672.2  |  42.0  | -7.3 |  -9.3   |  -6.9   |
| 中药 | 600332 |  白云山  | 503.0  |  7.0   | -2.1 |  -0.9   |  -1.0   |
| 中药 | 000999 | 华润三九 | 447.8  |  13.3  | 0.8  |   4.4   |   2.2   |
| 中药 | 002603 | 以岭药业 | 399.3  |  20.6  | -1.6 |  -1.4   |  -5.9   |
| 中药 | 600518 |  ST康美  | 334.1  | -75.0  | 0.8  |  -1.2   |  -1.2   |
| 中药 | 000423 | 东阿阿胶 | 237.7  |  51.8  | -1.6 |  -0.7   |   0.8   |
| 中药 | 600566 | 济川药业 | 232.2  |  10.0  | -3.8 |  -5.7   |  -8.3   |
| 中药 | 300026 | 红日药业 | 230.1  |  24.1  | -0.5 |   8.5   |  12.8   |
| 中药 | 603858 | 步长制药 | 223.3  |  13.0  | -0.8 |  -1.1   |  -0.7   |
| 中药 | 600329 |  达仁堂  | 189.3  |  23.7  | -0.4 |  -1.8   |  -0.5   |
| 中药 | 600771 |  广誉远  | 166.8  | 537.6  | -3.5 |  -5.3   |  -1.6   |
| 中药 | 600535 |  天士力  | 157.0  |  -7.0  | -0.4 |  -1.2   |  -0.1   |
| 中药 | 002390 | 信邦制药 | 146.4  |  49.8  | 4.5  |   8.9   |   7.3   |
| 中药 | 002287 | 奇正藏药 | 135.3  |  38.8  | -0.9 |  -2.1   |  -2.1   |
| 中药 | 002349 | 精华制药 | 119.4  |  44.6  | -2.9 |  -4.4   |  -7.3   |
| 中药 | 600129 | 太极集团 | 118.3  | 148.6  | -3.3 |  -3.9   |  -5.3   |
| 中药 | 002317 | 众生药业 | 115.6  |  38.7  | -2.2 |  -5.4   |  -7.2   |
| 中药 | 600572 |  康恩贝  | 113.3  |  27.9  | -0.5 |  -1.3   |   0.0   |
| 中药 | 603567 |  珍宝岛  | 111.2  |  17.6  | -0.6 |  -1.4   |  -1.3   |
| 中药 | 002424 | 贵州百灵 | 107.1  |  41.1  | -1.3 |  -2.7   |  -1.4   |
| 中药 | 600211 | 西藏药业 | 102.6  |  14.7  | -0.3 |   3.6   |   4.9   |
| 中药 | 600252 | 中恒集团 | 101.5  |  29.6  | -1.0 |  -1.0   |   0.0   |
| 中药 | 600993 |  马应龙  |  99.4  |  18.1  | -1.1 |   0.4   |   2.6   |
| 中药 | 002737 | 葵花药业 |  92.2  |  10.5  | 1.0  |   1.0   |   0.3   |
| 中药 | 000650 | 仁和药业 |  91.0  |  14.6  | 1.9  |   3.3   |   4.7   |
| 中药 | 600422 | 昆药集团 |  90.8  |  19.8  | -1.5 |  -2.8   |  -2.4   |
| 中药 | 600750 | 江中药业 |  87.1  |  11.9  | -3.4 |  -0.8   |  -0.1   |
| 中药 | 600557 | 康缘药业 |  85.2  |  19.4  | 0.7  |   2.5   |   1.6   |
| 中药 | 000989 |  九芝堂  |  78.7  |  15.9  | -0.6 |  -1.3   |  -1.4   |
| 中药 | 603896 |  寿仙谷  |  77.7  |  32.9  | 1.6  |   3.2   |   2.5   |
| 中药 | 002275 | 桂林三金 |  76.7  |  16.0  | -0.2 |  -0.5   |   0.2   |
| 中药 | 002166 | 莱茵生物 |  76.6  |  49.9  | 7.6  |  11.3   |  34.5   |
| 中药 | 600976 | 健民集团 |  76.5  |  21.6  | -2.4 |  -4.5   |  -3.0   |
| 中药 | 600285 | 羚锐制药 |  72.9  |  13.9  | 2.5  |   1.1   |   1.3   |
| 中药 | 605199 |  葫芦娃  |  69.6  |  58.1  | -1.5 |  -3.3   |  -4.9   |
| 中药 | 300039 | 上海凯宝 |  67.6  |  29.3  | 1.9  |   0.3   |   1.2   |
| 中药 | 300181 | 佐力药业 |  60.9  |  22.1  | 0.6  |   0.5   |  -0.9   |
| 中药 | 002907 | 华森制药 |  54.5  |  46.4  | -3.5 |  -10.4  |   6.8   |
| 中药 | 603439 | 贵州三力 |  54.0  |  56.8  | 0.1  |  -1.4   |  -1.2   |
| 中药 | 600351 | 亚宝药业 |  51.1  |  17.9  | -0.8 |  -2.2   |  -1.9   |
| 中药 | 002644 | 佛慈制药 |  48.7  |  56.7  | -0.8 |  -3.2   |  -1.2   |
| 中药 | 002750 | 龙津药业 |  45.9  | 1377.5 | -4.0 |  -4.9   |  -5.2   |
| 中药 | 600594 | 益佰制药 |  44.7  |  22.1  | 0.7  |  -0.2   |   0.7   |
| 中药 | 600479 | 千金药业 |  41.5  |  26.0  | 0.2  |  -0.7   |   0.0   |
| 中药 | 000919 | 金陵药业 |  38.6  |  24.6  | 0.0  |  -0.4   |   0.5   |
| 中药 | 300147 | 香雪制药 |  38.5  | -17.7  | -0.3 |  -2.2   |  -4.3   |
| 中药 | 002107 | 沃华医药 |  36.7  |  34.1  | 2.4  |   1.6   |   5.7   |
| 中药 | 002433 |  太安堂  |  35.3  | -23.6  | -1.1 |  -4.8   |  -2.5   |
| 中药 | 002118 | 紫鑫药业 |  35.2  |  -4.3  | -4.8 |   0.7   |   0.7   |
| 中药 | 603963 | 大理药业 |  34.5  | -268.7 | -2.7 |  -3.7   |  -7.5   |
| 中药 | 002864 | 盘龙药业 |  34.5  |  42.9  | -3.2 |  -1.5   |  -3.2   |
| 中药 | 300878 | 维康药业 |  33.9  |  37.0  | 0.0  |  -1.0   |   0.5   |
| 中药 | 600222 | 太龙药业 |  33.7  | 361.5  | -0.3 |  -3.1   |  -4.2   |
| 中药 | 300534 | 陇神戎发 |  33.0  | 1351.5 | -4.5 |  -2.0   |   9.6   |
| 中药 | 002728 | 特一药业 |  32.2  |  17.7  | -1.6 |   1.5   |   2.0   |
| 中药 | 002412 | 汉森制药 |  30.9  |  14.9  | -0.2 |  -1.9   |   1.1   |
| 中药 | 000790 | 华神科技 |  29.8  |  78.9  | -0.2 |  -1.4   |   2.4   |
| 中药 | 002873 | 新天药业 |  28.5  |  23.1  | 1.2  |   0.8   |   4.8   |
| 中药 | 603998 | 方盛制药 |  28.5  |  20.8  | 0.5  |  -2.2   |  -1.5   |
| 中药 | 300519 | 新光药业 |  28.3  |  16.5  | 0.1  |  -2.5   |   0.2   |
| 中药 | 600080 | 金花股份 |  28.1  |  75.8  | -1.1 |  -1.9   |   0.3   |
| 中药 | 002198 | 嘉应制药 |  27.7  | 272.7  | -0.7 |  -2.9   |  -2.1   |
