[行业>市值]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 光伏设备 | 601012 | 隆基绿能 | 4917.0 |  46.1  | -2.6 |  -4.0   |   5.0   |
| 光伏设备 | 600438 | 通威股份 | 2686.0 |  12.9  | -0.3 |   1.1   |   8.1   |
| 光伏设备 | 002129 | TCL中环  | 1912.0 |  36.5  | 0.5  |   9.3   |  27.1   |
| 光伏设备 | 002459 | 晶澳科技 | 1762.0 |  58.7  | -4.9 |  -8.2   |  -1.2   |
| 光伏设备 | 300274 | 阳光电源 | 1425.0 |  86.7  | -2.4 |  -1.2   |   4.0   |
| 光伏设备 | 688223 | 晶科能源 | 1402.0 |  87.4  | -6.1 |  -10.6  |  -9.3   |
| 光伏设备 | 688303 | 大全能源 | 1348.0 |  7.8   | 2.5  |   2.1   |   7.4   |
| 光伏设备 | 688599 | 天合光能 | 1294.0 |  59.5  | -8.5 |  -13.3  |  -8.2   |
| 光伏设备 | 603806 |  福斯特  | 867.5  |  64.0  | -0.6 |  -8.8   |  -12.0  |
| 光伏设备 | 300316 | 晶盛机电 | 842.6  |  47.6  | -3.1 |  -4.8   |  -2.7   |
| 光伏设备 | 300763 | 锦浪科技 | 791.0  | 120.3  | 0.0  |   0.0   |   6.2   |
| 光伏设备 | 601865 |  福莱特  | 789.4  |  45.2  | -3.5 |  -6.1   |  -11.2  |
| 光伏设备 | 600732 | 爱旭股份 | 694.4  |  76.4  | 3.3  |  -2.4   |   4.8   |
| 光伏设备 | 603185 | 上机数控 | 632.4  |  24.1  | 4.8  |  19.5   |  22.9   |
| 光伏设备 | 688032 | 禾迈股份 | 498.2  | 142.8  | 2.1  |   5.2   |   7.2   |
| 光伏设备 | 688348 | 昱能科技 | 410.7  | 334.2  | 5.2  |  15.6   |  11.6   |
| 光伏设备 | 688390 |  固德威  | 377.5  | 1002.6 | -2.1 |   9.9   |  10.9   |
| 光伏设备 | 688516 |  奥特维  | 263.7  |  61.8  | 0.1  |  -2.4   |  -1.8   |
| 光伏设备 | 300118 | 东方日升 | 260.5  |  30.6  | -1.5 |  -7.0   |  -2.3   |
| 光伏设备 | 688598 | 金博股份 | 225.9  |  27.9  | -4.4 |  -7.6   |  -8.9   |
| 光伏设备 | 002506 | 协鑫集成 | 214.7  | 246.3  | -1.3 |  -8.2   |  -9.4   |
| 光伏设备 | 688556 | 高测股份 | 186.2  |  48.1  | 1.2  |   0.1   |   4.5   |
| 光伏设备 | 002617 | 露笑科技 | 181.2  | -144.3 | -0.3 |  -1.7   |   4.2   |
| 光伏设备 | 002610 | 爱康科技 | 178.7  | -194.7 | -3.6 |  -10.9  |   2.3   |
| 光伏设备 | 300393 | 中来股份 | 177.6  |  50.1  | -4.1 |  -8.0   |  -0.9   |
| 光伏设备 | 600151 | 航天机电 | 161.1  | -231.2 | 1.1  |  -0.1   |   1.4   |
| 光伏设备 | 688680 | 海优新材 | 156.3  |  50.6  | -6.4 |  -9.9   |  -11.1  |
| 光伏设备 | 300827 | 上能电气 | 118.6  | 183.9  | -2.4 |  -5.1   |  -5.8   |
| 光伏设备 | 688408 |  中信博  | 114.7  | -321.0 | -8.6 |  -12.7  |  -9.5   |
| 光伏设备 | 603212 | 赛伍技术 | 101.4  |  28.6  | -5.7 |  -11.7  |  -7.4   |
| 光伏设备 | 603396 | 金辰股份 | 101.2  |  90.6  | -4.4 |  -13.2  |  -2.4   |
| 光伏设备 | 002623 |  亚玛顿  |  81.2  | 183.9  | 1.9  |   0.8   |  34.2   |
| 光伏设备 | 002218 | 拓日新能 |  81.1  | 193.2  | -2.5 |  -10.7  |  -1.2   |
| 光伏设备 | 300842 | 帝科股份 |  57.3  |  78.2  | -3.9 |  -15.9  |  -0.6   |
| 光伏设备 | 600207 | 安彩高科 |  57.0  |  73.5  | -1.9 |  -10.3  |  -3.2   |
| 光伏设备 | 600537 | 亿晶光电 |  56.9  | -122.3 | -1.8 |  -3.0   |  -0.2   |
| 光伏设备 | 301168 | 通灵股份 |  56.3  |  93.0  | 4.1  |   1.3   |  22.9   |
| 光伏设备 | 688560 | 明冠新材 |  55.8  |  41.8  | -0.7 |  -7.2   |   9.5   |
| 光伏设备 | 603105 | 芯能科技 |  55.2  | 128.6  | -1.2 |  -4.7   |  -2.0   |
| 光伏设备 | 300317 | 珈伟新能 |  53.1  |  46.6  | 1.9  |  -0.9   |   0.3   |
| 光伏设备 | 301046 | 能辉科技 |  51.5  | 111.1  | -0.6 |  -3.9   |   0.5   |
| 光伏设备 | 002309 |  ST中利  |  39.0  | -15.4  | -0.2 |  -8.8   |  -11.5  |
| 光伏设备 | 603628 | 清源股份 |  35.1  | 147.7  | -1.2 |  -5.7   |  -3.0   |
| 光伏设备 | 300029 |  ST天龙  |  12.9  |  9.9   | 0.0  |  -1.4   |  -0.8   |
+----------+--------+----------+--------+--------+------+---------+---------+
 




 [行业>单日涨幅]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
