[行业>市值]
+--------+--------+------------+--------+---------+-------+---------+---------+
|  行业  |  代码  |    名称    |  市值  |   pe    | 涨幅  | 3日涨幅 | 6日涨幅 |
+--------+--------+------------+--------+---------+-------+---------+---------+
| 半导体 | 688981 |  中芯国际  | 3541.0 |  31.1   | -0.8  |  -2.7   |   0.7   |
| 半导体 | 603501 |  韦尔股份  | 1520.0 |  42.4   |  0.2  |  -0.4   |  11.4   |
| 半导体 | 002371 |  北方华创  | 1487.0 |  180.1  |  1.8  |   0.9   |   6.5   |
| 半导体 | 002049 |  紫光国微  | 1225.0 |  57.7   |  6.4  |   3.3   |   5.4   |
| 半导体 | 603986 |  兆易创新  | 926.8  |  33.8   | -2.4  |  -0.8   |   8.3   |
| 半导体 | 688396 |   华润微   | 764.7  |  30.9   | -1.9  |  -2.9   |   2.2   |
| 半导体 | 300782 |   卓胜微   | 751.3  |  40.9   |  4.3  |   7.2   |  10.5   |
| 半导体 | 600460 |   士兰微   | 722.6  |  67.3   | -1.9  |   0.4   |  12.0   |
| 半导体 | 688012 |  中微公司  | 716.4  |  152.8  | -0.4  |  -4.0   |  -0.7   |
| 半导体 | 688008 |  澜起科技  | 682.4  |  55.7   | -0.6  |   2.3   |   6.2   |
| 半导体 | 603290 |  斯达半导  | 649.7  |  107.4  | -1.3  |  -0.1   |   1.0   |
| 半导体 | 300661 |  圣邦股份  | 647.6  |  62.2   | -0.1  |  -0.1   |   8.2   |
| 半导体 | 688126 | 沪硅产业-U | 622.4  | -1026.9 | -0.4  |  -1.9   |   1.2   |
| 半导体 | 688385 |  复旦微电  | 515.5  |  55.3   | -2.9  |  -3.1   |   3.1   |
| 半导体 | 688728 |   格科微   | 509.8  |  52.8   | -0.5  |  -1.6   |   1.9   |
| 半导体 | 300223 |  北京君正  | 489.1  |  52.8   | -4.4  |  -0.7   |   8.7   |
| 半导体 | 600584 |  长电科技  | 476.6  |  13.8   | -0.8  |   0.3   |   7.3   |
| 半导体 | 605358 |   立昂微   | 462.4  |  48.6   |  1.4  |   5.2   |  14.1   |
| 半导体 | 688536 |   思瑞浦   | 423.7  |  115.8  | -6.0  |   1.6   |   4.1   |
| 半导体 | 603893 |   瑞芯微   | 403.2  |  119.8  |  6.2  |  15.1   |  21.8   |
| 半导体 | 688099 |  晶晨股份  | 399.5  |  36.9   | -3.8  |  -0.7   |   6.0   |
| 半导体 | 688052 |   纳芯微   | 375.6  |  111.4  | -1.9  |   0.3   |  -1.5   |
| 半导体 | 688047 |  龙芯中科  | 367.5  |  252.2  | -0.6  |  -11.5  |  52.6   |
| 半导体 | 300373 |  扬杰科技  | 355.3  |  32.1   | -2.7  |   0.5   |   0.1   |
| 半导体 | 603160 |  汇顶科技  | 312.3  | -154.6  | 10.0  |  10.5   |  16.5   |
| 半导体 | 002185 |  华天科技  | 296.4  |  35.8   | -1.4  |  -2.2   |   2.3   |
| 半导体 | 688234 |  天岳先进  | 294.4  | -168.1  |  2.2  |   6.4   |  13.3   |
| 半导体 | 688220 | 翱捷科技-U | 285.7  | -221.2  | -1.8  |  -3.2   |  -0.1   |
| 半导体 | 688120 |  华海清科  | 269.3  |  73.8   |  1.6  |   3.9   |  -2.9   |
| 半导体 | 300604 |  长川科技  | 268.7  |  94.5   | -1.5  |  -3.3   |   1.6   |
| 半导体 | 688107 | 安路科技-U | 265.2  |  374.7  | -3.5  |  -3.8   |   0.0   |
| 半导体 | 002409 |  雅克科技  | 258.9  |  43.6   | -2.0  |  -2.9   |   0.7   |
| 半导体 | 688256 |  寒武纪-U  | 251.2  |  -21.9  | -3.1  |  -6.5   |  -2.5   |
| 半导体 | 605111 |   新洁能   | 241.2  |  53.6   | -4.1  |  -7.5   |  -2.2   |
| 半导体 | 688521 | 芯原股份-U | 239.2  | 1821.2  | -2.4  |  -3.3   |   0.8   |
| 半导体 | 688213 |  思特威-W  | 235.5  |  417.2  |  2.7  |   5.9   |  20.4   |
| 半导体 | 688798 |  艾为电子  | 224.9  |  97.8   | -0.3  |  -3.0   |   2.5   |
| 半导体 | 688200 |  华峰测控  | 212.8  |  43.5   | -3.0  |  -4.8   |   0.2   |
| 半导体 | 002156 |  通富微电  | 201.7  |  30.6   | -1.4  |  -0.6   |   5.0   |
| 半导体 | 688153 | 唯捷创芯-U | 197.8  |  134.5  | -3.1  |  -2.4   |   1.2   |
| 半导体 | 688072 | 拓荆科技-U | 197.8  | -416.3  |  0.8  |   0.8   |  -2.2   |
| 半导体 | 300613 |   富瀚微   | 185.2  |  45.6   | -4.6  |  -3.2   |  15.6   |
| 半导体 | 300623 |  捷捷微电  | 183.2  |  45.6   |  0.3  |   3.7   |   9.8   |
| 半导体 | 300458 |  全志科技  | 180.6  |  58.8   | -4.8  |   5.1   |  21.7   |
| 半导体 | 301050 |  雷电微力  | 177.4  |  41.4   |  0.2  |  -3.6   |   0.1   |
| 半导体 | 603005 |  晶方科技  | 175.8  |  47.8   | -5.2  |   7.4   |  20.0   |
| 半导体 | 600171 |  上海贝岭  | 173.0  |  30.0   | -3.0  |  -4.5   |  11.5   |
| 半导体 | 688002 |  睿创微纳  | 172.5  |  302.0  | -2.6  |  -6.9   |  -4.9   |
| 半导体 | 688608 |  恒玄科技  | 167.2  |  185.8  |  1.3  |  -1.7   |   0.4   |
| 半导体 | 300327 |  中颖电子  | 165.5  |  32.2   | -2.9  |  -6.4   |   0.4   |
| 半导体 | 688110 |  东芯股份  | 164.0  |  37.2   | -2.2  |  -3.2   |   1.7   |
| 半导体 | 300671 |   富满微   | 163.9  |  73.8   |  4.5  |   4.3   |  15.8   |
| 半导体 | 688048 |  长光华芯  | 161.7  |  146.3  | -2.0  |   4.6   |   7.2   |
| 半导体 | 300672 |   国科微   | 156.3  | -170.9  |  4.9  |   9.0   |  15.5   |
