[行业>市值]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 消费电子 | 002475 | 立讯精密 | 2416.0 |  33.5  | 0.9  |   0.0   |   6.1   |
| 消费电子 | 601138 | 工业富联 | 1943.0 |  14.9  | -0.6 |  -1.2   |   1.1   |
| 消费电子 | 002241 | 歌尔股份 | 1145.0 |  31.8  | -0.3 |  -2.1   |   2.8   |
| 消费电子 | 600745 | 闻泰科技 | 1023.0 |  50.9  | -3.5 |   1.8   |  27.5   |
| 消费电子 | 688036 | 传音控股 | 723.6  |  22.7  | 1.1  |  -0.4   |   2.4   |
| 消费电子 | 300433 | 蓝思科技 | 554.0  | -33.7  | 0.6  |  -0.6   |   3.8   |
| 消费电子 | 002841 | 视源股份 | 491.9  |  39.9  | -2.0 |  -4.4   |  -1.6   |
| 消费电子 | 002600 | 领益智造 | 352.1  |  29.3  | -0.8 |  -2.5   |   5.1   |
| 消费电子 | 601231 | 环旭电子 | 312.5  |  17.8  | -1.5 |  -0.1   |   3.1   |
| 消费电子 | 300866 | 安克创新 | 285.8  |  35.9  | 6.0  |   8.9   |  11.6   |
| 消费电子 | 300679 | 电连技术 | 194.5  |  55.2  | 4.5  |  -5.5   |   6.2   |
| 消费电子 | 000021 |  深科技  | 178.4  |  18.4  | -1.8 |  -4.0   |   1.6   |
| 消费电子 | 300083 |  创世纪  | 174.8  |  26.0  | -1.5 |  -8.3   |   2.9   |
| 消费电子 | 002402 |  和而泰  | 174.5  |  61.0  | 0.2  |  -3.5   |   3.2   |
| 消费电子 | 002925 | 盈趣科技 | 166.5  |  26.8  | -1.2 |  -3.3   |  -0.1   |
| 消费电子 | 300136 | 信维通信 | 164.9  |  34.1  | 1.1  |   1.1   |   4.7   |
| 消费电子 | 002139 | 拓邦股份 | 156.9  |  41.7  | 1.7  |  -1.2   |  10.4   |
| 消费电子 | 001308 | 康冠科技 | 152.7  |  16.7  | 0.1  |  -1.9   |   2.3   |
| 消费电子 | 300115 | 长盈精密 | 123.1  | -15.8  | -0.6 |  -7.1   |   3.0   |
| 消费电子 | 002635 | 安洁科技 | 110.0  |  32.4  | -1.6 |  -7.3   |  -0.6   |
| 消费电子 | 688007 | 光峰科技 | 107.4  | 150.4  | -2.4 |  -6.5   |  -5.6   |
| 消费电子 | 002993 | 奥海科技 |  99.9  |  23.9  | 2.3  |   6.5   |   8.2   |
| 消费电子 | 603595 | 东尼电子 |  94.4  | 127.7  | -1.6 |   1.2   |   7.9   |
| 消费电子 | 002782 |  可立克  |  82.8  | 100.7  | 1.9  |  -9.3   |  -10.7  |
| 消费电子 | 301180 | 万祥科技 |  81.4  |  38.5  | -2.9 |  -5.0   |   4.3   |
| 消费电子 | 300735 | 光弘科技 |  79.5  |  42.7  | -1.8 |  -5.3   |   0.7   |
| 消费电子 | 002881 | 美格智能 |  77.8  |  79.0  | 1.3  |  -3.0   |  -8.3   |
| 消费电子 | 300602 |  飞荣达  |  77.5  | -108.3 | -7.0 |  -10.8  |   1.1   |
| 消费电子 | 002351 |  漫步者  |  75.6  |  34.3  | 0.5  |  -3.4   |   0.7   |
| 消费电子 | 002055 | 得润电子 |  75.3  | 209.0  | 0.2  |  -2.5   |   1.7   |
| 消费电子 | 603327 | 福蓉科技 |  72.7  |  18.9  | 1.4  |  -0.6   |   3.3   |
| 消费电子 | 002681 | 奋达科技 |  70.4  |  81.8  | -2.0 |  -1.0   |   1.3   |
| 消费电子 | 002866 | 传艺科技 |  67.1  |  37.3  | 10.0 |  33.1   |  77.2   |
| 消费电子 | 603380 |  易德龙  |  62.5  |  28.1  | -0.6 |   0.6   |   1.7   |
| 消费电子 | 301123 | 奕东电子 |  60.3  |  37.5  | -1.2 |  -5.1   |  -5.9   |
| 消费电子 | 003028 | 振邦智能 |  59.9  |  35.2  | 10.0 |  -10.9  |  18.6   |
| 消费电子 | 300951 | 博硕科技 |  56.3  |  22.7  | -0.4 |   0.7   |   2.6   |
| 消费电子 | 300131 | 英唐智控 |  55.8  |  48.4  | -0.4 |  -3.0   |  -0.9   |
| 消费电子 | 300709 | 精研科技 |  55.6  |  59.1  | 0.8  |  -3.4   |  -1.9   |
| 消费电子 | 002885 |  京泉华  |  55.0  | 133.7  | 0.9  |  -8.8   |  -6.2   |
| 消费电子 | 002937 | 兴瑞科技 |  54.1  |  39.7  | -1.8 |  -5.3   |   4.3   |
| 消费电子 | 002655 | 共达电声 |  53.3  |  68.9  | 0.2  |  -5.8   |  17.4   |
| 消费电子 | 300793 | 佳禾智能 |  52.6  |  67.5  | -2.9 |  -1.5   |  -0.8   |
| 消费电子 | 300647 |  超频三  |  51.5  |  48.8  | 0.3  |  -6.8   |   5.7   |
| 消费电子 | 300032 | 金龙机电 |  48.6  |  99.1  | 2.2  |  -2.6   |  11.4   |
| 消费电子 | 002547 | 春兴精工 |  48.3  |  72.2  | 1.2  |   6.5   |  21.2   |
| 消费电子 | 688678 |  福立旺  |  46.3  |  30.3  | 5.3  |   3.9   |  12.9   |
| 消费电子 | 300976 | 达瑞电子 |  45.9  |  52.0  | -0.7 |  -3.6   |  -0.5   |
| 消费电子 | 300916 | 朗特智能 |  44.9  |  56.1  | 6.2  |   1.9   |   7.8   |
| 消费电子 | 600203 | 福日电子 |  43.8  |  43.5  | -1.1 |  -4.2   |   9.2   |
| 消费电子 | 603890 | 春秋电子 |  43.2  |  22.0  | -0.2 |  -2.9   |   2.7   |
| 消费电子 | 300787 | 海能实业 |  42.9  |  18.4  | -3.3 |  -0.9   |   0.8   |
| 消费电子 | 300857 | 协创数据 |  42.1  |  35.6  | -0.6 |  -3.8   |  -0.3   |
| 消费电子 | 002947 |  恒铭达  |  42.0  |  30.2  | -0.3 |  -3.4   |  -0.5   |
| 消费电子 | 300322 |  硕贝德  |  41.2  | 376.9  | 0.9  |  -5.8   |   3.0   |
| 消费电子 | 603626 | 科森科技 |  41.1  | 174.7  | -0.8 |  -3.3   |   2.4   |
| 消费电子 | 300684 | 中石科技 |  41.1  |  42.5  | 4.8  |   0.8   |   4.9   |
| 消费电子 | 002045 | 国光电器 |  39.6  | 165.0  | -1.1 |  -4.8   |  -0.8   |
| 消费电子 | 603633 | 徕木股份 |  37.6  |  62.6  | -2.1 |  -8.6   |  -10.8  |
| 消费电子 | 300968 | 格林精密 |  37.4  |  93.8  | -0.1 |  -1.3   |   2.1   |
| 消费电子 | 300847 | 中船汉光 |  37.4  |  34.0  | -0.9 |  -3.3   |  -1.3   |
| 消费电子 | 605277 | 新亚电子 |  36.4  |  26.5  | -6.2 |  -5.6   |   1.9   |
| 消费电子 | 301086 |  鸿富瀚  |  35.9  |  28.4  | -1.2 |  -1.6   |   3.2   |
| 消费电子 | 688683 | 莱尔科技 |  35.5  |  86.3  | -0.7 |  -3.4   |   0.8   |
| 消费电子 | 300843 | 胜蓝股份 |  33.9  |  36.2  | -0.7 |  -7.0   |  -5.3   |
