[行业>市值]
+----------+--------+----------+-------+---------+-------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe    | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+---------+-------+---------+---------+
| 造纸印刷 | 002078 | 太阳纸业 | 323.2 |  12.0   | -2.3  |  -1.2   |   0.1   |
| 造纸印刷 | 002831 | 裕同科技 | 273.6 |  31.0   | -0.5  |   1.0   |   4.2   |
| 造纸印刷 | 603733 | 仙鹤股份 | 189.3 |  32.4   |  0.8  |  -0.1   |   7.5   |
| 造纸印刷 | 000488 | 晨鸣纸业 | 167.4 |  36.7   | -0.5  |  -1.1   |   2.0   |
| 造纸印刷 | 600567 | 山鹰国际 | 127.9 |  16.0   |  0.0  |  -1.1   |   0.4   |
| 造纸印刷 | 600963 | 岳阳林纸 | 109.5 |  22.0   |  0.7  |  -2.2   |  -0.3   |
| 造纸印刷 | 600966 | 博汇纸业 | 103.9 |  14.4   |  0.4  |   0.8   |   2.9   |
| 造纸印刷 | 605007 | 五洲特纸 | 77.8  |  18.9   |  0.1  |  -2.9   |   0.1   |
| 造纸印刷 | 600433 | 冠豪高新 | 72.5  |  47.4   |  4.5  |   1.8   |   9.5   |
| 造纸印刷 | 000815 |  美利云  | 68.9  | -1254.8 | -2.2  |  -2.8   |  -4.2   |
| 造纸印刷 | 603429 | 集友股份 | 68.2  |  47.2   | -0.4  |  -1.6   |   1.3   |
| 造纸印刷 | 600308 | 华泰股份 | 66.9  |   8.7   |  0.3  |  -0.5   |   3.5   |
| 造纸印刷 | 605377 | 华旺科技 | 59.2  |  13.2   | -0.6  |   0.2   |   0.5   |
| 造纸印刷 | 600103 | 青山纸业 | 58.8  |  22.8   |  1.6  |   1.6   |   4.1   |
| 造纸印刷 | 002067 | 景兴纸业 | 45.1  |  14.6   |  0.0  |  -1.3   |   0.5   |
| 造纸印刷 | 603165 | 荣晟环保 | 40.3  |  12.6   | -0.9  |   2.5   |   7.3   |
| 造纸印刷 | 002117 | 东港股份 | 39.8  |  21.9   | -0.3  |  -1.9   |  -0.8   |
| 造纸印刷 | 002229 | 鸿博股份 | 33.4  |  -65.3  |  0.6  |  -2.0   |   6.5   |
| 造纸印刷 | 605500 | 森林包装 | 32.6  |  23.3   | -0.1  |   0.8   |   3.5   |
| 造纸印刷 | 603058 | 永吉股份 | 29.5  |  -30.5  | -0.6  |  -5.0   |  -1.3   |
| 造纸印刷 | 002521 | 齐峰新材 | 26.3  |  31.9   | -1.1  |  -1.3   |   0.6   |
| 造纸印刷 | 002012 | 凯恩股份 | 24.8  |  43.8   | -0.6  |  -1.7   |   0.9   |
| 造纸印刷 | 603607 | 京华激光 | 23.6  |  17.4   |  0.5  |  -2.1   |   2.6   |
| 造纸印刷 | 300883 |  龙利得  | 23.6  |  53.0   | -1.2  |  -3.1   |   1.2   |
| 造纸印刷 | 600793 | 宜宾纸业 | 22.7  |  133.3  | -1.1  |  -5.0   |  -4.1   |
| 造纸印刷 | 600356 | 恒丰纸业 | 20.6  |  22.7   |  0.1  |  -0.9   |   0.9   |
| 造纸印刷 | 000695 | 滨海能源 | 20.0  |  -34.8  | -10.0 |  -14.1  |  -5.2   |
| 造纸印刷 | 600235 | 民丰特纸 | 19.7  |  31.1   | -0.2  |  -1.6   |   0.7   |
| 造纸印刷 | 603863 | 松炀资源 | 18.2  |  217.6  |  2.8  |   8.1   |  12.1   |
| 造纸印刷 | 603499 | 翔港科技 | 16.0  |  235.9  |  1.4  |  -0.1   |   2.7   |
