[行业>三日涨幅]
+------------+--------+----------+-------+---------+------+---------+---------+
|    行业    |  代码  |   名称   | 市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+------------+--------+----------+-------+---------+------+---------+---------+
|  食品饮料  | 603711 |  香飘飘  | 54.8  |  -22.9  | 10.0 |  11.3   |  17.3   |
|  食品饮料  | 600962 | 国投中鲁 | 30.3  |  179.8  | 10.0 |  10.4   |  13.0   |
|  钢铁行业  | 000629 | 攀钢钒钛 | 359.6 |  19.1   | 10.0 |  14.2   |  20.5   |
|  通用设备  | 001268 | 联合精密 | 32.9  |  34.8   | 10.0 |  58.4   |  58.4   |
|  通用设备  | 002514 | 宝馨科技 | 54.9  |  245.8  | 10.0 |  18.3   |  57.4   |
|  通用设备  | 002843 | 泰嘉股份 | 32.3  |  52.3   | 10.0 |  12.3   |  49.5   |
|  通用设备  | 603028 |  赛福天  | 27.8  |  74.9   | 10.0 |   5.8   |   8.5   |
|  通用设备  | 002598 | 山东章鼓 | 32.5  |  40.3   | 10.0 |   2.1   |  -0.8   |
|  通用设备  | 002896 | 中大力德 | 27.2  |  39.1   | 10.0 |  -0.2   |  12.0   |
|  通信设备  | 003031 | 中瓷电子 | 148.6 |  104.2  | 10.0 |  10.0   |  20.9   |
|  通信设备  | 002902 | 铭普光磁 | 32.1  |  38.6   | 10.0 |   0.1   |  13.4   |
|  软件开发  | 002528 |  英飞拓  | 51.9  |  -14.7  | 9.9  |  15.5   |  27.0   |
|  软件开发  | 002063 | 远光软件 | 102.3 |  345.2  | 10.0 |   7.4   |   8.3   |
|  贸易行业  | 600149 | 廊坊发展 | 25.1  |  -90.8  | 10.0 |   9.1   |   8.7   |
| 计算机设备 | 002376 |  新北洋  | 55.7  |  -37.6  | 10.0 |  18.9   |  23.2   |
|  装修装饰  | 002989 | 中天精装 | 28.8  |  20.3   | 10.0 |   9.7   |  10.1   |
|  能源金属  | 002240 | 盛新锂能 | 574.6 |  13.4   | 10.0 |   9.2   |  12.5   |
|  纺织服装  | 002486 |  嘉麟杰  | 26.7  |  310.6  | 9.9  |  13.0   |  16.7   |
|  电网设备  | 001208 | 华菱线缆 | 73.0  |  62.7   | 10.0 |  -0.4   |  32.5   |
|    电机    | 002892 |  科力尔  | 49.5  |  77.6   | 10.0 |   0.7   |  21.9   |
|  电子元件  | 300390 | 天华超净 | 567.5 |   9.3   | 10.4 |  15.7   |  21.7   |
|  电力行业  | 000899 | 赣能股份 | 84.5  | -2081.2 | 10.0 |  33.2   |  48.3   |
|  电力行业  | 601908 |  京运通  | 213.0 |  596.6  | 10.0 |  15.0   |  23.4   |
|  电力行业  | 000600 | 建投能源 | 83.1  |  29.9   | 9.9  |   7.2   |   7.7   |
