[行业>市值]
+----------+--------+----------+-------+---------+-------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe    | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+---------+-------+---------+---------+
| 专用设备 | 300751 | 迈为股份 | 839.8 |  116.8  |  1.9  |   1.1   |   1.3   |
| 专用设备 | 000519 | 中兵红箭 | 459.7 |  40.8   |  2.9  |  19.9   |  17.9   |
| 专用设备 | 600499 | 科达制造 | 435.3 |  12.1   |  3.8  |  12.6   |  11.0   |
| 专用设备 | 688082 | 盛美上海 | 416.7 | 2416.6  | -1.4  |   2.0   |   3.2   |
| 专用设备 | 002353 | 杰瑞股份 | 387.0 |  44.4   |  3.0  |   0.2   |   0.8   |
| 专用设备 | 002625 | 光启技术 | 378.8 |  221.7  | -0.3  |   2.0   |   2.3   |
| 专用设备 | 002430 | 杭氧股份 | 313.9 |  24.4   |  2.2  |   5.0   |   2.2   |
| 专用设备 | 300724 | 捷佳伟创 | 313.1 |  28.6   | -1.3  |   2.6   |  -15.2  |
| 专用设备 | 300776 | 帝尔激光 | 289.4 |  77.8   |  3.5  |   2.7   |  -7.8   |
| 专用设备 | 601399 | 国机重装 | 237.3 |  76.0   |  0.9  |   1.2   |   2.2   |
| 专用设备 | 301200 | 大族数控 | 225.2 |  30.8   |  1.1  |  -1.0   |  -0.8   |
| 专用设备 | 601106 | 中国一重 | 216.0 |  139.6  |  0.3  |   1.6   |   3.3   |
| 专用设备 | 603025 | 大豪科技 | 201.3 |  63.3   |  1.7  |   1.3   |  -2.1   |
| 专用设备 | 688499 |  利元亨  | 196.2 |  61.8   |  1.6  |  -0.1   |  -6.1   |
| 专用设备 | 002690 | 美亚光电 | 196.0 |  43.1   |  2.4  |   2.3   |   4.9   |
| 专用设备 | 600582 | 天地科技 | 193.7 |  11.5   | -0.8  |  -2.1   |  -1.7   |
| 专用设备 | 002595 | 豪迈科技 | 183.8 |  19.7   |  3.4  |   2.8   |   2.4   |
| 专用设备 | 600320 | 振华重工 | 180.7 |  295.4  | -1.1  |   0.9   |   0.0   |
| 专用设备 | 601608 | 中信重工 | 180.5 |  57.8   | -0.2  |   7.2   |  14.3   |
| 专用设备 | 688559 |  海目星  | 150.8 |  339.4  |  2.9  |   4.3   |  -5.3   |
| 专用设备 | 603666 |  亿嘉和  | 149.9 |  102.0  | -0.7  |   4.0   |  26.2   |
| 专用设备 | 600835 | 上海机电 | 141.8 |  21.4   |  1.8  |  -0.3   |   6.2   |
| 专用设备 | 002006 | 精功科技 | 140.9 |  139.5  | -1.4  |   8.6   |   9.4   |
| 专用设备 | 002960 | 青鸟消防 | 138.2 |  51.9   | -1.2  |   4.7   |   0.5   |
| 专用设备 | 688097 | 博众精工 | 136.1 |  329.9  | -1.8  |   1.3   |   2.4   |
| 专用设备 | 601038 | 一拖股份 | 129.7 |   6.7   |  1.6  |   2.9   |   1.8   |
