[行业>市值]
+----------+--------+----------+--------+---------+-------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe    | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+---------+-------+---------+---------+
| 化学制品 | 600309 | 万华化学 | 3020.0 |  14.1   | -0.4  |   1.8   |   3.0   |
| 化学制品 | 002709 | 天赐材料 | 1270.0 |  21.2   |  5.1  |   6.5   |   5.0   |
| 化学制品 | 300769 | 德方纳米 | 721.6  |  23.7   |  2.7  |   4.4   |   1.1   |
| 化学制品 | 688005 | 容百科技 | 602.8  |  51.5   |  2.8  |   6.8   |   0.4   |
| 化学制品 | 688065 | 凯赛生物 | 505.9  |  72.5   |  4.1  |  13.3   |  14.8   |
| 化学制品 | 003022 | 联泓新科 | 475.9  |  110.7  | 10.0  |  10.6   |  -1.7   |
| 化学制品 | 002407 |  多氟多  | 410.1  |  14.0   | 10.0  |  16.4   |  24.7   |
| 化学制品 | 688116 | 天奈科技 | 402.4  |  100.7  | -0.3  |   4.3   |   9.1   |
| 化学制品 | 002497 | 雅化集团 | 396.8  |   9.7   |  1.5  |  11.4   |   9.7   |
| 化学制品 | 600160 | 巨化股份 | 381.2  |  40.7   |  6.2  |   9.9   |   9.5   |
| 化学制品 | 600378 | 昊华科技 | 377.0  |  42.4   |  7.5  |   7.5   |  13.0   |
| 化学制品 | 300285 | 国瓷材料 | 350.8  |  42.1   |  0.4  |  -0.7   |  -3.7   |
| 化学制品 | 600352 | 浙江龙盛 | 334.4  |  17.8   |  0.3  |   1.1   |   0.8   |
| 化学制品 | 300699 | 光威复材 | 315.3  |  38.0   |  5.0  |   5.1   |   5.9   |
| 化学制品 | 603026 | 石大胜华 | 310.1  |  17.2   |  3.7  |   6.5   |   1.5   |
| 化学制品 | 002326 | 永太科技 | 306.6  |  19.7   |  3.9  |   6.5   |   7.9   |
| 化学制品 | 600299 |  安迪苏  | 269.3  |  15.8   |  3.0  |   4.0   |   3.5   |
| 化学制品 | 300821 | 东岳硅材 | 227.9  |  23.6   |  1.4  |   5.1   |   2.2   |
| 化学制品 | 002408 | 齐翔腾达 | 227.7  |  10.2   | -0.6  |  -0.7   |   0.1   |
| 化学制品 | 603906 | 龙蟠科技 | 215.9  |  25.3   |  5.4  |   4.2   |   0.6   |
| 化学制品 | 605589 | 圣泉集团 | 190.6  |  38.0   |  0.0  |   0.3   |  -3.3   |
| 化学制品 | 300343 | 联创股份 | 187.4  |  15.2   |  4.4  |  11.4   |   2.5   |
| 化学制品 | 600500 | 中化国际 | 186.6  |  11.8   |  1.4  |   1.5   |   0.1   |
| 化学制品 | 600273 | 嘉化能源 | 158.9  |   6.8   |  0.9  |   3.4   |   0.6   |
| 化学制品 | 002226 | 江南化工 | 150.7  |  24.0   |  0.3  |   3.3   |   7.4   |
| 化学制品 | 688639 | 华恒生物 | 148.0  |  67.0   |  6.9  |   8.3   |   8.9   |
| 化学制品 | 603379 | 三美股份 | 144.1  |  18.7   |  5.6  |   8.6   |   3.6   |
| 化学制品 | 600370 |  三房巷  | 130.9  |   8.5   | -1.5  |  -1.5   |   0.6   |
| 化学制品 | 002810 | 山东赫达 | 125.9  |  32.7   |  1.9  |  -0.5   |  -2.7   |
| 化学制品 | 300072 | 三聚环保 | 123.1  |  -17.4  | -1.3  |   2.8   |  10.6   |
| 化学制品 | 002549 | 凯美特气 | 113.8  |  50.5   | -0.3  |   6.0   |  13.5   |
| 化学制品 | 301216 | 万凯新材 | 110.7  |   9.6   |  4.0  |   8.9   |   4.4   |
| 化学制品 | 605399 | 晨光新材 | 108.5  |  14.3   |  4.3  |   7.4   |  -2.8   |
| 化学制品 | 603916 |  苏博特  | 107.4  |  33.5   |  1.0  |   4.8   |  10.0   |
| 化学制品 | 688269 | 凯立新材 | 105.5  |  47.5   |  3.7  |   9.2   |   0.9   |
| 化学制品 | 605366 | 宏柏新材 | 103.9  |  21.6   |  4.7  |   7.9   |  -2.1   |
| 化学制品 | 688196 | 卓越新能 |  95.1  |  23.8   |  1.1  |  -1.0   |  -0.3   |
| 化学制品 | 300910 | 瑞丰新材 |  93.8  |  45.5   |  0.6  |   2.8   |  12.2   |
| 化学制品 | 002440 | 闰土股份 |  93.2  |  11.0   |  0.6  |   0.5   |   0.0   |
