[行业>市值]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 酿酒行业 | 000858 |  五粮液  | 7804.0 |  18.0  | -1.0 |   4.7   |  10.5   |
| 酿酒行业 | 600809 | 山西汾酒 | 3769.0 |  25.4  | -1.0 |  -2.2   |   2.6   |
| 酿酒行业 | 000568 | 泸州老窖 | 3569.0 |  31.0  | -1.2 |   2.8   |   5.5   |
| 酿酒行业 | 002304 | 洋河股份 | 2758.0 |  13.8  | -0.7 |   2.2   |   5.7   |
| 酿酒行业 | 600600 | 青岛啤酒 | 1421.0 |  31.6  | 1.6  |   1.8   |   9.0   |
| 酿酒行业 | 000596 | 古井贡酒 | 1299.0 |  29.6  | 0.9  |   3.1   |   6.7   |
| 酿酒行业 | 600132 | 重庆啤酒 | 692.5  |  50.8  | -1.3 |   3.1   |   7.7   |
| 酿酒行业 | 600702 | 舍得酒业 | 671.1  |  31.6  | 0.1  |   6.4   |   4.1   |
| 酿酒行业 | 603369 |  今世缘  | 623.4  |  15.6  | -1.8 |   1.2   |   0.1   |
| 酿酒行业 | 000799 |  酒鬼酒  | 591.1  |  28.4  | 0.3  |   3.9   |  -1.6   |
| 酿酒行业 | 603198 | 迎驾贡酒 | 508.0  |  23.1  | -0.9 |   7.2   |   4.0   |
| 酿酒行业 | 600779 |  水井坊  | 447.1  |  30.8  | -1.3 |   8.1   |   7.3   |
| 酿酒行业 | 603589 |  口子窖  | 350.0  |  18.0  | 0.6  |   4.1   |   5.1   |
| 酿酒行业 | 002568 | 百润股份 | 344.4  |  93.8  | 4.1  |  18.0   |  17.8   |
| 酿酒行业 | 000729 | 燕京啤酒 | 265.8  | 7691.3 | -0.3 |   2.2   |   3.3   |
| 酿酒行业 | 600559 | 老白干酒 | 259.8  |  24.4  | 0.3  |   5.4   |   1.5   |
| 酿酒行业 | 000860 | 顺鑫农业 | 208.1  |  49.9  | 2.2  |  10.5   |   7.5   |
| 酿酒行业 | 000869 |  张裕Ａ   | 206.9  |  17.8  | 1.7  |   3.3   |   3.1   |
| 酿酒行业 | 600199 | 金种子酒 | 185.2  | -369.0 | -0.0 |   1.6   |  -3.3   |
| 酿酒行业 | 002461 | 珠江啤酒 | 185.0  |  65.1  | -0.7 |   1.6   |   3.3   |
| 酿酒行业 | 603919 |  金徽酒  | 172.2  |  26.1  | -0.1 |   3.0   |   0.4   |
| 酿酒行业 | 600197 |  伊力特  | 138.7  |  32.0  | -1.8 |   2.3   |  -2.3   |
| 酿酒行业 | 600059 | 古越龙山 |  99.4  |  36.0  | 0.2  |   1.3   |  -2.8   |
| 酿酒行业 | 002646 | 天佑德酒 |  91.2  |  20.8  | -0.4 |   3.6   |   2.4   |
| 酿酒行业 | 600696 | 岩石股份 |  87.3  | 211.7  | -6.9 |  -6.3   |  -8.9   |
| 酿酒行业 | 600084 | 中葡股份 |  68.0  | -937.9 | -0.2 |   0.2   |   8.0   |
| 酿酒行业 | 600238 | 海南椰岛 |  63.0  |  64.2  | 1.5  |   6.4   |   5.6   |
| 酿酒行业 | 601579 |  会稽山  |  60.7  |  19.4  | -0.3 |   1.2   |  -0.2   |
| 酿酒行业 | 600616 | 金枫酒业 |  49.6  | 359.1  | 0.7  |   3.2   |   1.1   |
| 酿酒行业 | 000995 | *ST皇台  |  30.5  | 484.0  | 1.4  |   3.3   |   0.6   |
| 酿酒行业 | 600573 | 惠泉啤酒 |  25.6  | -373.3 | -1.0 |   1.0   |   3.3   |
| 酿酒行业 | 603779 | 威龙股份 |  22.3  |  61.6  | -1.0 |   0.0   |   6.3   |
| 酿酒行业 | 600543 | 莫高股份 |  20.0  | -52.6  | 0.2  |   2.1   |  -1.3   |
| 酿酒行业 | 600365 |  ST通葡  |  18.5  | -115.8 | -0.5 |  -1.6   |  -4.2   |
| 酿酒行业 | 000929 | 兰州黄河 |  16.7  | -127.4 | -0.7 |   6.5   |   9.5   |
| 酿酒行业 | 000752 | *ST西发  |  12.7  | -39.4  | 5.0  |   7.8   |  11.8   |
| 酿酒行业 | 600519 | 贵州茅台 |  0.0   |  36.8  | -0.5 |   0.5   |   1.5   |
+----------+--------+----------+--------+--------+------+---------+---------+
 




 [行业>单日涨幅]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 酿酒行业 | 000752 | *ST西发  |  12.7  | -39.4  | 5.0  |   7.8   |  11.8   |
| 酿酒行业 | 002568 | 百润股份 | 344.4  |  93.8  | 4.1  |  18.0   |  17.8   |
| 酿酒行业 | 000860 | 顺鑫农业 | 208.1  |  49.9  | 2.2  |  10.5   |   7.5   |
| 酿酒行业 | 000869 |  张裕Ａ   | 206.9  |  17.8  | 1.7  |   3.3   |   3.1   |
| 酿酒行业 | 600600 | 青岛啤酒 | 1421.0 |  31.6  | 1.6  |   1.8   |   9.0   |
| 酿酒行业 | 600238 | 海南椰岛 |  63.0  |  64.2  | 1.5  |   6.4   |   5.6   |
| 酿酒行业 | 000995 | *ST皇台  |  30.5  | 484.0  | 1.4  |   3.3   |   0.6   |
| 酿酒行业 | 000596 | 古井贡酒 | 1299.0 |  29.6  | 0.9  |   3.1   |   6.7   |
| 酿酒行业 | 600616 | 金枫酒业 |  49.6  | 359.1  | 0.7  |   3.2   |   1.1   |
| 酿酒行业 | 603589 |  口子窖  | 350.0  |  18.0  | 0.6  |   4.1   |   5.1   |
| 酿酒行业 | 600559 | 老白干酒 | 259.8  |  24.4  | 0.3  |   5.4   |   1.5   |
| 酿酒行业 | 000799 |  酒鬼酒  | 591.1  |  28.4  | 0.3  |   3.9   |  -1.6   |
| 酿酒行业 | 600059 | 古越龙山 |  99.4  |  36.0  | 0.2  |   1.3   |  -2.8   |
| 酿酒行业 | 600543 | 莫高股份 |  20.0  | -52.6  | 0.2  |   2.1   |  -1.3   |
| 酿酒行业 | 600702 | 舍得酒业 | 671.1  |  31.6  | 0.1  |   6.4   |   4.1   |
| 酿酒行业 | 600199 | 金种子酒 | 185.2  | -369.0 | -0.0 |   1.6   |  -3.3   |
| 酿酒行业 | 603919 |  金徽酒  | 172.2  |  26.1  | -0.1 |   3.0   |   0.4   |
| 酿酒行业 | 600084 | 中葡股份 |  68.0  | -937.9 | -0.2 |   0.2   |   8.0   |
| 酿酒行业 | 000729 | 燕京啤酒 | 265.8  | 7691.3 | -0.3 |   2.2   |   3.3   |
| 酿酒行业 | 601579 |  会稽山  |  60.7  |  19.4  | -0.3 |   1.2   |  -0.2   |
| 酿酒行业 | 002646 | 天佑德酒 |  91.2  |  20.8  | -0.4 |   3.6   |   2.4   |
| 酿酒行业 | 600365 |  ST通葡  |  18.5  | -115.8 | -0.5 |  -1.6   |  -4.2   |
| 酿酒行业 | 600519 | 贵州茅台 |  0.0   |  36.8  | -0.5 |   0.5   |   1.5   |
| 酿酒行业 | 000929 | 兰州黄河 |  16.7  | -127.4 | -0.7 |   6.5   |   9.5   |
| 酿酒行业 | 002461 | 珠江啤酒 | 185.0  |  65.1  | -0.7 |   1.6   |   3.3   |
| 酿酒行业 | 002304 | 洋河股份 | 2758.0 |  13.8  | -0.7 |   2.2   |   5.7   |
| 酿酒行业 | 603198 | 迎驾贡酒 | 508.0  |  23.1  | -0.9 |   7.2   |   4.0   |
| 酿酒行业 | 000858 |  五粮液  | 7804.0 |  18.0  | -1.0 |   4.7   |  10.5   |
| 酿酒行业 | 600573 | 惠泉啤酒 |  25.6  | -373.3 | -1.0 |   1.0   |   3.3   |
| 酿酒行业 | 603779 | 威龙股份 |  22.3  |  61.6  | -1.0 |   0.0   |   6.3   |
| 酿酒行业 | 600809 | 山西汾酒 | 3769.0 |  25.4  | -1.0 |  -2.2   |   2.6   |
| 酿酒行业 | 000568 | 泸州老窖 | 3569.0 |  31.0  | -1.2 |   2.8   |   5.5   |
| 酿酒行业 | 600132 | 重庆啤酒 | 692.5  |  50.8  | -1.3 |   3.1   |   7.7   |
| 酿酒行业 | 600779 |  水井坊  | 447.1  |  30.8  | -1.3 |   8.1   |   7.3   |
| 酿酒行业 | 603369 |  今世缘  | 623.4  |  15.6  | -1.8 |   1.2   |   0.1   |
| 酿酒行业 | 600197 |  伊力特  | 138.7  |  32.0  | -1.8 |   2.3   |  -2.3   |
| 酿酒行业 | 600696 | 岩石股份 |  87.3  | 211.7  | -6.9 |  -6.3   |  -8.9   |
+----------+--------+----------+--------+--------+------+---------+---------+
