[行业>市值]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 食品饮料 | 603288 | 海天味业 | 4201.0 |  57.4  | 0.3  |   4.8   |   7.7   |
| 食品饮料 | 300999 |  金龙鱼  | 2984.0 | 651.6  | 1.4  |   3.4   |  11.8   |
| 食品饮料 | 600887 | 伊利股份 | 2421.0 |  17.2  | -1.6 |  -0.6   |  -0.5   |
| 食品饮料 | 000895 | 双汇发展 | 1052.0 |  18.0  | 3.6  |   6.0   |   4.0   |
| 食品饮料 | 605499 | 东鹏饮料 | 664.0  |  48.2  | -0.2 |  -2.7   |  10.8   |
| 食品饮料 | 603345 | 安井食品 | 491.9  |  60.2  | 2.8  |   2.5   |  12.0   |
| 食品饮料 | 600298 | 安琪酵母 | 418.2  |  33.5  | -0.2 |   3.5   |   0.7   |
| 食品饮料 | 300146 | 汤臣倍健 | 371.5  |  14.0  | 2.0  |   3.1   |   4.4   |
| 食品饮料 | 600873 | 梅花生物 | 368.7  |  8.0   | 4.4  |   9.0   |   9.2   |
| 食品饮料 | 603517 | 绝味食品 | 335.0  |  94.0  | -2.7 |  -0.9   |  10.4   |
| 食品饮料 | 002507 | 涪陵榨菜 | 303.6  |  35.4  | -0.2 |   2.1   |   2.3   |
| 食品饮料 | 603156 | 养元饮品 | 284.1  |  13.6  | -0.2 |   1.2   |   2.3   |
| 食品饮料 | 002557 | 洽洽食品 | 282.2  |  34.0  | 1.7  |   0.2   |   0.8   |
| 食品饮料 | 600872 | 中炬高新 | 279.2  |  44.1  | 0.4  |   8.6   |  11.9   |
| 食品饮料 | 002597 | 金禾实业 | 242.8  |  13.7  | -2.3 |   2.5   |   9.6   |
| 食品饮料 | 600882 | 妙可蓝多 | 241.6  |  82.1  | 0.0  |   2.9   |   9.0   |
| 食品饮料 | 603866 | 桃李面包 | 228.0  |  36.1  | 1.8  |   9.8   |  12.5   |
| 食品饮料 | 603317 | 天味食品 | 224.6  |  55.9  | 4.7  |  10.5   |  19.5   |
| 食品饮料 | 002216 | 三全食品 | 184.0  |  17.6  | 6.4  |  11.9   |  10.9   |
| 食品饮料 | 300741 | 华宝股份 | 180.6  |  20.9  | 4.3  |  12.9   |  13.7   |
| 食品饮料 | 600597 | 光明乳业 | 173.7  |  26.2  | 0.0  |   1.7   |   2.1   |
| 食品饮料 | 300973 | 立高食品 | 172.4  | 107.7  | 0.3  |   4.7   |  11.1   |
| 食品饮料 | 603027 | 千禾味业 | 165.7  |  75.0  | 0.2  |   4.0   |   7.0   |
| 食品饮料 | 600737 | 中粮糖业 | 163.2  |  17.8  | 1.2  |   1.9   |   1.2   |
| 食品饮料 | 603235 | 天新药业 | 161.5  |  22.7  | 0.0  |   0.0   |   0.0   |
| 食品饮料 | 002626 |  金达威  | 150.1  |  31.2  | 1.9  |   3.3   |   3.0   |
| 食品饮料 | 603043 | 广州酒家 | 136.6  |  65.0  | -1.0 |   0.6   |   4.7   |
| 食品饮料 | 600305 | 恒顺醋业 | 130.4  |  42.2  | 1.6  |   5.8   |   6.9   |
| 食品饮料 | 002726 | 龙大美食 | 119.6  | 127.6  | 2.7  |   6.0   |   2.5   |
| 食品饮料 | 002847 | 盐津铺子 | 117.5  |  47.8  | 5.0  |   5.8   |  13.0   |
| 食品饮料 | 603719 | 良品铺子 | 112.4  |  30.2  | -1.0 |   3.3   |   6.6   |
| 食品饮料 | 002946 |  新乳业  | 109.7  |  63.1  | -2.6 |   1.9   |   3.4   |
| 食品饮料 | 605339 | 南侨食品 | 107.4  |  50.6  | 0.0  |   4.8   |   1.2   |
| 食品饮料 | 000848 | 承德露露 | 104.1  |  11.1  | 0.3  |   4.7   |   5.5   |
| 食品饮料 | 002481 | 双塔食品 | 103.8  |  50.4  | 0.8  |   1.2   |  -3.1   |
| 食品饮料 | 301206 | 三元生物 |  97.4  |  38.8  | 0.9  |  10.9   |   8.9   |
| 食品饮料 | 300783 | 三只松鼠 |  97.3  |  15.1  | -2.3 |   3.9   |   6.1   |
| 食品饮料 | 002840 | 华统股份 |  95.8  | -27.2  | 10.0 |  15.9   |   6.7   |
| 食品饮料 | 300401 | 花园生物 |  94.9  |  15.7  | 0.1  |   1.8   |  -1.2   |
| 食品饮料 | 301116 | 益客食品 |  94.4  | -28.1  | 3.2  |   3.6   |   1.1   |
| 食品饮料 | 605337 |  李子园  |  82.5  |  50.5  | 0.5  |   4.9   |   8.8   |
| 食品饮料 | 605338 | 巴比食品 |  81.2  | 1396.4 | 6.2  |  11.7   |  13.5   |
| 食品饮料 | 600429 | 三元股份 |  78.0  |  46.9  | -0.8 |   0.4   |   0.6   |
