[行业>三日涨幅]
+--------------+--------+------------+--------+---------+------+---------+---------+
|     行业     |  代码  |    名称    |  市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+--------------+--------+------------+--------+---------+------+---------+---------+
|   食品饮料   | 600962 |  国投中鲁  |  32.0  |  190.3  | 5.8  |  20.3   |  17.9   |
|   食品饮料   | 300741 |  华宝股份  | 180.6  |  20.9   | 4.3  |  12.9   |  13.7   |
|   食品饮料   | 002330 |   得利斯   |  55.3  |  45.2   | 4.6  |  12.1   |  12.9   |
|   食品饮料   | 603317 |  天味食品  | 224.6  |  55.9   | 4.7  |  10.5   |  19.5   |
|   食品饮料   | 001215 |  千味央厨  |  51.0  |  44.4   | 3.2  |  10.3   |  12.7   |
|   食品饮料   | 600866 |  星湖科技  |  47.7  |  52.1   | 3.0  |   9.5   |  -4.6   |
|   食品饮料   | 600419 |  天润乳业  |  44.9  |  31.8   | 6.0  |   9.4   |   9.3   |
|   食品饮料   | 600873 |  梅花生物  | 368.7  |   8.0   | 4.4  |   9.0   |   9.2   |
|   食品饮料   | 000972 |  *ST中基   |  21.4  | -107.5  | 3.7  |   7.8   |   6.5   |
|   食品饮料   | 600073 |  上海梅林  |  77.5  |   9.6   | 3.8  |   6.3   |   6.2   |
|   食品饮料   | 000895 |  双汇发展  | 1052.0 |  18.0   | 3.6  |   6.0   |   4.0   |
|   食品饮料   | 002847 |  盐津铺子  | 117.5  |  47.8   | 5.0  |   5.8   |  13.0   |
|   食品饮料   | 603079 |  圣达生物  |  23.7  |  28.5   | 3.7  |   5.2   |   5.7   |
|   食品饮料   | 000529 |  广弘控股  |  43.3  |  21.7   | 3.8  |   5.1   |   4.4   |
|   食品饮料   | 301116 |  益客食品  |  94.4  |  -28.1  | 3.2  |   3.6   |   1.1   |
|   风电设备   | 002487 |  大金重工  | 239.8  |  96.2   | 3.9  |   8.0   |   2.4   |
|   风电设备   | 603507 |  振江股份  |  42.3  |  57.4   | 4.2  |   5.4   |  -1.0   |
|   风电设备   | 002531 |  天顺风能  | 295.6  |  227.2  | 3.1  |   3.0   |  -6.9   |
|  非金属材料  | 603688 |  石英股份  | 530.4  |  151.8  | 4.0  |  19.5   |  18.2   |
|  非金属材料  | 301071 |  力量钻石  | 210.3  |  52.0   | 5.3  |  17.7   |   4.8   |
|  非金属材料  | 688733 |   壹石通   | 153.5  |  88.1   | 4.9  |  17.1   |   5.0   |
|  非金属材料  | 300861 |  美畅股份  | 377.4  |  33.1   | 3.2  |   4.0   |  -4.2   |
|   铁路公路   | 603032 |  德新交运  | 141.9  |  68.4   | 5.0  |   7.3   |   3.5   |
|   钢铁行业   | 002756 |  永兴材料  | 690.4  |  21.3   | 4.4  |  15.2   |  18.9   |
|   钢铁行业   | 600295 |  鄂尔多斯  | 381.6  |   7.1   | 5.9  |   5.8   |   5.5   |
|   钢铁行业   | 600399 |  抚顺特钢  | 367.4  |  107.5  | 5.8  |   5.1   |  -0.7   |
|   钢铁行业   | 000778 |  新兴铸管  | 201.1  |   8.8   | 5.2  |   3.9   |   4.8   |
|   采掘行业   | 000762 |  西藏矿业  | 324.8  |  61.5   | 3.8  |  14.3   |  15.7   |
|   采掘行业   | 603505 |  金石资源  | 133.8  |  102.7  | 3.9  |   9.4   |   9.2   |
|   采掘行业   | 002683 |  广东宏大  | 223.7  |  135.9  | 4.4  |   8.7   |  15.2   |
|   采掘行业   | 300191 |  潜能恒信  |  70.6  |  175.5  | 3.3  |   0.9   |   1.1   |
|   采掘行业   | 603619 |  中曼石油  |  82.2  |  28.3   | 3.4  |   0.5   |   6.0   |
|   采掘行业   | 002207 |  准油股份  |  20.4  |  27.8   | 3.5  |  -0.4   |  -0.5   |
|   酿酒行业   | 002568 |  百润股份  | 344.4  |  93.8   | 4.1  |  18.0   |  17.8   |
|   酿酒行业   | 000752 |  *ST西发   |  12.7  |  -39.4  | 5.0  |   7.8   |  11.8   |
|   造纸印刷   | 603863 |  松炀资源  |  18.9  |  224.9  | 3.4  |   5.7   |  15.6   |
|   造纸印刷   | 002078 |  太阳纸业  | 333.2  |  12.3   | 3.1  |   4.5   |   3.3   |
|   造纸印刷   | 605007 |  五洲特纸  |  80.8  |  19.6   | 3.9  |   4.2   |   0.3   |
|   造纸印刷   | 603429 |  集友股份  |  70.4  |  48.8   | 3.3  |   3.5   |   5.5   |
|   通用设备   | 300988 |  津荣天宇  |  35.5  |  47.8   | 5.0  |  20.4   |  19.1   |
|   通用设备   | 600481 |  双良节能  | 305.9  |  63.3   | 3.9  |  16.4   |  17.2   |
|   通用设备   | 603315 |  福鞍股份  |  89.1  |  193.8  | 5.1  |  13.1   |  13.4   |
|   通用设备   | 000816 |  智慧农业  |  69.6  |  255.5  | 5.0  |  10.7   |   2.5   |
|   通用设备   | 002132 |  恒星科技  | 113.2  |  90.9   | 4.9  |  10.5   |   8.8   |
|   通用设备   | 300700 |  岱勒新材  |  39.6  |  73.3   | 5.6  |  10.1   |   4.0   |
|   通用设备   | 002122 |   ST天马   |  28.4  |  -4.8   | 4.9  |   8.8   |   0.9   |
|   通用设备   | 688308 |   欧科亿   |  69.3  |  30.6   | 3.8  |   8.5   |   5.5   |
|   通用设备   | 300179 |   四方达   |  80.1  |  48.5   | 4.2  |   7.8   |  -2.3   |
|   通用设备   | 603308 |  应流股份  | 117.0  |  44.2   | 4.3  |   6.5   |   3.1   |
|   通用设备   | 300080 |  易成新能  | 114.8  |  106.1  | 3.3  |   5.8   |   1.3   |
|   通用设备   | 000880 |  潍柴重机  |  36.8  |  47.7   | 3.7  |   4.2   |  -3.7   |
|   通用设备   | 605123 |  派克新材  | 155.9  |  36.3   | 5.2  |   2.5   |   1.2   |
|   通用设备   | 002520 |  日发精机  |  54.1  |  66.5   | 3.1  |   2.5   |   4.7   |
|   通用设备   | 688003 |  天准科技  |  64.8  |  -48.2  | 4.7  |   2.3   |  19.1   |
