[行业>三日涨幅]
+--------------+--------+------------+--------+--------+------+---------+---------+
|     行业     |  代码  |    名称    |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+--------------+--------+------------+--------+--------+------+---------+---------+
|   食品饮料   | 300791 |  仙乐健康  |  57.3  |  97.8  | -3.6 |  13.6   |  17.3   |
|   食品饮料   | 605016 |  百龙创园  |  54.0  |  33.1  | -4.9 |  11.7   |   7.2   |
|   食品饮料   | 002956 |  西麦食品  |  34.3  |  30.4  | -3.4 |   6.9   |   6.9   |
|   食品饮料   | 002495 |  佳隆股份  |  24.1  | -276.5 | -4.1 |   3.6   |   4.0   |
|   食品饮料   | 001318 |  阳光乳业  |  57.6  |  58.7  | -3.9 |   1.4   |   1.3   |
|   食品饮料   | 605179 |  一鸣食品  |  52.0  | -32.6  | -5.5 |   1.0   |  14.0   |
|   风电设备   | 603063 |  禾望电气  | 164.1  |  61.3  | -3.1 |   1.1   |  -4.3   |
|   铁路公路   | 600620 |  天宸股份  |  74.4  | -76.7  | -6.0 |   6.1   |   8.1   |
|   钢铁行业   | 600010 |  包钢股份  | 1099.0 |  83.0  | -3.2 |   1.7   |  -8.1   |
|   造纸印刷   | 000695 |  滨海能源  |  19.4  | -33.7  | -3.2 |  -16.7  |  -9.9   |
|   通用设备   | 002158 |  汉钟精机  | 123.1  |  33.8  | -3.5 |   1.4   |   8.4   |
|   通用设备   | 300421 |  力星股份  |  30.9  |  63.2  | -3.2 |   1.3   |  -8.8   |
|   通用设备   | 003043 |  华亚智能  |  46.1  |  42.2  | -3.0 |  -3.1   |  -5.5   |
|   通用设备   | 000530 |  冰山冷热  |  37.0  | -72.5  | -3.1 |  -9.9   |   3.0   |
|   通信设备   | 002897 |  意华股份  |  74.4  |  41.4  | -4.7 |  -1.3   |  -9.0   |
|   通信设备   | 300638 |   广和通   | 156.8  |  37.5  | -3.6 |  -4.0   |  -8.9   |
|   通信设备   | 300502 |   新易盛   | 123.7  |  23.4  | -4.6 |  -4.9   |  -3.5   |
|   通信服务   | 300183 |  东软载波  |  65.6  |  75.2  | -3.4 |   1.7   |   4.2   |
|   通信服务   | 002544 |  普天科技  | 151.3  | 197.3  | -3.1 |  -1.9   |  -5.9   |
|   通信服务   | 300211 |  亿通科技  |  25.7  |  86.1  | -3.4 |  -2.1   |  -1.7   |
|   软件开发   | 301221 |  光庭信息  |  57.3  | 1001.0 | -3.1 |  -1.7   |  -3.9   |
|   软件开发   | 688078 |  龙软科技  |  34.0  |  92.4  | -3.7 |  -3.9   |  -7.0   |
|   软件开发   | 002178 |  延华智能  |  36.7  | -106.3 | -4.5 |  -6.5   |  -2.8   |
|   软件开发   | 300552 |  万集科技  |  58.0  | 469.8  | -3.2 |  -16.3  |  -11.7  |
|   贸易行业   | 601028 |  玉龙股份  | 139.5  |  46.1  | -3.0 |  -3.2   |  -6.6   |
|   装修装饰   | 002047 |  宝鹰股份  |  57.5  | -31.6  | -4.5 |  -6.2   |  -4.3   |
|   装修建材   | 002791 |  坚朗五金  | 392.9  | -109.8 | -3.7 |   2.2   |  14.2   |
|   装修建材   | 300616 |  尚品宅配  |  53.0  | -13.2  | -3.3 |   1.8   |   2.3   |
|   航空机场   | 000089 |  深圳机场  | 148.9  | -12.5  | -3.2 |   2.1   |   8.8   |
|   航空机场   | 603885 |  吉祥航空  | 330.3  | -15.2  | -6.0 |  -1.7   |   6.1   |
|   航空机场   | 601111 |  中国国航  | 1560.0 |  -4.4  | -3.2 |  -6.0   |   4.9   |
|   综合行业   | 000532 |  华金资本  |  39.9  |  71.3  | -3.4 |  -2.5   |  -6.1   |
|   纺织服装   | 002397 |  梦洁股份  |  29.9  | -81.2  | -3.4 |  -18.4  |  -1.0   |
|   电网设备   | 688616 |  西力科技  |  16.0  |  75.5  | -3.7 |  -0.7   |  -0.3   |
|   电网设备   | 300208 |  青岛中程  |  96.3  | -41.3  | -4.5 |  -4.8   |  -5.2   |
|   电网设备   | 002058 |   威尔泰   |  17.6  | -197.7 | -3.1 |  -21.0  |  -14.0  |
|   电网设备   | 002451 |  摩恩电气  |  29.2  |  75.5  | -4.2 |  -22.4  |  -5.5   |
|   电源设备   | 300820 |  英杰电气  |  90.9  |  42.1  | -3.2 |   0.0   |  -6.8   |
|     电池     | 002245 |  蔚蓝锂芯  | 232.0  |  29.0  | -3.2 |  -3.6   |  -12.0  |
|     电机     | 003021 |  兆威机电  |  77.7  |  85.7  | -4.5 |  -10.4  |  -4.3   |
|  电子化学品  | 300346 |  南大光电  | 184.6  |  57.2  | -4.3 |  -0.1   |   5.9   |
|  电子化学品  | 688019 |  安集科技  | 149.5  |  94.4  | -4.5 |  -0.7   |  -3.0   |
|   电子元件   | 002161 |   远望谷   |  36.5  | -22.8  | -4.1 |   8.6   |  13.0   |
|   电子元件   | 301021 |  英诺激光  |  41.7  |  84.1  | -4.0 |   2.8   |   2.5   |
|   电子元件   | 603936 |  博敏电子  |  68.2  |  42.0  | -3.3 |   1.1   |  13.8   |
|   电子元件   | 603186 |  华正新材  |  36.0  |  29.2  | -5.8 |  -2.7   |   4.5   |
|   电子元件   | 002938 |  鹏鼎控股  | 672.2  |  28.3  | -4.1 |  -2.9   |   1.0   |
|   电子元件   | 002484 |  江海股份  | 185.1  |  39.4  | -3.3 |  -2.9   |  -5.0   |
|   电子元件   | 300656 |  民德电子  |  52.8  |  95.7  | -4.1 |  -3.4   |   2.6   |
|   电子元件   | 688519 |  南亚新材  |  62.3  |  21.9  | -4.2 |  -5.8   |  -10.1  |
|   电子元件   | 300476 |  胜宏科技  | 147.9  |  18.3  | -3.7 |  -5.9   |  -7.5   |
|   电子元件   | 002138 |  顺络电子  | 200.4  |  30.8  | -4.9 |  -8.5   |  -4.4   |
|   电力行业   | 605028 |  世茂能源  |  31.0  |  17.2  | -3.5 |   6.9   |   7.9   |
|   电力行业   | 002499 |  *ST科林   |  7.7   |  -8.2  | -3.3 |  -7.5   |  -9.0   |
|   电力行业   | 600719 |   ST热电   |  20.7  |  13.4  | -5.0 |  -7.8   |   2.2   |
|   生物制品   | 688276 |  百克生物  | 273.4  | 394.7  | -3.0 |   2.8   |  21.9   |
|   生物制品   | 688302 | 海创药业-U |  42.4  | -12.2  | -3.7 |  -6.4   |  -7.0   |
|   珠宝首饰   | 002721 |  金一文化  |  34.9  |  -7.0  | -3.5 |  -5.0   |   0.8   |
|   环保行业   | 688021 |  奥福环保  |  25.3  |  63.8  | -3.2 |   4.6   |  -1.0   |
|   环保行业   | 000005 |   ST星源   |  18.4  | 294.1  | -4.9 |  -2.8   |  -3.9   |
|   煤炭行业   | 601001 |  晋控煤业  | 296.1  |  8.2   | -3.3 |  -0.5   |  14.6   |
|   煤炭行业   | 600725 |  云维股份  |  52.6  | 182.5  | -3.4 |  -4.5   |   2.9   |
|   煤炭行业   | 600532 |  *ST未来   |  71.5  | -150.4 | -4.9 |  -5.7   |  -5.7   |
|   煤炭行业   | 600546 |  山煤国际  | 358.2  |  5.4   | -4.8 |  -7.0   |  -0.3   |
|   消费电子   | 002993 |  奥海科技  |  94.2  |  22.5  | -5.7 |   6.1   |   3.1   |
|   消费电子   | 002881 |  美格智能  |  75.0  |  76.2  | -3.5 |   2.4   |  -14.9  |
|   消费电子   | 002655 |  共达电声  |  51.6  |  66.7  | -3.2 |   1.3   |  10.3   |
|   消费电子   | 603133 |  碳元科技  |  23.8  | -45.1  | -3.1 |   0.6   |  10.1   |
|   消费电子   | 688678 |   福立旺   |  43.5  |  28.5  | -6.0 |   0.0   |  -1.3   |
|   消费电子   | 300679 |  电连技术  | 185.7  |  52.7  | -4.5 |  -0.2   |   1.4   |
|   消费电子   | 002475 |  立讯精密  | 2310.0 |  32.0  | -4.4 |  -0.4   |   0.6   |
|   消费电子   | 300686 |   智动力   |  30.8  |  72.3  | -4.5 |  -0.8   |  -0.7   |
|   消费电子   | 300684 |  中石科技  |  38.8  |  40.2  | -5.4 |  -1.2   |  -5.9   |
|   消费电子   | 600745 |  闻泰科技  | 964.2  |  48.0  | -5.8 |  -1.6   |   9.2   |
|   消费电子   | 300131 |  英唐智控  |  53.7  |  46.6  | -3.8 |  -4.4   |  -3.3   |
|   消费电子   | 002635 |  安洁科技  | 105.1  |  30.9  | -4.5 |  -4.8   |  -0.8   |
|  汽车零部件  | 603922 |   金鸿顺   |  29.2  |  72.2  | -4.6 |   1.1   |  -4.6   |
|  汽车零部件  | 300928 |  华安鑫创  |  44.5  | 202.9  | -4.5 |  -1.4   |  -6.3   |
|  汽车零部件  | 300742 |  越博动力  |  22.7  | -34.3  | -3.1 |  -2.2   |  -9.7   |
|  汽车零部件  | 603306 |  华懋科技  |  97.9  |  40.5  | -4.3 |  -2.9   |   3.6   |
|  汽车零部件  | 300580 |   贝斯特   |  40.7  |  26.9  | -3.5 |  -3.8   |  -13.3  |
|  汽车零部件  | 605068 |  明新旭腾  |  38.6  |  56.4  | -3.4 |  -3.9   |  -12.7  |
|  汽车零部件  | 300507 |  苏奥传感  |  60.6  |  61.4  | -3.2 |  -4.7   |   4.8   |
|  汽车零部件  | 603786 |   科博达   | 240.7  |  65.7  | -3.5 |  -4.9   |  -14.9  |
|  汽车零部件  | 603319 |   湘油泵   |  37.0  |  29.5  | -5.1 |  -7.5   |  -6.0   |
|  汽车零部件  | 300652 |   雷迪克   |  21.8  |  26.1  | -3.9 |  -7.8   |  -7.8   |
|  汽车零部件  | 603982 |  泉峰汽车  |  47.3  |  66.8  | -4.8 |  -8.2   |  -13.9  |
|  汽车零部件  | 002590 |  万安科技  |  40.4  | -414.8 | -4.9 |  -12.6  |  -8.4   |
|   汽车整车   | 000951 |  中国重汽  | 162.5  |  32.7  | -3.2 |   7.7   |   3.4   |
|   汽车整车   | 600213 |  亚星客车  |  29.7  | -17.0  | -5.8 |  -1.1   |   9.6   |
