[行业>市值]
+------------+--------+------------+--------+---------+------+---------+---------+
|    行业    |  代码  |    名称    |  市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+------------+--------+------------+--------+---------+------+---------+---------+
| 互联网服务 | 300059 |  东方财富  | 3334.0 |  38.4   | -1.6 |  -0.7   |  -1.5   |
| 互联网服务 | 600845 |  宝信软件  | 811.3  |  44.6   | -1.6 |  -2.2   |  -4.7   |
| 互联网服务 | 000938 |  紫光股份  | 563.4  |  37.8   | -2.1 |   1.6   |   4.2   |
| 互联网服务 | 300496 |  中科创达  | 560.9  |  90.0   | -1.2 |   1.1   |  -4.7   |
| 互联网服务 | 603613 |  国联股份  | 443.8  |  71.5   | -0.3 |   0.5   |   0.0   |
| 互联网服务 | 600536 |  中国软件  | 263.1  |  -64.2  | -6.0 |  -1.8   |   2.4   |
| 互联网服务 | 300682 |  朗新科技  | 261.3  |  127.1  | 0.1  |  -1.1   |  -7.3   |
| 互联网服务 | 600271 |  航天信息  | 200.5  |  83.3   | -1.4 |  -1.1   |  -0.3   |
| 互联网服务 | 300383 |  光环新网  | 179.8  |  23.2   | -1.4 |  -4.0   |  -6.5   |
| 互联网服务 | 600131 |  国网信通  | 169.0  |  86.1   | -2.5 |   5.1   |   1.4   |
| 互联网服务 | 002373 |  千方科技  | 159.8  |  -15.6  | -1.9 |  -9.1   |   8.9   |
| 互联网服务 | 688568 |  中科星图  | 149.3  | -3858.8 | -0.6 |   0.1   |   0.2   |
| 互联网服务 | 688066 |  航天宏图  | 138.1  |  -69.7  | -3.1 |  -5.0   |   2.8   |
| 互联网服务 | 300339 |  润和软件  | 137.3  |  109.1  | -3.6 |  -4.0   |  -3.5   |
| 互联网服务 | 600718 |  东软集团  | 136.9  | -113.6  | -1.6 |  -4.3   |  -1.2   |
| 互联网服务 | 000997 |   新大陆   | 133.5  |  39.9   | -2.2 |  -2.0   |  -1.5   |
| 互联网服务 | 002453 |  华软科技  | 131.0  | -810.6  | -2.9 |  -1.8   |  -3.5   |
| 互联网服务 | 002131 |  利欧股份  | 129.7  |  -3.9   | 0.5  |  -1.0   |  -2.0   |
| 互联网服务 | 300017 |  网宿科技  | 127.0  |  61.6   | -1.3 |  -3.2   |  -2.4   |
| 互联网服务 | 002195 |  二三四五  | 125.4  |  29.3   | -0.9 |  -2.7   |  -1.4   |
| 互联网服务 | 688088 |  虹软科技  | 119.2  |  121.5  | -0.4 |  -7.1   |  10.2   |
| 互联网服务 | 300212 |   易华录   | 112.6  |  82.1   | -3.8 |  -2.8   |  -2.1   |
| 互联网服务 | 603171 |  税友股份  | 110.5  |  90.8   | -0.5 |  -2.7   |   3.3   |
| 互联网服务 | 002368 |  太极股份  | 108.6  |  145.0  | -2.7 |  -2.5   |  -1.5   |
| 互联网服务 | 000555 |  神州信息  | 108.0  |  86.7   | -2.2 |  -2.7   |  -2.8   |
| 互联网服务 | 300168 |  万达信息  | 107.6  |  201.0  | -1.8 |  -4.0   |  -1.0   |
| 互联网服务 | 300674 |  宇信科技  | 107.0  | 1675.0  | -1.8 |  -4.1   |  -2.6   |
| 互联网服务 | 600850 |  电科数字  | 102.0  |  35.6   | -1.8 |  -1.4   |  -2.2   |
| 互联网服务 | 300166 |  东方国信  | 101.8  |  61.5   | -3.4 |  -4.2   |  -6.3   |
| 互联网服务 | 600446 |  金证股份  |  94.0  |  -61.1  | -2.0 |  -3.8   |  -2.8   |
| 互联网服务 | 300687 |  赛意信息  |  90.9  |  163.0  | -2.5 |  -0.7   |  -0.7   |
| 互联网服务 | 603881 |   数据港   |  84.8  |  189.5  | -2.9 |  -4.0   |  -2.9   |
| 互联网服务 | 603636 |  南威软件  |  81.3  |  -76.9  | 0.9  |  13.3   |   5.1   |
| 互联网服务 | 600751 |  海航科技  |  80.3  |  24.7   | -1.8 |   2.2   |   3.0   |
| 互联网服务 | 300170 |  汉得信息  |  77.5  |   5.6   | -2.8 |  -3.2   |  -3.3   |
| 互联网服务 | 300738 |  奥飞数据  |  74.6  |  44.1   | -3.3 |  -5.2   |  -1.2   |
| 互联网服务 | 300079 |  数码视讯  |  71.7  |  548.6  | -2.1 |  -3.8   |  -5.5   |
| 互联网服务 | 002990 |  盛视科技  |  67.4  |  33.3   | -2.9 |  -7.3   |   1.5   |
