[行业>市值]
+----------+--------+----------+--------+--------+-------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+-------+---------+---------+
| 装修建材 | 002271 | 东方雨虹 | 1175.0 |  92.6  | -10.0 |  -9.4   |  -2.7   |
| 装修建材 | 603833 | 欧派家居 | 846.2  |  83.6  | -5.0  |  -7.8   |  -1.4   |
| 装修建材 | 000786 | 北新建材 | 569.7  |  25.4  | -3.4  |  -2.6   |   2.3   |
| 装修建材 | 603737 |  三棵树  | 470.9  | -303.9 | -10.0 |  -3.4   |  -0.9   |
| 装修建材 | 603816 | 顾家家居 | 445.2  |  25.1  | -3.4  |  -4.3   |  -3.1   |
| 装修建材 | 002791 | 坚朗五金 | 381.1  | -106.5 | -3.0  |  -8.6   |   3.2   |
| 装修建材 | 002372 | 伟星新材 | 365.4  |  78.0  | -3.5  |  -4.5   |   0.8   |
| 装修建材 | 002572 |  索菲亚  | 232.8  |  50.9  | -3.3  |  -7.2   |  -4.7   |
| 装修建材 | 300737 | 科顺股份 | 147.0  |  37.1  | -5.0  |  -5.5   |   2.3   |
| 装修建材 | 603008 | XD喜临门 | 133.5  |  61.9  | -1.5  |  -5.4   |  -4.8   |
| 装修建材 | 002088 | 鲁阳节能 | 117.9  |  24.2  |  3.9  |  10.6   |  12.6   |
| 装修建材 | 003012 | 东鹏控股 | 100.6  | -32.6  | -1.1  |  -2.8   |  -0.3   |
| 装修建材 | 002043 |  兔宝宝  |  84.0  |  22.1  | -4.7  |  -6.3   |   0.7   |
| 装修建材 | 002323 | 雅博股份 |  82.3  | 450.4  |  7.5  |   4.0   |  -0.8   |
| 装修建材 | 603801 | 志邦家居 |  80.4  |  39.2  | -5.5  |  -4.6   |  -4.3   |
| 装修建材 | 002918 | 蒙娜丽莎 |  70.8  | -24.0  | -3.9  |  -9.8   |  -2.9   |
| 装修建材 | 603208 | 江山欧派 |  68.1  |  30.7  | -6.3  |  -10.3  |   7.9   |
| 装修建材 | 603992 | 松霖科技 |  65.4  |  22.5  | -2.9  |   0.1   |   0.2   |
| 装修建材 | 603313 |  梦百合  |  58.0  |  47.0  | -0.9  |  -0.4   |  -0.8   |
| 装修建材 | 002641 | 公元股份 |  57.8  |  44.9  | -3.1  |  -2.9   |  -5.1   |
| 装修建材 | 603818 | 曲美家居 |  54.1  |  23.3  | -3.0  |  -3.0   |  -4.4   |
| 装修建材 | 300715 | 凯伦股份 |  51.4  | 149.5  | -3.0  |  -4.7   |  -2.6   |
| 装修建材 | 300616 | 尚品宅配 |  51.3  | -12.8  | -3.3  |  -9.3   |  -2.0   |
| 装修建材 | 002785 |  万里石  |  50.7  | 230.6  |  4.8  |   6.8   |   1.7   |
| 装修建材 | 603378 | 亚士创能 |  49.5  | -32.5  | -3.0  |  -1.7   |   2.5   |
| 装修建材 | 600337 | 美克家居 |  48.7  | -12.2  | -0.7  |  -2.3   |  -1.6   |
| 装修建材 | 000910 | 大亚圣象 |  48.7  | -55.5  | -0.7  |  -3.0   |   0.3   |
| 装修建材 | 603610 | 麒盛科技 |  48.3  |  21.5  |  0.8  |  -0.2   |  -4.1   |
| 装修建材 | 002392 | 北京利尔 |  46.0  |  16.4  |  1.1  |   3.2   |   4.9   |
| 装修建材 | 603180 | 金牌厨柜 |  45.2  |  37.4  | -4.1  |  -5.4   |  -3.8   |
| 装修建材 | 002398 | 垒知集团 |  44.7  |  20.2  | -2.0  |  -3.3   |  -1.1   |
| 装修建材 | 600076 | 康欣新材 |  43.2  | -29.2  | -0.3  |  -2.4   |   0.9   |
| 装修建材 | 002225 | 濮耐股份 |  41.8  |  14.0  | -0.5  |   3.2   |   2.0   |
