[行业>市值]
+----------+--------+----------+-------+--------+------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+--------+------+---------+---------+
| 装修装饰 | 002081 |  金螳螂  | 135.4 |  6.8   | -1.0 |  -0.2   |   0.2   |
| 装修装饰 | 601886 | 江河集团 | 101.3 |  27.7  | 1.0  |   5.8   |  -0.1   |
| 装修装饰 | 002375 | 亚厦股份 | 68.2  |  19.8  | 0.8  |   1.6   |   3.0   |
| 装修装饰 | 002047 | 宝鹰股份 | 56.2  | -31.0  | -2.1 |  -7.0   |  -11.5  |
| 装修装饰 | 603408 | 建霖家居 | 51.6  |  13.4  | -1.3 |  -1.7   |  -2.0   |
| 装修装饰 | 000055 | 方大集团 | 46.5  |  26.5  | -0.9 |  -3.4   |  -7.1   |
| 装修装饰 | 300506 |  名家汇  | 46.4  |  91.5  | -0.9 |  -1.5   |  -0.7   |
| 装修装饰 | 603081 | 大丰实业 | 45.4  |  16.3  | -1.2 |  -0.5   |   0.5   |
| 装修装饰 | 001212 | 中旗新材 | 45.0  |  64.1  | -3.8 |  -9.4   |  -8.8   |
| 装修装饰 | 605268 | 王力安防 | 44.8  | -163.9 | -3.5 |  -6.4   |   6.0   |
| 装修装饰 | 300592 | 华凯易佰 | 44.2  |  31.8  | 6.2  |   2.5   |   4.9   |
| 装修装饰 | 002822 | 中装建设 | 36.5  | -92.5  | -1.0 |  -2.3   |  -3.4   |
| 装修装饰 | 002482 | 广田集团 | 35.5  | -11.5  | 3.6  |   0.9   |  -1.3   |
| 装修装饰 | 002325 | 洪涛股份 | 35.3  | -11.1  | -0.8 |  -2.5   |  -8.6   |
| 装修装饰 | 002989 | 中天精装 | 34.9  |  24.6  | 10.0 |  33.1   |  35.0   |
| 装修装饰 | 603216 | 梦天家居 | 34.6  |  41.1  | -2.4 |  -3.5   |  -4.6   |
| 装修装饰 | 301113 | 雅艺科技 | 30.9  |  39.3  | 6.3  |   8.8   |   9.8   |
| 装修装饰 | 300993 | 玉马遮阳 | 30.1  |  27.9  | -1.3 |  -0.7   |  -0.4   |
| 装修装饰 | 300374 | 中铁装配 | 28.3  | -18.6  | -2.4 |  -3.7   |  -2.7   |
| 装修装饰 | 603385 | 惠达卫浴 | 28.3  | -513.0 | -1.2 |  -2.6   |  -0.9   |
| 装修装饰 | 002713 | 东易日盛 | 27.9  |  -2.9  | -0.1 |   1.4   |   0.5   |
| 装修装饰 | 002084 | 海鸥住工 | 26.0  | -32.8  | -1.0 |  -1.0   |   1.3   |
| 装修装饰 | 605287 | 德才股份 | 24.6  |  14.4  | -0.9 |  -2.5   |  -0.4   |
| 装修装饰 | 002811 | 郑中设计 | 24.4  | 112.8  | -0.7 |  -2.3   |  -2.8   |
| 装修装饰 | 605178 | 时空科技 | 23.7  | -54.9  | -1.1 |   3.6   |   6.3   |
| 装修装饰 | 002789 | 建艺集团 | 23.5  | 136.0  | -1.4 |   0.4   |  -2.0   |
| 装修装饰 | 600193 | 创兴资源 | 22.9  |  70.9  | 1.5  |   3.9   |  -0.9   |
| 装修装饰 | 603929 | 亚翔集成 | 22.5  | 110.9  | -1.7 |  -1.1   |  -1.5   |
| 装修装饰 | 603272 | 联翔股份 | 22.2  |  55.8  | -3.0 |  -2.5   |  -1.8   |
| 装修装饰 | 002247 | 聚力文化 | 21.9  | 2193.6 | -0.4 |  -0.8   |   2.0   |
| 装修装饰 | 002620 | 瑞和股份 | 21.8  |  56.3  | -0.9 |  -1.5   |  -3.2   |
| 装修装饰 | 603828 |  柯利达  | 20.4  | -13.6  | -0.9 |  -1.5   |  -1.2   |
| 装修装饰 | 605289 | 罗曼股份 | 20.4  | 202.7  | -1.3 |  -4.8   |  -2.7   |
| 装修装饰 | 605155 |  西大门  | 19.2  |  24.6  | -1.4 |  -3.0   |  -3.7   |
| 装修装饰 | 603030 | 全筑股份 | 19.0  | -35.7  | 2.8  |   7.2   |   9.0   |
| 装修装饰 | 605318 |  法狮龙  | 18.4  |  84.5  | -1.7 |  -2.3   |  -2.1   |
| 装修装饰 | 002963 |  豪尔赛  | 18.2  | -20.9  | 0.0  |  -0.6   |   0.3   |
| 装修装饰 | 300621 | 维业股份 | 18.1  | -108.7 | -1.2 |  -4.0   |  -0.7   |
| 装修装饰 | 603038 | 华立股份 | 17.2  | -289.2 | -2.0 |  -1.6   |  -7.5   |
| 装修装饰 | 002504 |  ST弘高  | 16.0  | -50.5  | 0.7  |   1.3   |  -1.9   |
| 装修装饰 | 002830 | 名雕股份 | 13.9  | -43.3  | -0.1 |  -1.8   |  -0.3   |
| 装修装饰 | 002856 | 美芝股份 | 13.6  | 909.9  | -1.3 |  -0.1   |  -0.1   |
| 装修装饰 | 002781 | *ST奇信  | 10.8  |  -9.4  | -0.4 |  -1.4   |   4.6   |
+----------+--------+----------+-------+--------+------+---------+---------+
 




 [行业>单日涨幅]
+----------+--------+----------+-------+--------+------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+--------+------+---------+---------+
| 装修装饰 | 002989 | 中天精装 | 34.9  |  24.6  | 10.0 |  33.1   |  35.0   |
| 装修装饰 | 301113 | 雅艺科技 | 30.9  |  39.3  | 6.3  |   8.8   |   9.8   |
| 装修装饰 | 300592 | 华凯易佰 | 44.2  |  31.8  | 6.2  |   2.5   |   4.9   |
| 装修装饰 | 002482 | 广田集团 | 35.5  | -11.5  | 3.6  |   0.9   |  -1.3   |
| 装修装饰 | 603030 | 全筑股份 | 19.0  | -35.7  | 2.8  |   7.2   |   9.0   |
| 装修装饰 | 600193 | 创兴资源 | 22.9  |  70.9  | 1.5  |   3.9   |  -0.9   |
| 装修装饰 | 601886 | 江河集团 | 101.3 |  27.7  | 1.0  |   5.8   |  -0.1   |
| 装修装饰 | 002375 | 亚厦股份 | 68.2  |  19.8  | 0.8  |   1.6   |   3.0   |
| 装修装饰 | 002504 |  ST弘高  | 16.0  | -50.5  | 0.7  |   1.3   |  -1.9   |
| 装修装饰 | 002963 |  豪尔赛  | 18.2  | -20.9  | 0.0  |  -0.6   |   0.3   |
| 装修装饰 | 002830 | 名雕股份 | 13.9  | -43.3  | -0.1 |  -1.8   |  -0.3   |
| 装修装饰 | 002713 | 东易日盛 | 27.9  |  -2.9  | -0.1 |   1.4   |   0.5   |
| 装修装饰 | 002247 | 聚力文化 | 21.9  | 2193.6 | -0.4 |  -0.8   |   2.0   |
| 装修装饰 | 002781 | *ST奇信  | 10.8  |  -9.4  | -0.4 |  -1.4   |   4.6   |
| 装修装饰 | 002811 | 郑中设计 | 24.4  | 112.8  | -0.7 |  -2.3   |  -2.8   |
| 装修装饰 | 002325 | 洪涛股份 | 35.3  | -11.1  | -0.8 |  -2.5   |  -8.6   |
| 装修装饰 | 002620 | 瑞和股份 | 21.8  |  56.3  | -0.9 |  -1.5   |  -3.2   |
| 装修装饰 | 300506 |  名家汇  | 46.4  |  91.5  | -0.9 |  -1.5   |  -0.7   |
| 装修装饰 | 603828 |  柯利达  | 20.4  | -13.6  | -0.9 |  -1.5   |  -1.2   |
| 装修装饰 | 000055 | 方大集团 | 46.5  |  26.5  | -0.9 |  -3.4   |  -7.1   |
| 装修装饰 | 605287 | 德才股份 | 24.6  |  14.4  | -0.9 |  -2.5   |  -0.4   |
