[行业>市值]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 医疗服务 | 603259 | 药明康德 | 3342.0 |  50.9  | -0.4 |  10.0   |  10.7   |
| 医疗服务 | 300015 | 爱尔眼科 | 2357.0 |  96.5  | -2.6 |  -0.4   |   5.0   |
| 医疗服务 | 300759 | 康龙化成 | 1259.0 | 126.3  | -1.2 |  10.4   |  13.3   |
| 医疗服务 | 300347 | 泰格医药 | 1112.0 |  53.6  | 0.7  |  10.5   |  15.8   |
| 医疗服务 | 002821 |  凯莱英  | 826.7  |  41.4  | 1.0  |  10.1   |   9.7   |
| 医疗服务 | 600763 | 通策医疗 | 539.3  |  81.0  | -6.4 |  -1.6   |   1.7   |
| 医疗服务 | 603127 | 昭衍新药 | 513.5  | 102.4  | 2.1  |  16.9   |  20.6   |
| 医疗服务 | 603882 | 金域医学 | 393.6  |  11.6  | -4.3 |   1.3   |   5.5   |
| 医疗服务 | 688202 |  美迪西  | 337.0  | 109.1  | 2.8  |  16.1   |  23.1   |
| 医疗服务 | 000516 | 国际医学 | 248.1  | -14.5  | -5.1 |   0.2   |   6.5   |
| 医疗服务 | 002044 | 美年健康 | 214.9  | -12.5  | -2.3 |   0.2   |   3.0   |
| 医疗服务 | 300244 | 迪安诊断 | 198.3  |  6.6   | 0.1  |   3.8   |   2.1   |
| 医疗服务 | 002219 | 恒康医疗 | 144.6  | 3028.8 | 9.9  |  33.0   |  46.7   |
| 医疗服务 | 688238 | 和元生物 | 140.3  | 290.6  | -1.5 |   3.6   |  12.9   |
| 医疗服务 | 688315 | XD诺禾致 | 123.3  | 163.3  | 4.5  |  24.2   |  14.4   |
| 医疗服务 | 301096 | 百诚医药 |  98.3  | 125.8  | 2.4  |  14.6   |  17.9   |
| 医疗服务 | 688621 | 阳光诺和 |  91.5  |  68.5  | -0.6 |   5.1   |   8.0   |
