[行业>市值]
+--------+--------+------------+--------+--------+------+---------+---------+
|  行业  |  代码  |    名称    |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+--------+--------+------------+--------+--------+------+---------+---------+
| 半导体 | 688981 |  中芯国际  | 3442.0 |  30.3  | -1.7 |  -2.8   |  -5.4   |
| 半导体 | 002371 |  北方华创  | 1550.0 | 187.7  | 7.1  |   4.2   |   5.1   |
| 半导体 | 603501 |  韦尔股份  | 1431.0 |  39.9  | 1.1  |  -5.9   |  -6.2   |
| 半导体 | 002049 |  紫光国微  | 1268.0 |  59.7  | -0.3 |   3.5   |   7.0   |
| 半导体 | 603986 |  兆易创新  | 876.3  |  31.9  | 0.5  |  -5.5   |  -6.2   |
| 半导体 | 688012 |  中微公司  | 779.1  | 166.2  | 13.8 |   8.7   |   4.4   |
| 半导体 | 688396 |   华润微   | 750.7  |  30.3  | 2.9  |  -1.8   |  -4.7   |
| 半导体 | 300782 |   卓胜微   | 716.3  |  39.0  | 2.4  |  -4.7   |   2.2   |
| 半导体 | 600460 |   士兰微   | 710.6  |  66.2  | 2.6  |  -1.7   |  -1.3   |
| 半导体 | 300661 |  圣邦股份  | 665.9  |  63.9  | 3.6  |   2.8   |   2.7   |
| 半导体 | 603290 |  斯达半导  | 656.3  | 108.5  | 1.9  |   1.0   |   0.9   |
| 半导体 | 688008 |  澜起科技  | 643.6  |  52.6  | 1.4  |  -5.8   |  -3.6   |
| 半导体 | 688126 | 沪硅产业-U | 604.7  | -997.8 | 1.1  |  -2.8   |  -4.7   |
| 半导体 | 688385 |  复旦微电  | 534.7  |  57.4  | 5.9  |   3.7   |   0.5   |
| 半导体 | 688728 |   格科微   | 491.5  |  50.9  | 0.8  |  -3.6   |  -5.2   |
| 半导体 | 600584 |  长电科技  | 475.0  |  13.8  | 1.9  |  -0.3   |  -0.0   |
| 半导体 | 300223 |  北京君正  | 467.8  |  50.5  | -0.8 |  -4.3   |  -5.0   |
| 半导体 | 605358 |   立昂微   | 447.4  |  47.0  | 2.2  |  -3.2   |   1.8   |
| 半导体 | 603893 |   瑞芯微   | 445.4  | 132.3  | 10.0 |  10.5   |  27.1   |
| 半导体 | 688536 |   思瑞浦   | 411.4  | 112.5  | 3.4  |  -2.9   |  -1.4   |
| 半导体 | 688099 |  晶晨股份  | 384.8  |  35.6  | 1.9  |  -3.7   |  -4.3   |
| 半导体 | 688052 |   纳芯微   | 381.7  | 113.2  | 0.8  |   1.6   |   1.9   |
| 半导体 | 688047 |  龙芯中科  | 356.5  | 244.7  | -3.4 |  -3.0   |  -14.1  |
| 半导体 | 300373 |  扬杰科技  | 337.3  |  30.5  | 0.7  |  -5.1   |  -4.6   |
| 半导体 | 603160 |  汇顶科技  | 320.0  | -158.4 | 5.4  |   2.5   |  13.2   |
| 半导体 | 002185 |  华天科技  | 291.3  |  35.2  | 0.1  |  -1.7   |  -3.9   |
| 半导体 | 688120 |  华海清科  | 288.0  |  78.9  | 2.3  |   6.9   |  11.1   |
| 半导体 | 688220 | 翱捷科技-U | 285.7  | -221.2 | 2.9  |   0.0   |  -3.2   |
| 半导体 | 688234 |  天岳先进  | 284.7  | -162.6 | 1.1  |  -3.3   |   2.9   |
| 半导体 | 688107 | 安路科技-U | 271.9  | 384.1  | 6.4  |   2.5   |  -1.3   |
| 半导体 | 300604 |  长川科技  | 267.5  |  94.1  | 3.8  |  -0.4   |  -3.7   |
| 半导体 | 688256 |  寒武纪-U  | 253.3  | -22.0  | 1.2  |   0.8   |  -5.7   |
| 半导体 | 002409 |  雅克科技  | 243.9  |  41.0  | -1.1 |  -5.8   |  -8.5   |
| 半导体 | 688521 | 芯原股份-U | 242.2  | 1844.2 | 3.7  |   1.3   |  -2.1   |
| 半导体 | 605111 |   新洁能   | 239.5  |  53.3  | 1.4  |  -0.7   |  -8.1   |
| 半导体 | 688213 |  思特威-W  | 219.2  | 388.4  | -1.2 |  -6.9   |  -1.4   |
| 半导体 | 688798 |  艾为电子  | 217.3  |  94.5  | 1.6  |  -3.4   |  -6.2   |
| 半导体 | 688072 | 拓荆科技-U | 216.2  | -454.9 | 15.9 |   9.3   |  10.2   |
| 半导体 | 688200 |  华峰测控  | 206.3  |  42.2  | 3.6  |  -3.1   |  -7.7   |
| 半导体 | 002156 |  通富微电  | 198.0  |  30.1  | 0.1  |  -1.8   |  -2.4   |
| 半导体 | 688153 | 唯捷创芯-U | 189.8  | 129.1  | 1.7  |  -4.0   |  -6.3   |
| 半导体 | 301050 |  雷电微力  | 188.7  |  44.1  | 4.9  |   6.4   |   2.6   |
| 半导体 | 300613 |   富瀚微   | 181.7  |  44.7  | -1.2 |  -2.0   |  -5.1   |
| 半导体 | 300458 |  全志科技  | 180.8  |  58.9  | -5.0 |   0.1   |   5.2   |
| 半导体 | 603005 |  晶方科技  | 178.9  |  48.7  | 2.5  |   1.8   |   9.3   |
| 半导体 | 600171 |  上海贝岭  | 174.8  |  30.3  | 2.4  |   1.0   |  -3.5   |
| 半导体 | 300623 |  捷捷微电  | 174.2  |  43.4  | 0.6  |  -4.9   |  -1.4   |
| 半导体 | 688261 |  东微半导  | 173.0  |  90.6  | 7.9  |  12.9   |   6.5   |
| 半导体 | 688608 |  恒玄科技  | 165.7  | 184.1  | 7.7  |  -0.9   |  -2.6   |
| 半导体 | 688002 |  睿创微纳  | 161.9  | 283.4  | -1.3 |  -6.2   |  -12.6  |
