[行业>市值]
+------------+--------+-------------+--------+--------+-------+---------+---------+
|    行业    |  代码  |    名称     |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+------------+--------+-------------+--------+--------+-------+---------+---------+
| 汽车零部件 | 000338 |  潍柴动力   | 1059.0 |  25.2  | -2.3  |  -5.6   |  -6.0   |
| 汽车零部件 | 002920 |  德赛西威   | 827.4  |  65.0  |  1.3  |  -0.5   |  -7.8   |
| 汽车零部件 | 601689 |  拓普集团   | 797.4  |  51.7  |  0.1  |   2.1   |   1.5   |
| 汽车零部件 | 600741 |  华域汽车   | 695.5  |  10.2  |  1.1  |  -2.6   |  -12.0  |
| 汽车零部件 | 601799 |  星宇股份   | 462.0  |  42.9  |  2.1  |  -2.0   |  -3.3   |
| 汽车零部件 | 603596 |   伯特利    | 333.2  |  60.2  |  1.9  |   0.1   |  -4.0   |
| 汽车零部件 | 300432 |  富临精工   | 275.5  |  32.6  | -3.9  |  -5.1   |  -0.3   |
| 汽车零部件 | 601717 |   郑煤机    | 253.2  |  9.3   | -4.2  |  -5.5   |  -6.8   |
| 汽车零部件 | 603786 |   科博达    | 251.8  |  68.7  |  3.1  |  -0.1   |  -8.0   |
| 汽车零部件 | 002472 |  双环传动   | 247.9  |  52.2  | -0.7  |   1.7   |  -1.1   |
| 汽车零部件 | 000887 |  中鼎股份   | 247.2  |  24.6  |  1.9  |   1.6   |  -6.2   |
| 汽车零部件 | 002906 |  华阳集团   | 223.1  |  80.6  |  0.8  |  -2.4   |  -4.2   |
| 汽车零部件 | 300428 |  立中集团   | 220.2  |  41.0  |  5.0  |   2.0   |  -3.0   |
| 汽车零部件 | 603305 |  旭升股份   | 200.9  |  41.9  |  2.1  |   7.0   |  -2.1   |
| 汽车零部件 | 600699 |  均胜电子   | 200.8  | -31.8  |  0.7  |  -11.5  |  -9.8   |
| 汽车零部件 | 000559 |  万向钱潮   | 192.6  |  18.5  |  0.3  |  -2.0   |  -7.3   |
| 汽车零部件 | 000581 |  威孚高科   | 191.3  |  6.5   | -1.1  |  -1.1   |  -5.0   |
| 汽车零部件 | 688326 | 经纬恒润-W  | 181.1  | -142.7 |  2.3  |   4.0   |   8.6   |
| 汽车零部件 | 603348 |  文灿股份   | 168.2  |  53.0  | 10.0  |  15.2   |   7.3   |
| 汽车零部件 | 000981 |   *ST银亿   | 160.0  |  8.4   |  0.0  |  -0.6   |   1.3   |
| 汽车零部件 | 600841 |  动力新科   | 146.7  | 219.0  |  6.3  |   3.8   |  -1.9   |
| 汽车零部件 | 600933 |   爱柯迪    | 145.0  |  42.7  |  3.4  |  -0.2   |  -9.3   |
| 汽车零部件 | 603179 |  新泉股份   | 139.6  |  41.8  | -1.1  |  -1.6   |  -9.7   |
| 汽车零部件 | 002865 |  钧达股份   | 137.7  | 159.1  |  2.2  |  -0.3   |  -5.2   |
| 汽车零部件 | 002101 |  广东鸿图   | 128.9  |  44.0  |  6.7  |   2.6   |  -5.1   |
| 汽车零部件 | 002048 |  宁波华翔   | 126.8  |  16.1  | -0.9  |  -3.1   |  -8.7   |
| 汽车零部件 | 603730 |  岱美股份   | 125.7  |  21.9  |  1.7  |   1.4   |  -7.6   |
| 汽车零部件 | 603997 |  继峰股份   | 120.8  | -80.3  |  3.4  |  -2.5   |  -8.0   |
| 汽车零部件 | 688533 |  上声电子   | 118.8  | 237.1  |  4.8  |   6.2   |  -1.8   |
| 汽车零部件 | 002085 |  万丰奥威   | 117.7  |  16.7  |  0.8  |   1.3   |  -8.8   |
| 汽车零部件 | 002434 |   万里扬    | 112.2  |  29.7  | -1.9  |  -1.2   |  -9.0   |
| 汽车零部件 | 002703 |  浙江世宝   | 110.6  | -685.4 | -10.0 |  -10.0  |  -10.0  |
| 汽车零部件 | 000030 |  富奥股份   | 104.8  | 109.8  |  0.0  |   2.3   |  -3.2   |
| 汽车零部件 | 603197 |  保隆科技   | 104.5  |  58.7  |  4.8  |   0.3   |  -6.5   |
| 汽车零部件 | 605333 |  沪光股份   | 101.6  | 360.1  | 10.0  |  11.6   |   6.4   |
| 汽车零部件 | 002239 |   奥特佳    | 101.5  | -39.2  | -0.3  |  -2.5   |  -7.4   |
| 汽车零部件 | 601279 |  英利汽车   |  98.3  | 333.9  | -0.8  |  -4.9   |  -17.1  |
| 汽车零部件 | 002190 |  成飞集成   |  97.2  | 207.9  |  0.1  |  -1.1   |  -4.2   |
| 汽车零部件 | 600523 |  贵航股份   |  96.8  |  70.5  |  1.0  |   4.2   |  -0.9   |
| 汽车零部件 | 603306 |  华懋科技   |  95.3  |  39.5  | -1.9  |  -6.9   |  -6.2   |
| 汽车零部件 | 002537 |  海联金汇   |  94.6  |  52.5  | -3.5  |  -0.9   |  -5.6   |
| 汽车零部件 | 002126 |  银轮股份   |  90.2  |  32.1  | -0.9  |  -1.6   |  -10.5  |
| 汽车零部件 | 300681 |   英搏尔    |  83.9  | 113.7  |  2.1  |   1.0   |  -8.1   |
| 汽车零部件 | 600609 |  金杯汽车   |  79.1  |  67.2  |  0.5  |  -7.4   |  -7.9   |
| 汽车零部件 | 600480 |  凌云股份   |  78.4  |  21.4  | -1.8  |  -3.8   |  -10.8  |
| 汽车零部件 | 603358 |  华达科技   |  78.0  |  24.5  |  0.3  |  -4.4   |  -12.0  |
| 汽车零部件 | 002516 |  旷达科技   |  76.3  |  36.5  | -0.4  |  -2.6   |  -1.5   |
| 汽车零部件 | 002283 |  天润工业   |  73.7  |  19.6  |  0.6  |  -3.3   |  -14.6  |
| 汽车零部件 | 688667 |  菱电电控   |  73.3  |  46.2  |  0.7  |   0.6   |  -7.7   |
| 汽车零部件 | 603013 |  亚普股份   |  72.3  |  14.0  | -0.6  |  -2.4   |  -7.6   |
| 汽车零部件 | 000901 |  航天科技   |  71.4  | 188.4  | -1.6  |  -1.3   |  -4.6   |
| 汽车零部件 | 002488 |  金固股份   |  71.3  |  44.2  |  0.6  |   4.1   |   2.1   |
| 汽车零部件 | 605018 |  长华股份   |  70.5  |  49.2  | -2.6  |  -4.0   |  -5.6   |
| 汽车零部件 | 002664 |  长鹰信质   |  70.4  |  55.3  | -2.5  |  -7.7   |  -5.4   |
| 汽车零部件 | 300969 |  恒帅股份   |  69.6  |  54.7  |  1.5  |   0.8   |  -7.1   |
| 汽车零部件 | 605005 |  合兴股份   |  68.9  |  51.9  |  0.8  |  -0.6   |  -10.0  |
| 汽车零部件 | 688280 | 精进电动-UW |  67.3  | -19.3  |  0.9  |  -0.9   |  -11.1  |
| 汽车零部件 | 002284 |  亚太股份   |  66.8  |  70.1  |  4.1  |   0.6   |  -3.7   |
| 汽车零部件 | 603949 |  雪龙集团   |  65.4  |  92.0  |  2.1  |   4.8   |  10.6   |
| 汽车零部件 | 002454 |  松芝股份   |  63.7  |  79.0  |  2.0  |  -14.0  |  -23.4  |
| 汽车零部件 | 300745 |  欣锐科技   |  62.8  | 222.3  |  7.8  |   2.3   |  -6.8   |
| 汽车零部件 | 600742 |  一汽富维   |  61.5  |  20.4  | -0.4  |  -2.5   |  -9.7   |
