[行业>市值]
+----------+--------+----------+--------+-------+-------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |  pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+-------+-------+---------+---------+
| 航运港口 | 601919 | 中远海控 | 2229.0 |  2.0  | -2.1  |   0.3   |  -2.1   |
| 航运港口 | 600018 | 上港集团 | 1329.0 |  6.0  | -3.5  |  -2.1   |  -3.2   |
| 航运港口 | 601018 |  宁波港  | 616.5  | 14.4  | -1.5  |   0.3   |  -1.8   |
| 航运港口 | 601872 | 招商轮船 | 481.6  |  9.2  | -4.3  |   5.5   |  -4.0   |
| 航运港口 | 600026 | 中远海能 | 449.4  | 448.9 | -10.0 |  -4.7   |  -14.8  |
| 航运港口 | 601880 | 辽港股份 | 405.4  | 21.0  | -1.2  |   0.0   |  -2.3   |
| 航运港口 | 601866 | 中远海发 | 399.4  |  7.2  | -2.0  |  -2.0   |  -3.0   |
| 航运港口 | 601298 |  青岛港  | 352.5  |  7.7  | -1.4  |  -0.9   |  -2.0   |
| 航运港口 | 001872 | 招商港口 | 288.4  |  8.4  | -2.4  |  -2.7   |  -3.1   |
| 航运港口 | 601228 |  广州港  | 229.8  | 18.5  | -2.6  |   2.2   |  -1.3   |
| 航运港口 | 603565 | 中谷物流 | 217.1  |  8.7  | -3.6  |  -3.3   |  -5.8   |
| 航运港口 | 601975 | 招商南油 | 170.8  | 41.3  | -10.0 |  -6.4   |  -20.5  |
| 航运港口 | 601326 | 秦港股份 | 161.5  | 12.0  | -0.3  |   2.5   |   0.3   |
| 航运港口 | 601000 |  唐山港  | 152.3  |  9.7  | -1.1  |  -0.4   |  -1.5   |
| 航运港口 | 000582 | 北部湾港 | 137.3  | 14.7  | -2.9  |   0.9   |  -1.9   |
| 航运港口 | 002320 | 海峡股份 | 119.2  | 30.9  | -2.0  |  -4.6   |  -3.8   |
| 航运港口 | 600717 |  天津港  | 115.2  | 22.1  | -1.7  |  -0.2   |  -1.7   |
| 航运港口 | 000088 |  盐田港  | 112.7  | 33.7  | -2.3  |  -2.0   |  -4.4   |
| 航运港口 | 600428 | 中远海特 | 100.5  |  8.0  | -2.1  |  -0.6   |  -5.8   |
| 航运港口 | 600017 |  日照港  |  94.4  |  9.5  | -2.9  |   1.7   |  -1.3   |
| 航运港口 | 600190 |  锦州港  |  63.1  | 34.5  | -2.8  |  -0.3   |  -2.5   |
| 航运港口 | 000507 |  珠海港  |  54.5  | 23.4  | -3.4  |  -2.8   |  -8.6   |
| 航运港口 | 601008 |  连云港  |  53.1  | 45.5  | -3.0  |   3.1   |  -0.7   |
| 航运港口 | 600798 | 宁波海运 |  48.0  | 37.9  | -2.2  |  -1.0   |  -2.9   |
| 航运港口 | 600279 |  重庆港  |  47.1  | 249.9 | -1.5  |  -1.2   |  -2.9   |
| 航运港口 | 000905 | 厦门港务 |  47.0  | 17.8  | -3.8  |  -4.0   |  -6.1   |
| 航运港口 | 603209 | 兴通股份 |  46.9  | 24.0  | -0.7  |   3.1   |  -0.3   |
| 航运港口 | 001205 | 盛航股份 |  33.7  | 21.5  | -3.5  |   0.9   |  -2.6   |
| 航运港口 | 603167 | 渤海轮渡 |  33.5  | 21.9  | -0.1  |  -1.9   |  -0.3   |
| 航运港口 | 000520 | 长航凤凰 |  31.9  | 75.0  | -1.9  |  -0.6   |  -3.1   |
| 航运港口 | 002040 |  南京港  |  31.3  | 21.2  | -2.7  |  -2.1   |  -6.1   |
+----------+--------+----------+--------+-------+-------+---------+---------+
 




 [行业>单日涨幅]
+----------+--------+----------+--------+-------+-------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |  pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+-------+-------+---------+---------+
| 航运港口 | 603167 | 渤海轮渡 |  33.5  | 21.9  | -0.1  |  -1.9   |  -0.3   |
| 航运港口 | 601326 | 秦港股份 | 161.5  | 12.0  | -0.3  |   2.5   |   0.3   |
| 航运港口 | 603209 | 兴通股份 |  46.9  | 24.0  | -0.7  |   3.1   |  -0.3   |
| 航运港口 | 601000 |  唐山港  | 152.3  |  9.7  | -1.1  |  -0.4   |  -1.5   |
| 航运港口 | 601880 | 辽港股份 | 405.4  | 21.0  | -1.2  |   0.0   |  -2.3   |
| 航运港口 | 601298 |  青岛港  | 352.5  |  7.7  | -1.4  |  -0.9   |  -2.0   |
| 航运港口 | 600279 |  重庆港  |  47.1  | 249.9 | -1.5  |  -1.2   |  -2.9   |
| 航运港口 | 601018 |  宁波港  | 616.5  | 14.4  | -1.5  |   0.3   |  -1.8   |
| 航运港口 | 600717 |  天津港  | 115.2  | 22.1  | -1.7  |  -0.2   |  -1.7   |
| 航运港口 | 000520 | 长航凤凰 |  31.9  | 75.0  | -1.9  |  -0.6   |  -3.1   |
| 航运港口 | 601866 | 中远海发 | 399.4  |  7.2  | -2.0  |  -2.0   |  -3.0   |
| 航运港口 | 002320 | 海峡股份 | 119.2  | 30.9  | -2.0  |  -4.6   |  -3.8   |
| 航运港口 | 600428 | 中远海特 | 100.5  |  8.0  | -2.1  |  -0.6   |  -5.8   |
| 航运港口 | 601919 | 中远海控 | 2229.0 |  2.0  | -2.1  |   0.3   |  -2.1   |
| 航运港口 | 600798 | 宁波海运 |  48.0  | 37.9  | -2.2  |  -1.0   |  -2.9   |
| 航运港口 | 000088 |  盐田港  | 112.7  | 33.7  | -2.3  |  -2.0   |  -4.4   |
| 航运港口 | 001872 | 招商港口 | 288.4  |  8.4  | -2.4  |  -2.7   |  -3.1   |
| 航运港口 | 601228 |  广州港  | 229.8  | 18.5  | -2.6  |   2.2   |  -1.3   |
| 航运港口 | 002040 |  南京港  |  31.3  | 21.2  | -2.7  |  -2.1   |  -6.1   |
| 航运港口 | 600190 |  锦州港  |  63.1  | 34.5  | -2.8  |  -0.3   |  -2.5   |
| 航运港口 | 600017 |  日照港  |  94.4  |  9.5  | -2.9  |   1.7   |  -1.3   |
| 航运港口 | 000582 | 北部湾港 | 137.3  | 14.7  | -2.9  |   0.9   |  -1.9   |
| 航运港口 | 601008 |  连云港  |  53.1  | 45.5  | -3.0  |   3.1   |  -0.7   |
| 航运港口 | 000507 |  珠海港  |  54.5  | 23.4  | -3.4  |  -2.8   |  -8.6   |
| 航运港口 | 001205 | 盛航股份 |  33.7  | 21.5  | -3.5  |   0.9   |  -2.6   |
| 航运港口 | 600018 | 上港集团 | 1329.0 |  6.0  | -3.5  |  -2.1   |  -3.2   |
| 航运港口 | 603565 | 中谷物流 | 217.1  |  8.7  | -3.6  |  -3.3   |  -5.8   |
| 航运港口 | 000905 | 厦门港务 |  47.0  | 17.8  | -3.8  |  -4.0   |  -6.1   |
| 航运港口 | 601872 | 招商轮船 | 481.6  |  9.2  | -4.3  |   5.5   |  -4.0   |
| 航运港口 | 601975 | 招商南油 | 170.8  | 41.3  | -10.0 |  -6.4   |  -20.5  |
| 航运港口 | 600026 | 中远海能 | 449.4  | 448.9 | -10.0 |  -4.7   |  -14.8  |
+----------+--------+----------+--------+-------+-------+---------+---------+
