[行业>三日涨幅]
+------------+--------+------------+-------+---------+------+---------+---------+
|    行业    |  代码  |    名称    | 市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+------------+--------+------------+-------+---------+------+---------+---------+
|  铁路公路  | 000755 |  山西路桥  | 65.7  |  17.1   | 10.1 |   9.5   |  12.8   |
|  钢铁行业  | 000629 |  攀钢钒钛  | 479.2 |  25.5   | 10.1 |  33.2   |  52.2   |
|  通用设备  | 001268 |  联合精密  | 43.8  |  46.3   | 10.0 |  33.1   |  110.8  |
|  通用设备  | 603969 |  银龙股份  | 40.6  |  35.8   | 10.0 |  14.4   |  12.3   |
|  通用设备  | 000816 |  智慧农业  | 74.6  |  273.9  | 9.9  |  12.5   |  16.8   |
|  通用设备  | 002896 |  中大力德  | 28.1  |  40.3   | 10.0 |   3.2   |   3.0   |
|  通用设备  | 003043 |  华亚智能  | 49.0  |  44.8   | 10.0 |   3.0   |  -2.0   |
|  通信设备  | 002902 |  铭普光磁  | 38.4  |  46.1   | 10.0 |  19.6   |  19.8   |
|  通信设备  | 003031 |  中瓷电子  | 169.0 |  118.5  | 10.0 |  13.8   |  25.2   |
|  软件开发  | 002362 |  汉王科技  | 36.4  |  -40.4  | 10.0 |   8.0   |   4.1   |
| 计算机设备 | 002577 |  雷柏科技  | 34.0  |  75.7   | 10.0 |   6.6   |   7.5   |
| 计算机设备 | 002512 |  达华智能  | 40.3  |  -26.2  | 10.0 |   5.7   |   9.3   |
|  装修装饰  | 605178 |  时空科技  | 26.0  |  -60.4  | 10.0 |  11.6   |  15.1   |
|  装修装饰  | 603929 |  亚翔集成  | 24.7  |  122.0  | 10.0 |   6.8   |   7.1   |
|  航天航空  | 300159 |   ST新研   | 31.0  |  -24.1  | 15.6 |  15.6   |   9.5   |
|  纺织服装  | 300840 |  酷特智能  | 26.9  |  37.2   | 20.0 |  23.5   |  21.1   |
|  纺织服装  | 002144 |  宏达高科  | 19.6  |  31.5   | 10.0 |  21.2   |  20.1   |
|  纺织服装  | 600630 |  龙头股份  | 30.7  |  -41.4  | 10.1 |  19.5   |  24.7   |
|  电网设备  | 002090 |  金智科技  | 47.9  |  144.5  | 10.0 |  33.1   |  28.7   |
|  电网设备  | 300880 |  迦南智能  | 31.2  |  48.8   | 9.8  |   8.7   |   6.6   |
| 电子化学品 | 300481 |  濮阳惠成  | 82.7  |  24.7   | 14.3 |  19.4   |  19.1   |
| 电子化学品 | 688359 |  三孚新科  | 40.7  | -171.2  | 15.5 |  10.5   |  10.5   |
|  电力行业  | 000899 |  赣能股份  | 112.5 | -2770.9 | 10.0 |  33.1   |  77.4   |
|  电力行业  | 001896 |  豫能控股  | 115.2 |  -6.2   | 10.1 |  11.4   |  16.5   |
|  消费电子  | 002885 |   京泉华   | 65.2  |  158.4  | 10.0 |  18.5   |   8.1   |
| 汽车零部件 | 300643 |  万通智控  | 39.9  |  30.1   | 12.6 |  16.8   |   6.7   |
| 汽车零部件 | 603348 |  文灿股份  | 168.2 |  53.0   | 10.0 |  15.2   |   7.3   |
| 汽车零部件 | 605333 |  沪光股份  | 101.6 |  360.1  | 10.0 |  11.6   |   6.4   |
| 汽车零部件 | 002553 |  南方精工  | 40.0  |  64.0   | 10.0 |  11.5   |  15.8   |
| 汽车零部件 | 603085 |  天成自控  | 34.8  |  65.5   | 10.1 |  10.8   |   4.4   |
| 汽车零部件 | 603239 |  浙江仙通  | 45.1  |  31.2   | 10.0 |  10.7   |  -1.4   |
| 汽车零部件 | 002813 |  路畅科技  | 34.7  | 1517.7  | 10.0 |   7.0   |  -2.6   |
|  汽车整车  | 000550 |  江铃汽车  | 161.3 |  20.8   | 10.0 |  16.3   |   5.3   |
|  橡胶制品  | 301233 |   N盛帮    | 29.4  |  50.0   | 37.6 |  37.6   |  37.6   |
|  有色金属  | 603978 |  深圳新星  | 46.2  |  38.4   | 10.0 |  28.1   |  24.6   |
|  有色金属  | 600255 |  鑫科材料  | 53.7  |  96.9   | 10.0 |  11.6   |  12.4   |
|  工程机械  | 002204 |  大连重工  | 123.6 |  44.2   | 10.0 |  33.1   |  38.2   |
|   小金属   | 000633 |  合金投资  | 32.0  |  338.9  | 10.1 |  12.4   |  10.2   |
|  家电行业  | 601956 |  东贝集团  | 36.6  |  28.2   | 10.1 |   7.8   |   5.4   |
|  家用轻工  | 002348 |  高乐股份  | 27.2  |  -13.6  | 10.0 |  33.5   |  27.6   |
|   半导体   | 001309 |   德明利   | 40.7  |  53.6   | 10.0 |  33.1   |  91.6   |
|   半导体   | 688206 |  概伦电子  | 148.7 |  790.8  | 20.0 |  10.8   |   9.1   |
|   半导体   | 603893 |   瑞芯微   | 445.4 |  132.3  | 10.0 |  10.5   |  27.1   |
|   半导体   | 688072 | 拓荆科技-U | 216.2 | -454.9  | 15.9 |   9.3   |  10.2   |
|   半导体   | 688012 |  中微公司  | 779.1 |  166.2  | 13.8 |   8.7   |   4.4   |
|  医药商业  | 002589 |  瑞康医药  | 64.4  |  37.7   | 10.0 |  10.9   |   8.1   |
|  医疗服务  | 002219 |  恒康医疗  | 144.6 | 3028.8  | 9.9  |  33.0   |  46.7   |
|  化学制药  | 603229 |  奥翔药业  | 185.7 |  65.6   | 10.0 |  18.4   |  38.5   |
|  化学制药  | 600062 |  华润双鹤  | 311.1 |  23.4   | 10.0 |  10.1   |  28.5   |
|  包装材料  | 002735 |  王子新材  | 54.4  |  33.3   | 10.0 |  23.7   |  23.1   |
|  农牧饲渔  | 600811 |  东方集团  | 114.2 |  244.1  | 9.9  |  12.2   |   4.3   |
| 光学光电子 | 002992 |  宝明科技  | 32.3  |  -32.2  | 10.0 |  17.6   |  20.9   |
|  仪器仪表  | 605056 |  咸亨国际  | 65.4  |  92.9   | 10.0 |  -2.1   |  13.9   |
|  交运设备  | 603129 |  春风动力  | 183.9 |  43.6   | 10.0 |   9.4   |   3.8   |
|  专用设备  | 688082 |  盛美上海  | 500.3 | 2901.4  | 11.2 |  18.4   |  18.2   |
|  专用设备  | 002031 |  巨轮智能  | 93.9  |  567.1  | 10.1 |  18.0   |  28.2   |
|  专用设备  | 688290 |  景业智能  | 46.6  |  516.1  | 20.0 |  16.9   |  12.3   |
|  专用设备  | 002979 |  雷赛智能  | 71.5  |  32.4   | 10.0 |  16.6   |   5.0   |
|  专用设备  | 688218 |  江苏北人  | 18.9  |  -95.9  | 20.0 |  15.7   |   7.8   |
|  专用设备  | 300802 |  矩子科技  | 56.7  |  62.6   | 20.0 |  15.5   |   7.8   |
|  专用设备  | 301199 |  迈赫股份  | 49.6  | -196.6  | 12.1 |   8.5   |  -2.5   |
|  专用设备  | 603011 |  合锻智能  | 35.9  |  35.1   | 10.0 |   7.1   |   2.1   |
|  专用设备  | 000584 |  哈工智能  | 59.4  |  -47.7  | 10.0 |  -4.3   |  18.7   |
+------------+--------+------------+-------+---------+------+---------+---------+
