[行业>市值]
+----------+--------+-------------+--------+---------+------+---------+---------+
|   行业   |  代码  |    名称     |  市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+-------------+--------+---------+------+---------+---------+
| 软件开发 | 002230 |  科大讯飞   | 1000.0 |  225.7  | -1.6 |   1.7   |   3.5   |
| 软件开发 | 688111 |  金山办公   | 828.6  |  82.6   | -1.8 |  -5.6   |  -8.6   |
| 软件开发 | 600588 |  用友网络   | 717.7  |  -45.6  | 0.2  |  -3.9   |  -6.2   |
| 软件开发 | 600570 |  恒生电子   | 637.2  | -385.8  | -2.0 |  -5.3   |  -1.5   |
| 软件开发 | 002410 |   广联达    | 635.8  |  146.1  | 0.0  |  -1.1   |  -6.3   |
| 软件开发 | 601360 |   三六零    | 579.5  |  65.3   | 0.0  |  -3.7   |  -4.5   |
| 软件开发 | 300033 |   同花顺    | 490.2  |  109.5  | -0.9 |  -3.8   |  -3.9   |
| 软件开发 | 300454 |   深信服    | 407.2  |  -19.7  | -1.8 |  -6.1   |  -4.8   |
| 软件开发 | 002268 |   卫士通    | 386.1  | -251.0  | 4.6  |  -0.1   |   5.4   |
| 软件开发 | 688561 |  奇安信-U   | 356.7  |  -18.6  | -0.9 |  -6.1   |  -5.6   |
| 软件开发 | 688777 |  中控技术   | 356.3  |  148.8  | -1.7 |  -0.5   |  -1.1   |
| 软件开发 | 002405 |  四维图新   | 335.6  |  711.9  | 4.4  |  -0.1   |  -7.2   |
| 软件开发 | 688188 |  柏楚电子   | 327.5  |  79.7   | -3.2 |   4.0   |   3.9   |
| 软件开发 | 002153 |  石基信息   | 302.1  |  246.0  | -2.8 |  -5.0   |  -12.1  |
| 软件开发 | 300803 |   指南针    | 223.4  |  20.9   | -3.0 |  -3.5   |  -6.5   |
| 软件开发 | 301236 |  软通动力   | 200.1  |  52.4   | -0.2 |  -4.2   |  -4.3   |
| 软件开发 | 002065 |  东华软件   | 192.6  |  40.5   | 0.0  |  -3.2   |  -5.2   |
| 软件开发 | 002439 |  启明星辰   | 190.3  |  -48.8  | -0.6 |   0.5   |   0.9   |
| 软件开发 | 300253 |  卫宁健康   | 184.5  |  145.2  | -1.3 |  -4.7   |  -3.0   |
| 软件开发 | 688083 |  中望软件   | 169.2  | -214.6  | 0.1  |  -1.8   |  -9.3   |
| 软件开发 | 688327 | 云从科技-UW | 167.8  |  -36.2  | -3.0 |  -3.7   |  -12.4  |
| 软件开发 | 300773 |   拉卡拉    | 143.4  |  14.1   | -0.2 |  -4.8   |  -4.4   |
| 软件开发 | 603927 |   中科软    | 135.0  |  468.2  | 0.3  |  -1.3   |  -2.4   |
| 软件开发 | 601519 |   大智慧    | 125.8  |  -67.0  | 0.2  |  -2.2   |  -3.6   |
| 软件开发 | 688232 |  新点软件   | 118.1  |  -81.3  | -0.1 |  -1.9   |  -6.9   |
| 软件开发 | 688023 |  安恒信息   | 114.2  |  -15.0  | -1.8 |  -5.3   |  -3.3   |
| 软件开发 | 002212 |   天融信    | 113.7  |  -43.9  | -0.7 |  -4.3   |  -6.0   |
| 软件开发 | 600728 |  佳都科技   | 112.9  |  76.2   | -1.2 |  -0.5   |  -0.5   |
| 软件开发 | 300188 |  美亚柏科   | 109.0  |  -47.2  | 0.4  |  -0.1   |   1.1   |
