[行业>三日涨幅]
+------------+--------+-------------+--------+--------+------+---------+---------+
|    行业    |  代码  |    名称     |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+------------+--------+-------------+--------+--------+------+---------+---------+
|  食品饮料  | 002597 |  金禾实业   | 250.7  |  14.2  | 3.7  |   3.2   |   5.8   |
|  食品饮料  | 002847 |  盐津铺子   | 121.0  |  49.3  | 4.0  |   3.0   |   9.0   |
|  食品饮料  | 600962 |  国投中鲁   |  31.0  | 184.2  | 4.0  |  -3.2   |  16.4   |
|  食品饮料  | 000529 |  广弘控股   |  41.5  |  20.8  | 4.4  |  -4.2   |   0.7   |
|  风电设备  | 300569 |  天能重工   |  95.7  |  90.6  | 3.6  |   5.6   |   5.4   |
|  风电设备  | 603063 |  禾望电气   | 169.4  |  63.2  | 5.0  |   3.2   |   4.3   |
|  风电设备  | 300772 |  运达股份   | 136.5  |  30.5  | 3.9  |   1.9   |   9.7   |
|  风电设备  | 688349 |  三一重能   | 491.9  |  20.6  | 4.9  |   1.0   |   8.7   |
| 非金属材料 | 300395 |   菲利华    | 258.1  |  71.4  | 5.9  |   3.7   |  13.0   |
| 非金属材料 | 300409 |  道氏技术   | 152.7  |  22.3  | 3.3  |   0.9   |   4.5   |
| 非金属材料 | 301071 |  力量钻石   | 203.3  |  50.2  | 4.8  |  -3.3   |  13.8   |
|  钢铁行业  | 000655 |  金岭矿业   |  46.1  |  28.3  | 4.9  |   8.5   |   8.2   |
|  钢铁行业  | 600399 |  抚顺特钢   | 380.0  | 111.2  | 3.7  |   3.4   |   8.7   |
|  采掘行业  | 603505 |  DR金石资   | 144.1  | 110.6  | 4.0  |   8.7   |  19.0   |
|  采掘行业  | 300191 |  潜能恒信   |  69.8  | 173.5  | 3.3  |  -1.1   |  -0.3   |
|  酿酒行业  | 600696 |  岩石股份   |  98.6  | 239.1  | 5.3  |  12.9   |   5.8   |
|  酿酒行业  | 600084 |  中葡股份   |  71.0  | -979.8 | 3.4  |   4.5   |   4.6   |
|  造纸印刷  | 002229 |  鸿博股份   |  34.4  | -67.2  | 4.7  |   3.8   |   4.4   |
|  造纸印刷  | 603733 |  仙鹤股份   | 190.5  |  32.6  | 3.5  |   2.4   |   2.4   |
|  造纸印刷  | 605377 |  华旺科技   |  61.6  |  13.7  | 5.0  |   2.2   |   3.3   |
|  造纸印刷  | 603863 |  松炀资源   |  19.0  | 226.9  | 5.3  |   0.9   |   6.7   |
|  通用设备  | 603969 |  银龙股份   |  42.0  |  37.1  | 3.5  |  17.6   |  18.5   |
|  通用设备  | 002896 |  中大力德   |  29.2  |  41.9  | 4.0  |  10.5   |  10.1   |
|  通用设备  | 002685 |  华东重机   |  41.4  |  42.1  | 5.4  |  10.5   |   9.3   |
|  通用设备  | 688697 |  纽威数控   |  52.9  |  25.0  | 3.6  |   8.1   |   6.0   |
|  通用设备  | 601177 |  杭齿前进   |  36.6  |  18.5  | 3.9  |   7.7   |   7.3   |
|  通用设备  | 603088 |  宁波精达   |  32.9  |  28.8  | 4.8  |   7.1   |   4.8   |
|  通用设备  | 300091 |   金通灵    |  65.5  | 687.4  | 4.8  |   3.8   |   7.1   |
|  通用设备  | 300780 |  德恩精工   |  23.1  |  21.6  | 3.1  |   2.9   |   1.9   |
|  通用设备  | 000530 |  冰山冷热   |  37.9  | -74.3  | 3.2  |   2.5   |  -7.6   |
|  通用设备  | 002520 |  日发精机   |  55.4  |  68.1  | 4.6  |   2.4   |   4.9   |
|  通用设备  | 002931 |  锋龙股份   |  21.9  |  33.0  | 4.9  |   2.3   |   2.8   |
|  通用设备  | 688355 |  明志科技   |  26.7  |  44.1  | 5.7  |   1.4   |   0.4   |
|  通用设备  | 002150 |  通润装备   |  24.0  |  19.7  | 3.1  |   1.2   |   3.1   |
|  通用设备  | 002046 |  国机精工   |  82.2  |  38.9  | 4.0  |   1.0   |  15.1   |
|  通用设备  | 600114 |  东睦股份   |  51.5  | 187.1  | 4.8  |   0.7   |   3.2   |
|  通用设备  | 300228 |  富瑞特装   |  37.2  | -42.7  | 3.9  |   0.6   |  -2.1   |
|  通用设备  | 002026 |  山东威达   |  54.4  |  21.2  | 4.2  |   0.6   |   0.8   |
|  通用设备  | 605123 |  派克新材   | 156.4  |  36.4  | 3.4  |   0.3   |   2.9   |
|  通用设备  | 300985 |  致远新能   |  37.4  | -231.7 | 3.4  |  -1.2   |  -4.4   |
|  通用设备  | 600481 |  双良节能   | 301.7  |  62.4  | 4.3  |  -1.4   |  14.8   |
|  通信设备  | 300620 |  光库科技   |  62.8  |  68.5  | 5.1  |  16.3   |  14.9   |
|  通信设备  | 003031 |  中瓷电子   | 174.6  | 122.4  | 3.3  |  15.5   |  35.1   |
|  通信设备  | 300762 |  上海瀚讯   |  84.4  | -103.8 | 3.7  |  12.5   |  20.0   |
|  通信设备  | 600734 |   ST实达    | 109.1  | -185.1 | 5.0  |  11.8   |  10.8   |
|  通信设备  | 002089 |   ST新海    |  34.9  | 371.2  | 4.5  |  10.4   |  13.4   |
|  通信设备  | 600462 |   ST九有    |  14.0  | -20.8  | 4.1  |   4.1   |   2.2   |
|  通信设备  | 688100 |  威胜信息   | 114.8  |  44.1  | 5.4  |   3.3   |   8.9   |
|  通信设备  | 002491 |  通鼎互联   |  64.3  |  26.2  | 4.9  |   2.8   |   0.6   |
|  通信设备  | 000851 |  高鸿股份   |  55.4  | 673.3  | 5.5  |   2.6   |  -0.2   |
|  通信设备  | 002413 |  雷科防务   |  76.3  |  73.2  | 5.0  |   2.0   |   2.5   |
|  通信设备  | 002897 |  意华股份   |  75.8  |  42.2  | 3.5  |   1.9   |   0.7   |
|  通信设备  | 000070 |  特发信息   |  57.5  | 203.0  | 4.3  |   1.6   |  -8.3   |
|  通信设备  | 600105 |  永鼎股份   |  51.8  |  90.2  | 3.7  |   1.4   |   1.1   |
|  通信设备  | 002104 |  恒宝股份   |  57.6  | -285.2 | 3.1  |   1.2   |   0.5   |
