[行业>市值]
+----------+--------+----------+-------+--------+------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+--------+------+---------+---------+
| 商业百货 | 601933 | 永辉超市 | 377.5 |  18.8  | -0.9 |   0.5   |  -2.8   |
| 商业百货 | 600415 | 小商品城 | 303.1 |  11.3  | -1.6 |  -6.0   |  -0.9   |
| 商业百货 | 000785 | 居然之家 | 269.0 |  13.3  | 0.0  |  -1.9   |  -7.4   |
| 商业百货 | 600859 | XD王府井 | 267.4 |  17.7  | 0.0  |  -2.6   |  -7.9   |
| 商业百货 | 601828 |  美凯龙  | 246.0 |  8.8   | 0.9  |  -1.2   |  -5.2   |
| 商业百货 | 600827 | 百联股份 | 213.9 |  34.4  | -0.2 |  -1.9   |  -8.2   |
| 商业百货 | 002024 |  ST易购  | 192.7 |  -4.7  | -1.4 |  -6.8   |  -9.6   |
| 商业百货 | 000564 |  ST大集  | 189.7 | 393.1  | -1.0 |  -2.0   |  -2.9   |
| 商业百货 | 301078 |  孩子王  | 165.7 | -127.7 | 2.9  |   8.6   |   3.9   |
| 商业百货 | 600682 | 南京新百 | 131.4 |  15.6  | 0.6  |  -1.2   |  -2.6   |
| 商业百货 | 002416 |  爱施德  | 117.1 |  14.6  | 1.1  |   3.3   |   1.6   |
| 商业百货 | 603123 | 翠微股份 | 99.6  |  38.0  | 0.3  |  -2.8   |  -6.7   |
| 商业百货 | 600729 | 重庆百货 | 91.2  |  5.5   | -1.0 |  -1.2   |   4.0   |
| 商业百货 | 002818 |  富森美  | 89.6  |  9.9   | -0.8 |  -2.0   |  -4.9   |
| 商业百货 | 000501 | 武商集团 | 82.3  |  11.7  | -0.3 |  -1.8   |  -3.6   |
| 商业百货 | 603708 |  家家悦  | 81.5  |  15.6  | -0.1 |  -3.5   |  -5.9   |
| 商业百货 | 002419 | 天虹股份 | 77.7  |  7.0   | -0.6 |  -2.9   |  -6.7   |
| 商业百货 | 600861 | 北京城乡 | 72.8  | -93.2  | 3.9  |  -0.2   |   5.5   |
| 商业百货 | 000058 |  深赛格  | 72.8  |  54.0  | -1.7 |   2.1   |  -2.5   |
| 商业百货 | 002697 | 红旗连锁 | 68.0  |  13.9  | -1.0 |  -0.2   |  -1.0   |
