[行业>市值]
+----------+--------+----------+-------+--------+------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+--------+------+---------+---------+
| 文化传媒 | 002027 | 分众传媒 | 959.0 |  25.8  | 2.0  |  -1.9   |  -1.3   |
| 文化传媒 | 300413 | 芒果超媒 | 594.7 |  29.3  | 2.0  |  -0.3   |  -4.3   |
| 文化传媒 | 002739 | 万达电影 | 273.7 | 152.1  | 0.3  |  -6.5   |  -10.1  |
| 文化传媒 | 300251 | 光线传媒 | 254.9 |  85.4  | -0.3 |  -3.0   |  -8.2   |
| 文化传媒 | 600637 | 东方明珠 | 234.9 |  32.7  | 0.4  |  -1.6   |  -3.8   |
| 文化传媒 | 600977 | 中国电影 | 205.4 |  44.3  | 0.9  |  -4.5   |  -4.3   |
| 文化传媒 | 601928 | 凤凰传媒 | 179.9 |  9.5   | 1.4  |   0.1   |  -1.1   |
| 文化传媒 | 601921 | 浙版传媒 | 168.2 |  33.8  | -0.1 |  -1.3   |  -2.7   |
| 文化传媒 | 601098 | 中南传媒 | 167.7 |  15.5  | 0.5  |  -0.9   |  -1.1   |
| 文化传媒 | 600959 | 江苏有线 | 160.5 |  43.6  | 0.6  |   0.0   |  -1.5   |
| 文化传媒 | 300058 | 蓝色光标 | 155.9 | 119.3  | 2.6  |   1.9   |  -4.1   |
| 文化传媒 | 600556 |  天下秀  | 141.0 |  37.8  | 1.2  |  -0.9   |  -5.0   |
| 文化传媒 | 000156 | 华数传媒 | 140.1 |  23.1  | 0.5  |  -2.2   |  -5.1   |
| 文化传媒 | 300182 | 捷成股份 | 132.6 |  11.4  | 0.4  |  -0.6   |  -6.4   |
| 文化传媒 | 601019 | 山东出版 | 131.1 |  15.4  | 0.2  |  -5.1   |  -3.2   |
| 文化传媒 | 600373 | 中文传媒 | 126.6 |  8.2   | -0.2 |  -4.5   |  -6.5   |
| 文化传媒 | 600037 | 歌华有线 | 124.8 |  31.9  | 0.6  |  -1.1   |  -4.0   |
| 文化传媒 | 603000 |  人民网  | 118.1 | -218.7 | 0.1  |  -0.6   |  -4.6   |
| 文化传媒 | 601811 | 新华文轩 | 108.7 |  16.1  | 0.5  |  -1.6   |  -3.6   |
| 文化传媒 | 605168 |  三人行  | 102.9 |  42.8  | 1.8  |   0.3   |  -6.2   |
| 文化传媒 | 300662 | 科锐国际 | 96.7  |  46.0  | -1.8 |   1.5   |  -5.3   |
| 文化传媒 | 601801 | 皖新传媒 | 93.3  |  7.7   | 0.0  |  -1.9   |  -2.9   |
| 文化传媒 | 000681 | 视觉中国 | 89.9  |  73.7  | 1.3  |  -2.4   |  -10.2  |
| 文化传媒 | 000665 | 湖北广电 | 89.7  | -22.0  | 2.5  |   0.8   |  -6.3   |
| 文化传媒 | 603103 | 横店影视 | 88.9  |  29.4  | -1.4 |  -10.3  |  -0.4   |
