[行业>市值]
+----------+--------+----------+--------+--------+-------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+-------+---------+---------+
| 电子元件 | 300124 | 汇川技术 | 1699.0 |  59.2  |  0.2  |  -0.4   |  -2.2   |
| 电子元件 | 002179 | 中航光电 | 1008.0 |  34.2  | -1.5  |  -1.8   |   0.2   |
| 电子元件 | 000733 | 振华科技 | 695.3  |  28.6  | -4.1  |  -3.4   |  -1.3   |
| 电子元件 | 600884 | 杉杉股份 | 689.4  |  21.4  | -5.0  |  -0.3   |   7.3   |
| 电子元件 | 002938 | 鹏鼎控股 | 684.5  |  28.9  |  0.9  |   3.0   |  -2.4   |
| 电子元件 | 300390 | 天华超净 | 549.3  |  9.0   | -1.1  |  -2.1   |   6.9   |
| 电子元件 | 300408 | 三环集团 | 535.7  |  26.9  |  0.7  |   0.8   |  -7.1   |
| 电子元件 | 002916 | 深南电路 | 473.2  |  34.0  |  0.6  |   2.1   |  -1.5   |
| 电子元件 | 600563 | 法拉电子 | 461.5  |  56.4  |  0.1  |  -0.7   |  -0.0   |
| 电子元件 | 002414 | 高德红外 | 417.5  |  33.5  |  0.4  |   0.7   |  -1.2   |
| 电子元件 | 600183 | 生益科技 | 384.9  |  19.9  |  0.0  |   0.1   |  -2.5   |
| 电子元件 | 002384 | 东山精密 | 372.1  |  25.5  | -0.3  |   0.7   |  -5.1   |
| 电子元件 | 002008 | 大族激光 | 331.8  |  24.9  |  0.0  |  -0.2   |  -4.8   |
| 电子元件 | 688778 | 厦钨新能 | 327.4  |  39.6  | -1.8  |   2.2   |  16.8   |
| 电子元件 | 002025 | 航天电器 | 315.3  |  49.7  | -3.6  |  -3.1   |  -0.2   |
| 电子元件 | 603267 | 鸿远电子 | 297.0  |  28.7  | -2.7  |  -3.2   |  -4.9   |
| 电子元件 | 688375 | 国博电子 | 255.2  |  63.6  |  0.0  |   0.0   |   0.0   |
| 电子元件 | 002463 | 沪电股份 | 250.9  |  25.1  | -0.8  |  -0.1   |  -10.4  |
| 电子元件 | 300726 | 宏达电子 | 245.0  |  34.9  | -1.9  |  -3.0   |  -2.8   |
| 电子元件 | 603678 | 火炬电子 | 237.1  |  30.6  |  0.3  |   0.8   |  10.2   |
| 电子元件 | 000988 | 华工科技 | 225.3  |  24.9  | -2.0  |  -2.1   |  -3.3   |
| 电子元件 | 000636 | 风华高科 | 211.3  |  29.3  | -1.5  |   1.7   |  -2.8   |
| 电子元件 | 002138 | 顺络电子 | 195.9  |  30.1  |  0.4  |  -0.9   |  -10.9  |
| 电子元件 | 603228 | 景旺电子 | 191.7  |  27.3  | -1.0  |  -0.6   |  -3.0   |
| 电子元件 | 002484 | 江海股份 | 190.8  |  40.6  | -0.6  |   3.2   |  -2.1   |
| 电子元件 | 002389 | 航天彩虹 | 176.9  | 127.4  | -2.4  |  -1.9   |  -3.4   |
| 电子元件 | 002436 | 兴森科技 | 171.7  |  21.4  | -0.2  |   6.4   |   2.4   |
| 电子元件 | 300747 | 锐科激光 | 166.5  | 199.1  | -4.0  |  -5.4   |  -1.9   |
| 电子元件 | 600478 |  科力远  | 162.8  | 128.9  | 10.0  |  14.6   |  18.5   |
| 电子元件 | 688322 | C奥比-UW | 144.9  | -59.5  | -15.8 |  16.9   |  16.9   |
| 电子元件 | 688800 |  瑞可达  | 142.6  |  63.9  | -5.2  |   6.0   |   4.5   |
| 电子元件 | 688776 | 国光电气 | 142.2  |  85.4  | -1.6  |   4.0   |   8.1   |
| 电子元件 | 300476 | 胜宏科技 | 141.3  |  17.5  |  1.0  |  -0.4   |  -10.9  |
| 电子元件 | 000062 | 深圳华强 | 126.8  |  14.4  |  0.2  |  -0.1   |  -4.6   |
| 电子元件 | 301217 | 铜冠铜箔 | 122.4  |  31.1  | -2.4  |  -0.8   |  -2.9   |
| 电子元件 | 002815 | 崇达技术 | 112.2  |  17.8  | -1.8  |   1.0   |  -1.5   |
| 电子元件 | 002859 | 洁美科技 | 103.3  |  80.5  | -1.9  |  -1.0   |  -8.5   |
| 电子元件 | 603989 | 艾华集团 | 102.5  |  22.3  | -0.8  |  -0.7   |  -9.3   |
| 电子元件 | 002913 |  奥士康  |  98.9  |  16.6  |  0.1  |   0.3   |  -3.0   |
| 电子元件 | 301150 | 中一科技 |  92.5  |  21.8  | -1.5  |   2.7   |  -0.2   |
| 电子元件 | 688183 | 生益电子 |  90.8  |  30.4  |  0.1  |   1.0   |  -0.2   |
| 电子元件 | 002724 |  海洋王  |  90.1  | 133.7  | -1.9  |  -2.5   |  -7.1   |
| 电子元件 | 603920 | 世运电路 |  85.0  |  45.0  |  0.9  |   1.7   |  -7.7   |
| 电子元件 | 300475 | 香农芯创 |  83.3  |  37.9  | -1.3  |  -1.2   |  -1.6   |
| 电子元件 | 603738 | 泰晶科技 |  80.0  |  27.2  |  0.3  |  -3.6   |  -8.4   |
| 电子元件 | 002214 | 大立科技 |  72.6  | 225.0  |  0.1  |  -2.8   |  -4.7   |
| 电子元件 | 600288 | 大恒科技 |  68.0  | -184.7 | -1.5  |   0.6   |   7.4   |
| 电子元件 | 603936 | 博敏电子 |  65.5  |  40.4  | -2.0  |  -0.5   |  -5.9   |
| 电子元件 | 002636 | 金安国纪 |  65.5  | 102.1  | -0.9  |  -1.2   |  -0.4   |
| 电子元件 | 603328 | 依顿电子 |  62.7  |  41.2  | -0.3  |   1.0   |  -1.1   |
| 电子元件 | 300657 | 弘信电子 |  62.0  | -43.2  |  0.6  |  17.0   |  13.6   |
| 电子元件 | 688519 | 南亚新材 |  61.6  |  21.7  |  0.4  |   1.3   |  -7.2   |
| 电子元件 | 002922 |  伊戈尔  |  60.5  |  43.3  |  1.2  |   7.3   |  12.4   |
| 电子元件 | 002141 | 贤丰控股 |  59.8  |  84.9  | -2.4  |  -2.8   |  -2.4   |
| 电子元件 | 002729 | 好利科技 |  57.9  | 208.8  | -2.0  |  -3.4   |  -10.3  |
| 电子元件 | 300903 | 科翔股份 |  54.8  |  74.0  |  0.6  |  -1.4   |  -3.7   |
| 电子元件 | 000823 | 超声电子 |  54.5  |  18.1  |  1.2  |   0.7   |  -1.8   |
| 电子元件 | 300656 | 民德电子 |  54.1  |  98.0  | -3.8  |   3.7   |  -2.1   |
| 电子元件 | 688053 |  N思科   |  53.8  |  71.2  | -3.1  |  -3.1   |  -3.1   |
