[行业>市值]
+------+--------+----------+--------+---------+-------+---------+---------+
| 行业 |  代码  |   名称   |  市值  |   pe    | 涨幅  | 3日涨幅 | 6日涨幅 |
+------+--------+----------+--------+---------+-------+---------+---------+
| 电池 | 002812 | 恩捷股份 | 2159.0 |  58.9   | -3.8  |  -5.5   |  -3.4   |
| 电池 | 300014 | 亿纬锂能 | 1956.0 |  93.8   | -0.8  |   9.3   |   5.8   |
| 电池 | 603659 |  璞泰来  | 1172.0 |  46.0   | -3.2  |  -3.5   |  -0.1   |
| 电池 | 300450 | 先导智能 | 932.9  |  67.3   | -5.6  |  -4.8   |  -5.6   |
| 电池 | 300919 | 中伟股份 | 853.5  |  83.8   |  5.1  |   7.7   |  13.0   |
| 电池 | 002074 | 国轩高科 | 744.5  |  577.9  | -10.0 |  -2.9   |  -1.9   |
| 电池 | 688063 | 派能科技 | 622.8  |  153.7  | -5.6  |  12.2   |  28.8   |
| 电池 | 300207 |  欣旺达  | 530.9  |  139.8  | -6.4  |   1.9   |  -2.0   |
| 电池 | 300073 | 当升科技 | 529.5  |  34.2   | -3.4  |  -0.4   |  15.7   |
| 电池 | 002192 | 融捷股份 | 440.6  |  43.4   | -1.9  |  -1.8   |  10.4   |
| 电池 | 688779 | 长远锂科 | 405.7  |  33.4   | -6.9  |  -9.0   |   5.2   |
| 电池 | 002850 |  科达利  | 396.0  |  58.5   | -5.0  |   6.6   |   6.9   |
| 电池 | 300037 |  新宙邦  | 380.1  |  18.6   | -5.3  |  -6.5   |  -2.6   |
| 电池 | 300568 | 星源材质 | 368.5  |  55.0   | -5.0  |   5.1   |   9.8   |
| 电池 | 688819 | 天能股份 | 344.8  |  19.7   | -1.3  |  -0.5   |   2.6   |
| 电池 | 688772 | 珠海冠宇 | 340.0  |  167.0  | -4.0  |  -3.2   |  -1.3   |
| 电池 | 688707 | 振华新材 | 332.1  |  24.2   | -6.2  |  -4.2   |  -0.9   |
| 电池 | 300438 | 鹏辉能源 | 316.4  |  87.3   | -8.4  |   2.9   |  13.9   |
| 电池 | 688567 | 孚能科技 | 298.2  |  -30.5  | -3.8  |   1.1   |  -2.0   |
| 电池 | 688006 | 杭可科技 | 281.6  |  75.2   | -4.2  |  -0.6   |  -0.7   |
| 电池 | 002245 | 蔚蓝锂芯 | 219.1  |  27.4   |  4.4  |  -1.0   |  -8.9   |
| 电池 | 600110 | XD诺德股 | 208.6  |  41.1   | -3.1  |   0.3   |   3.5   |
| 电池 | 688388 | 嘉元科技 | 199.4  |  28.6   | -4.9  |  -0.7   |   0.3   |
| 电池 | 300457 | 赢合科技 | 186.8  |  72.4   | -1.8  |   3.3   |   1.2   |
| 电池 | 000049 | 德赛电池 | 140.4  |  22.8   | -2.4  |   0.2   |   3.7   |
| 电池 | 300068 | 南都电源 | 138.5  |   7.2   | -4.6  |  -1.4   |   4.4   |
| 电池 | 601311 | 骆驼股份 | 130.3  |  23.2   | -3.9  |  -1.5   |  -0.2   |
| 电池 | 688339 | 亿华通-U |  97.7  | -104.1  | -5.3  |   0.4   |  -0.6   |
| 电池 | 688148 | 芳源股份 |  97.5  | -1073.8 | -3.1  |  -5.9   |  -4.6   |
| 电池 | 300116 |  保力新  |  89.8  | -111.3  | -2.4  |   1.5   |   0.5   |
| 电池 | 688345 |  博力威  |  67.5  |  66.4   | -4.8  |   0.5   |   9.7   |
| 电池 | 002733 | 雄韬股份 |  66.8  |  142.6  | -2.8  |  -7.7   |  -0.1   |
| 电池 | 300648 | 星云股份 |  59.8  |  -46.7  | -5.3  |  -1.0   |  -0.3   |
| 电池 | 300890 |  翔丰华  |  58.4  |  39.8   | -4.0  |  -0.6   |   5.5   |
| 电池 | 002580 | 圣阳股份 |  39.5  |  45.9   | -3.3  |  -0.7   |   3.5   |
| 电池 | 300340 | 科恒股份 |  33.9  |  53.7   | -3.3  |  -3.5   |   4.2   |
| 电池 | 600847 | 万里股份 |  30.8  |  -69.5  | -1.1  |   0.7   |  13.7   |
| 电池 | 301222 | 浙江恒威 |  30.6  |  38.0   |  2.1  |   1.0   |  -1.9   |
| 电池 | 605378 | 野马电池 |  29.6  |  276.0  | -1.6  |   1.2   |   1.6   |
| 电池 | 300750 | 宁德时代 |  0.0   |  221.1  | -1.6  |   3.3   |   1.3   |
+------+--------+----------+--------+---------+-------+---------+---------+
 




 [行业>单日涨幅]
+------+--------+----------+--------+---------+-------+---------+---------+
| 行业 |  代码  |   名称   |  市值  |   pe    | 涨幅  | 3日涨幅 | 6日涨幅 |
+------+--------+----------+--------+---------+-------+---------+---------+
| 电池 | 300919 | 中伟股份 | 853.5  |  83.8   |  5.1  |   7.7   |  13.0   |
| 电池 | 002245 | 蔚蓝锂芯 | 219.1  |  27.4   |  4.4  |  -1.0   |  -8.9   |
| 电池 | 301222 | 浙江恒威 |  30.6  |  38.0   |  2.1  |   1.0   |  -1.9   |
| 电池 | 300014 | 亿纬锂能 | 1956.0 |  93.8   | -0.8  |   9.3   |   5.8   |
| 电池 | 600847 | 万里股份 |  30.8  |  -69.5  | -1.1  |   0.7   |  13.7   |
| 电池 | 688819 | 天能股份 | 344.8  |  19.7   | -1.3  |  -0.5   |   2.6   |
| 电池 | 605378 | 野马电池 |  29.6  |  276.0  | -1.6  |   1.2   |   1.6   |
| 电池 | 300750 | 宁德时代 |  0.0   |  221.1  | -1.6  |   3.3   |   1.3   |
| 电池 | 300457 | 赢合科技 | 186.8  |  72.4   | -1.8  |   3.3   |   1.2   |
| 电池 | 002192 | 融捷股份 | 440.6  |  43.4   | -1.9  |  -1.8   |  10.4   |
| 电池 | 000049 | 德赛电池 | 140.4  |  22.8   | -2.4  |   0.2   |   3.7   |
| 电池 | 300116 |  保力新  |  89.8  | -111.3  | -2.4  |   1.5   |   0.5   |
| 电池 | 002733 | 雄韬股份 |  66.8  |  142.6  | -2.8  |  -7.7   |  -0.1   |
| 电池 | 600110 | XD诺德股 | 208.6  |  41.1   | -3.1  |   0.3   |   3.5   |
| 电池 | 688148 | 芳源股份 |  97.5  | -1073.8 | -3.1  |  -5.9   |  -4.6   |
| 电池 | 603659 |  璞泰来  | 1172.0 |  46.0   | -3.2  |  -3.5   |  -0.1   |
| 电池 | 002580 | 圣阳股份 |  39.5  |  45.9   | -3.3  |  -0.7   |   3.5   |
| 电池 | 300340 | 科恒股份 |  33.9  |  53.7   | -3.3  |  -3.5   |   4.2   |
| 电池 | 300073 | 当升科技 | 529.5  |  34.2   | -3.4  |  -0.4   |  15.7   |
| 电池 | 002812 | 恩捷股份 | 2159.0 |  58.9   | -3.8  |  -5.5   |  -3.4   |
| 电池 | 688567 | 孚能科技 | 298.2  |  -30.5  | -3.8  |   1.1   |  -2.0   |
| 电池 | 601311 | 骆驼股份 | 130.3  |  23.2   | -3.9  |  -1.5   |  -0.2   |
| 电池 | 300890 |  翔丰华  |  58.4  |  39.8   | -4.0  |  -0.6   |   5.5   |
| 电池 | 688772 | 珠海冠宇 | 340.0  |  167.0  | -4.0  |  -3.2   |  -1.3   |
| 电池 | 688006 | 杭可科技 | 281.6  |  75.2   | -4.2  |  -0.6   |  -0.7   |
| 电池 | 300068 | 南都电源 | 138.5  |   7.2   | -4.6  |  -1.4   |   4.4   |
| 电池 | 688345 |  博力威  |  67.5  |  66.4   | -4.8  |   0.5   |   9.7   |
| 电池 | 688388 | 嘉元科技 | 199.4  |  28.6   | -4.9  |  -0.7   |   0.3   |
| 电池 | 300568 | 星源材质 | 368.5  |  55.0   | -5.0  |   5.1   |   9.8   |
| 电池 | 002850 |  科达利  | 396.0  |  58.5   | -5.0  |   6.6   |   6.9   |
| 电池 | 300648 | 星云股份 |  59.8  |  -46.7  | -5.3  |  -1.0   |  -0.3   |
| 电池 | 688339 | 亿华通-U |  97.7  | -104.1  | -5.3  |   0.4   |  -0.6   |
| 电池 | 300037 |  新宙邦  | 380.1  |  18.6   | -5.3  |  -6.5   |  -2.6   |
| 电池 | 688063 | 派能科技 | 622.8  |  153.7  | -5.6  |  12.2   |  28.8   |
| 电池 | 300450 | 先导智能 | 932.9  |  67.3   | -5.6  |  -4.8   |  -5.6   |
| 电池 | 688707 | 振华新材 | 332.1  |  24.2   | -6.2  |  -4.2   |  -0.9   |
| 电池 | 300207 |  欣旺达  | 530.9  |  139.8  | -6.4  |   1.9   |  -2.0   |
| 电池 | 688779 | 长远锂科 | 405.7  |  33.4   | -6.9  |  -9.0   |   5.2   |
| 电池 | 300438 | 鹏辉能源 | 316.4  |  87.3   | -8.4  |   2.9   |  13.9   |
| 电池 | 002074 | 国轩高科 | 744.5  |  577.9  | -10.0 |  -2.9   |  -1.9   |
+------+--------+----------+--------+---------+-------+---------+---------+
