[行业>市值]
+----------+--------+----------+-------+---------+-------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe    | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+---------+-------+---------+---------+
| 纺织服装 | 300979 | 华利集团 | 806.2 |  31.1   | -1.6  |  -4.5   |  -5.5   |
| 纺织服装 | 600177 |  雅戈尔  | 312.9 |   3.7   | -0.3  |  -1.3   |   2.0   |
| 纺织服装 | 600398 | 海澜之家 | 204.7 |   7.1   | -0.6  |  -3.9   |  -0.2   |
| 纺织服装 | 002291 |  星期六  | 188.6 |  54.4   |  0.2  |   7.0   |   4.8   |
| 纺织服装 | 002563 | 森马服饰 | 157.9 |  18.9   |  0.0  |  -3.3   |  -1.0   |
| 纺织服装 | 601718 | 际华集团 | 144.0 |  33.8   |  4.1  |   1.9   |   5.8   |
| 纺织服装 | 002832 | 比音勒芬 | 139.4 |  16.4   |  0.4  |  -1.7   |  -1.9   |
| 纺织服装 | 600400 | 红豆股份 | 123.0 |  102.9  | -9.9  |  -2.2   |   2.3   |
| 纺织服装 | 002612 | 朗姿股份 | 115.8 | -1291.8 |  0.3  |  -3.9   |  -7.4   |
| 纺织服装 | 603055 | 台华新材 | 113.2 |  24.7   | -1.4  |   4.5   |   3.7   |
| 纺织服装 | 002003 | 伟星股份 | 106.0 |  40.6   |  0.2  |   1.3   |   7.6   |
| 纺织服装 | 002293 | 罗莱生活 | 101.8 |  16.0   |  1.1  |  -3.6   |  -3.4   |
| 纺织服装 | 603877 |  太平鸟  | 99.2  |  13.0   | -2.4  |  -5.1   |   2.8   |
| 纺织服装 | 000982 | 中银绒业 | 93.8  | -464.7  | -2.2  |  -1.8   |  -1.4   |
| 纺织服装 | 601339 | 百隆东方 | 83.0  |   6.0   | -0.7  |   2.8   |   8.9   |
| 纺织服装 | 603665 |  康隆达  | 81.7  |  110.1  | -4.2  |  -1.2   |  -1.0   |
| 纺织服装 | 603587 | 地素时尚 | 75.3  |  12.5   |  0.0  |  -1.6   |  -1.2   |
| 纺织服装 | 603511 | 爱慕股份 | 71.0  |  13.7   | -1.9  |  -1.4   |   1.6   |
| 纺织服装 | 300005 |  探路者  | 69.5  |  211.2  |  0.8  |  -1.8   |  -6.9   |
| 纺织服装 | 605138 | 盛泰集团 | 68.4  |  27.8   | -0.2  |  -2.7   |  -1.3   |
| 纺织服装 | 000726 |  鲁泰Ａ   | 67.4  |  10.6   |  1.2  |  -0.1   |   6.2   |
| 纺织服装 | 002327 |  富安娜  | 66.4  |  15.8   |  0.9  |   0.2   |   0.8   |
| 纺织服装 | 002042 | 华孚时尚 | 65.1  |  10.8   |  1.3  |  -0.3   |   1.3   |
| 纺织服装 | 603555 |  贵人鸟  | 64.8  |  635.7  | -0.5  |  -1.2   |   4.6   |
| 纺织服装 | 002154 |  报喜鸟  | 63.6  |   7.7   | -1.6  |  -4.8   |   0.9   |
| 纺织服装 | 603908 |  牧高笛  | 62.4  |  42.4   | -1.7  |   0.4   |  -1.7   |
| 纺织服装 | 605080 | 浙江自然 | 59.5  |  17.5   | -1.1  |  -6.4   |  -7.3   |
| 纺织服装 | 600220 | 江苏阳光 | 58.3  |  86.2   | -1.5  |  -3.8   |   9.7   |
| 纺织服装 | 600987 | 航民股份 | 56.0  |  12.1   |  0.0  |  -0.6   |   0.0   |
| 纺织服装 | 601566 |  九牧王  | 50.7  |  -22.1  | -3.1  |   2.3   |   4.4   |
| 纺织服装 | 603558 | 健盛集团 | 49.4  |  15.0   |  2.5  |   1.5   |   6.1   |
| 纺织服装 | 002269 | 美邦服饰 | 48.0  |  -7.7   |  0.0  |  -0.5   |   1.1   |
| 纺织服装 | 301088 | 戎美股份 | 42.8  |  22.3   | -0.8  |  -1.5   |   0.5   |
| 纺织服装 | 002029 |  七匹狼  | 42.3  |  23.4   |  1.6  |   1.6   |   4.1   |
| 纺织服装 | 002083 | 孚日股份 | 40.8  |  19.2   | 10.0  |   6.7   |   5.3   |
| 纺织服装 | 002503 |  搜于特  | 40.6  |  -8.0   |  0.0  |  -2.2   |  -1.5   |
| 纺织服装 | 603365 | 水星家纺 | 40.2  |  11.9   |  0.1  |  -2.8   |   0.7   |
| 纺织服装 | 300577 | 开润股份 | 40.1  |  21.6   |  1.3  |   2.6   |   2.9   |
| 纺织服装 | 003016 | 欣贺股份 | 37.0  |  14.9   |  0.5  |  -0.5   |   2.0   |
| 纺织服装 | 000850 | 华茂股份 | 36.4  |  -5.8   | -1.3  |   0.0   |   2.7   |
| 纺织服装 | 603808 |  歌力思  | 35.5  |  18.9   | -0.8  |  -2.1   |  -0.5   |
| 纺织服装 | 300918 | 南山智尚 | 34.6  |  30.6   |  2.2  |   0.1   |  12.4   |
| 纺织服装 | 603889 | 新澳股份 | 34.1  |  11.5   |  0.9  |  -2.6   |   5.5   |
| 纺织服装 | 002404 | 嘉欣丝绸 | 33.8  |  30.8   |  0.0  |  -0.3   |   1.7   |
| 纺织服装 | 002674 | 兴业科技 | 33.5  |  215.4  |  0.1  |  -2.4   |  -6.2   |
| 纺织服装 | 002397 | 梦洁股份 | 33.4  |  -90.7  |  0.2  |   1.4   |   1.1   |
| 纺织服装 | 301108 | 洁雅股份 | 32.9  |  17.3   |  6.8  |   4.3   |   2.4   |
| 纺织服装 | 002763 | 汇洁股份 | 30.8  |   8.9   |  0.4  |  -0.7   |   0.1   |
| 纺织服装 | 603116 |  红蜻蜓  | 30.8  |  55.9   |  0.2  |   0.4   |  -2.0   |
| 纺织服装 | 603001 | 奥康国际 | 30.1  |  64.4   |  0.8  |  -1.1   |   1.2   |
| 纺织服装 | 605055 | 迎丰股份 | 29.7  |  93.0   | -0.7  |  -1.0   |   0.9   |
| 纺织服装 | 600735 |  新华锦  | 29.1  |  65.3   |  0.3  |  -0.9   |   5.6   |
| 纺织服装 | 002762 | 金发拉比 | 28.8  |  116.8  |  0.2  |  -0.1   |  -2.9   |
| 纺织服装 | 603518 | 锦泓集团 | 28.5  |  17.3   | -0.1  |   0.0   |   2.2   |
| 纺织服装 | 001234 |  泰慕士  | 28.3  |  27.2   | -1.6  |  -2.8   |  -1.9   |
| 纺织服装 | 603839 | 安正时尚 | 28.2  |  33.1   |  0.4  |   0.0   |   0.4   |
| 纺织服装 | 002087 | 新野纺织 | 27.9  |  67.3   |  0.9  |   1.2   |   3.0   |
| 纺织服装 | 600630 | 龙头股份 | 27.6  |  -37.2  | -1.2  |  -1.1   |   8.7   |
| 纺织服装 | 300952 | 恒辉安防 | 27.6  |  56.0   |  4.4  |   4.4   |   9.4   |
| 纺织服装 | 301066 |  万事利  | 26.1  |  230.0  |  0.1  |  -4.4   |  -3.0   |
| 纺织服装 | 300840 | 酷特智能 | 25.6  |  35.4   | -2.2  |  14.3   |  17.8   |
| 纺织服装 | 605003 | 众望布艺 | 24.9  |  16.2   | -0.4  |  -1.4   |  -0.7   |
| 纺织服装 | 002722 | 金轮股份 | 24.8  |  17.0   |  0.8  |  -0.1   |   2.7   |
| 纺织服装 | 600448 | 华纺股份 | 24.8  |  405.3  | -0.5  |   0.0   |   5.1   |
| 纺织服装 | 605189 | 富春染织 | 24.7  |  23.6   | -0.1  |  -2.9   |  -1.5   |
| 纺织服装 | 002486 |  嘉麟杰  | 24.5  |  284.5  |  0.0  |  -3.3   |   0.7   |
| 纺织服装 | 002394 | 联发股份 | 24.4  |  49.4   |  0.9  |   1.5   |   3.3   |
| 纺织服装 | 605180 | 华生科技 | 24.3  |  28.7   |  2.2  |   4.5   |   7.5   |
| 纺织服装 | 300591 |  万里马  | 23.9  |  361.4  |  4.8  |   3.7   |   1.9   |
