[行业>市值]
+----------+--------+----------+-------+---------+-------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |   pe    | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+---------+-------+---------+---------+
| 通用设备 | 000039 | 中集集团 | 488.2 |   7.2   |  0.7  |  -1.6   |  -1.9   |
| 通用设备 | 301029 |  怡合达  | 336.2 |  83.2   |  2.5  |   2.9   |   3.5   |
| 通用设备 | 600482 | 中国动力 | 334.0 |  124.2  | -0.3  |  -2.3   |  -1.6   |
| 通用设备 | 600481 | 双良节能 | 300.7 |  62.2   | -0.3  |   0.5   |   9.7   |
| 通用设备 | 688017 | 绿的谐波 | 239.1 |  163.7  |  1.2  |   3.3   |  19.2   |
| 通用设备 | 301268 |  铭利达  | 220.0 |  97.2   |  7.8  |  30.3   |  43.2   |
| 通用设备 | 002747 |  埃斯顿  | 205.1 |  85.4   |  1.5  |   1.6   |  -3.7   |
| 通用设备 | 002444 | 巨星科技 | 204.7 |  28.0   | -2.6  |  -5.6   |  -5.0   |
| 通用设备 | 601369 | 陕鼓动力 | 159.4 |  14.3   | -1.5  |  -1.9   |  -3.9   |
| 通用设备 | 300024 |  机器人  | 157.8 |  -67.6  |  0.2  |   4.4   |   1.0   |
| 通用设备 | 688333 |  铂力特  | 153.5 | -118.4  | -0.8  |  -0.6   |   4.0   |
| 通用设备 | 605123 | 派克新材 | 150.1 |  34.9   | -4.0  |   0.1   |  -1.2   |
| 通用设备 | 300257 | 开山股份 | 150.1 |  35.7   | -0.5  |   0.0   |   1.0   |
| 通用设备 | 300953 | 震裕科技 | 136.8 |  61.0   |  0.2  |  11.1   |   7.3   |
| 通用设备 | 300260 | 新莱应材 | 133.9 |  41.9   | -3.7  |  16.8   |  16.3   |
| 通用设备 | 603915 | 国茂股份 | 128.8 |  49.8   | -1.0  |  -3.4   |  -7.4   |
| 通用设备 | 300080 | 易成新能 | 123.2 |  113.9  | -6.9  |  -7.2   |  13.6   |
| 通用设备 | 603985 | 恒润股份 | 121.1 |  239.7  | -5.4  |  -2.6   |  -2.4   |
| 通用设备 | 002158 | 汉钟精机 | 118.4 |  32.5   | -1.9  |  -1.2   |  -4.8   |
