[行业>三日涨幅]
+--------------+--------+----------+-------+---------+------+---------+---------+
|     行业     |  代码  |   名称   | 市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+--------------+--------+----------+-------+---------+------+---------+---------+
|   食品饮料   | 002216 | 三全食品 | 186.7 |  17.9   | 10.0 |   4.8   |   8.4   |
|   铁路公路   | 000755 | 山西路桥 | 79.5  |  20.7   | 9.9  |  33.2   |  29.7   |
|   造纸印刷   | 002012 | 凯恩股份 | 29.4  |  52.0   | 10.0 |  19.6   |  18.0   |
|   通用设备   | 003043 | 华亚智能 | 59.3  |  54.2   | 10.0 |  33.1   |  24.5   |
|   通用设备   | 002514 | 宝馨科技 | 54.1  |  242.6  | 10.0 |   8.9   |   8.6   |
|   通信服务   | 300513 | 恒实科技 | 39.7  | -329.8  | 11.4 |  17.7   |  21.4   |
|   贸易行业   | 603003 | 龙宇燃油 | 31.7  |  35.4   | 10.1 |   7.8   |   5.9   |
|   装修装饰   | 002047 | 宝鹰股份 | 61.7  |  -34.0  | 10.0 |   9.7   |   2.0   |
|   装修建材   | 002333 | 罗普斯金 | 42.4  | -384.7  | 10.0 |  21.5   |  22.0   |
|   装修建材   | 002066 | 瑞泰科技 | 30.1  |  53.5   | 10.0 |  14.2   |  14.8   |
|   纺织服装   | 002083 | 孚日股份 | 40.8  |  19.2   | 10.0 |   6.7   |   5.3   |
|   电网设备   | 002090 | 金智科技 | 58.0  |  174.9  | 10.0 |  33.1   |  60.8   |
|   电网设备   | 300882 | 万胜智能 | 36.0  |  116.6  | 20.0 |  25.7   |  24.0   |
|   电网设备   | 002606 | 大连电瓷 | 47.0  |  20.2   | 10.0 |  18.1   |  19.2   |
|   电网设备   | 000533 | 顺钠股份 | 28.9  |  162.2  | 10.0 |  15.4   |  15.4   |
|   电网设备   | 600192 | 长城电工 | 25.3  |  -35.0  | 10.0 |  11.7   |  10.4   |
|   电网设备   | 002339 | 积成电子 | 31.7  |  -30.9  | 9.9  |  11.1   |  11.3   |
|     电机     | 003021 | 兆威机电 | 86.5  |  95.3   | 10.0 |  12.4   |   5.5   |
|     电机     | 603988 | 中电电机 | 27.9  |  52.0   | 10.0 |  10.9   |   8.6   |
|   电子元件   | 002869 | 金溢科技 | 30.0  |  -45.7  | 10.0 |  14.8   |  10.3   |
|   电子元件   | 600478 |  科力远  | 162.8 |  128.9  | 10.0 |  14.6   |  18.5   |
|   电子元件   | 605258 | 协和电子 | 22.0  |  58.4   | 10.0 |   8.6   |   4.7   |
|   电力行业   | 000899 | 赣能股份 | 136.1 | -3352.5 | 10.0 |  33.1   |  77.3   |
|   电力行业   | 000539 | 粤电力Ａ  | 260.4 |  -14.5  | 10.0 |  12.2   |  18.1   |
|   电力行业   | 000600 | 建投能源 | 104.5 |  37.5   | 10.0 |  10.6   |  38.1   |
|   电力行业   | 000722 | 湖南发展 | 71.8  |  44.6   | 10.0 |  10.4   |   9.3   |
|   物流行业   | 605050 |  福然德  | 60.2  |  21.4   | 10.0 |   9.5   |  -1.4   |
|   物流行业   | 603329 | 上海雅仕 | 27.2  |  11.8   | 10.0 |   5.2   |   5.2   |
|     游戏     | 300031 | 宝通科技 | 70.0  |  25.4   | 10.3 |   9.9   |   6.1   |
|   消费电子   | 002547 | 春兴精工 | 51.0  |  76.3   | 10.0 |  18.0   |   6.9   |
