[行业>三日涨幅]
+--------------+--------+----------+--------+---------+------+---------+---------+
|     行业     |  代码  |   名称   |  市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+--------------+--------+----------+--------+---------+------+---------+---------+
|   食品饮料   | 002481 | 双塔食品 | 103.9  |  50.5   | 4.1  |   3.0   |  -1.5   |
|   食品饮料   | 600381 | 青海春天 |  73.3  |  -77.8  | 5.0  |   2.3   |  -0.5   |
|   食品饮料   | 300175 | 朗源股份 |  18.9  | -429.4  | 3.9  |   1.8   |   0.5   |
|   食品饮料   | 300791 | 仙乐健康 |  55.8  |  95.3   | 3.1  |   0.1   |  -0.8   |
|   食品饮料   | 002719 |  麦趣尔  |  12.3  |  79.6   | 3.2  |  -2.1   |  -11.7  |
|  非金属材料  | 300743 | 天地数码 |  16.1  |  54.4   | 3.4  |   1.8   |   0.7   |
|   采掘行业   | 300084 | 海默科技 |  17.4  |  -16.3  | 3.2  |   0.9   |  -2.0   |
|   酿酒行业   | 000995 | *ST皇台  |  31.9  |  506.2  | 5.0  |   5.2   |   3.9   |
|   酿酒行业   | 600702 | 舍得酒业 | 654.1  |  30.8   | 5.9  |   0.3   |  -3.4   |
|   酿酒行业   | 002568 | 百润股份 | 320.3  |  87.3   | 3.6  |  -4.2   |   1.5   |
|   造纸印刷   | 000695 | 滨海能源 |  20.9  |  -36.3  | 4.7  |   6.5   |  -6.1   |
|   通用设备   | 300420 | 五洋停车 |  34.8  |  113.0  | 4.7  |   8.0   |   9.9   |
|   通用设备   | 603090 | 宏盛股份 |  28.4  |  257.4  | 3.6  |   7.2   |   5.6   |
|   通用设备   | 600114 | 东睦股份 |  53.7  |  194.9  | 4.2  |   7.0   |   9.2   |
|   通用设备   | 688165 | 埃夫特-U |  51.8  |  -38.5  | 5.0  |   6.9   |  -0.7   |
|   通用设备   | 300470 | 中密控股 |  78.0  |  31.6   | 4.7  |   6.7   |   6.2   |
|   通用设备   | 603339 | 四方科技 |  37.9  |  19.7   | 5.1  |   6.2   |   7.1   |
|   通用设备   | 300126 | 锐奇股份 |  19.0  |  341.3  | 4.2  |   4.9   |   3.0   |
|   通用设备   | 300985 | 致远新能 |  38.6  | -239.1  | 3.2  |   4.8   |   0.8   |
|   通用设备   | 688360 | 德马科技 |  23.4  |  34.8   | 3.1  |   3.0   |   2.5   |
|   通用设备   | 300943 | 春晖智控 |  31.0  |  64.3   | 3.2  |   2.4   |  -3.3   |
|   通信设备   | 000851 | 高鸿股份 |  58.0  |  704.4  | 4.6  |   8.5   |   4.4   |
|   通信设备   | 002491 | 通鼎互联 |  66.8  |  27.2   | 3.9  |   8.5   |   3.3   |
|   通信设备   | 002902 | 铭普光磁 |  37.3  |  44.8   | 5.7  |   6.9   |  27.9   |
|   通信设备   | 300548 | 博创科技 |  50.3  |  35.0   | 4.6  |   6.8   |   7.9   |
|   通信设备   | 688311 | 盟升电子 |  71.1  | -143.1  | 5.0  |   6.6   |   2.9   |
|   通信设备   | 688080 |  映翰通  |  21.1  |  269.0  | 4.1  |   6.1   |   0.6   |
|   通信设备   | 002897 | 意华股份 |  78.4  |  43.6   | 3.3  |   5.0   |   4.1   |
|   通信设备   | 688027 | 国盾量子 |  80.8  | -103.0  | 4.1  |   4.4   |  -0.0   |
|   通信设备   | 300504 | 天邑股份 |  48.7  |  17.3   | 3.4  |   3.7   |   0.3   |
|   通信设备   | 300711 | 广哈通信 |  24.4  | -155.1  | 3.8  |   3.3   |   1.3   |
|   通信设备   | 300205 | 天喻信息 |  52.6  | 1418.8  | 3.5  |   3.0   |   1.3   |
