[行业>市值]
+----------+--------+----------+-------+-------+-------+---------+---------+
|   行业   |  代码  |   名称   | 市值  |  pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+-------+-------+-------+---------+---------+
| 农药兽药 | 600486 | 扬农化工 | 382.4 | 10.6  | -1.8  |  -2.9   |  -6.9   |
| 农药兽药 | 000553 | 安道麦A  | 265.1 | 15.5  | -4.0  |  -3.7   |  -10.0  |
| 农药兽药 | 600596 | 新安股份 | 243.7 |  5.0  | -1.6  |  -6.7   |  -9.2   |
| 农药兽药 | 301035 | 润丰股份 | 204.8 | 13.2  | -1.1  |  -3.6   |  -7.6   |
| 农药兽药 | 603599 | 广信股份 | 180.3 |  7.9  | -3.4  |  -3.2   |  -4.9   |
| 农药兽药 | 600389 | 江山股份 | 173.4 |  6.7  | -10.0 |  -6.0   |  -10.2  |
| 农药兽药 | 002258 | 利尔化学 | 168.8 |  8.1  | -2.2  |  -2.7   |  -6.2   |
| 农药兽药 | 002250 | 联化科技 | 149.8 | 50.5  | -2.5  |  -2.8   |  -1.5   |
| 农药兽药 | 300261 | 雅本化学 | 142.3 | 50.9  |  4.0  |   1.2   |   3.4   |
| 农药兽药 | 600195 | 中牧股份 | 127.5 | 23.8  | -0.3  |  -1.9   |   1.5   |
| 农药兽药 | 688526 | 科前生物 | 119.9 | 33.0  | -0.2  |  -0.1   |  -1.0   |
| 农药兽药 | 600201 | 生物股份 | 106.1 | 32.8  |  1.9  |   1.0   |   2.5   |
| 农药兽药 | 002004 | 华邦健康 | 106.1 | 15.7  | -1.1  |  -1.1   |  -3.1   |
| 农药兽药 | 603566 |  普莱柯  | 85.4  | 56.9  |  0.6  |  -0.4   |  -1.9   |
| 农药兽药 | 300119 | 瑞普生物 | 84.2  | 29.1  |  1.4  |  -0.1   |   1.0   |
| 农药兽药 | 000525 | ST红太阳 | 79.4  |  6.5  | -5.0  |   1.5   |  -7.0   |
| 农药兽药 | 603718 | 海利生物 | 75.1  | 177.2 |  1.0  |   1.0   |   1.7   |
| 农药兽药 | 600226 |  ST瀚叶  | 71.7  |  5.4  |  3.1  |   8.0   |   9.0   |
| 农药兽药 | 603639 |  海利尔  | 68.3  | 12.0  | -2.1  |  -3.5   |  -4.8   |
| 农药兽药 | 603970 | 中农立华 | 63.1  | 35.5  |  2.0  |   3.1   |  -0.7   |
| 农药兽药 | 002215 |  诺普信  | 56.2  |  8.5  |  0.2  |   1.1   |   0.9   |
| 农药兽药 | 300575 | 中旗股份 | 56.0  | 12.9  | -5.6  |  -9.2   |  -10.6  |
| 农药兽药 | 600796 | 钱江生化 | 49.6  | 34.9  |  0.0  |   1.6   |   4.0   |
| 农药兽药 | 002391 | 长青股份 | 45.9  | 14.3  | -1.7  |  -0.3   |  -1.1   |
| 农药兽药 | 002749 | 国光股份 | 43.7  | 26.7  | -1.2  |  -1.1   |  -0.3   |
