[行业>市值]
+----------+--------+----------+--------+--------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+------+---------+---------+
| 工程建设 | 601668 | 中国建筑 | 2286.0 |  4.4   | 1.1  |   1.9   |  -0.4   |
| 工程建设 | 601390 | 中国中铁 | 1601.0 |  5.3   | 3.0  |   4.7   |   3.0   |
| 工程建设 | 601800 | 中国交建 | 1434.0 |  7.0   | 0.3  |  -0.2   |  -4.0   |
| 工程建设 | 601669 | 中国电建 | 1151.0 |  10.4  | 0.4  |   1.1   |  -3.3   |
| 工程建设 | 601186 | 中国铁建 | 1082.0 |  4.8   | 1.1  |   1.5   |   0.4   |
| 工程建设 | 601868 | 中国能建 | 975.6  |  25.4  | 0.0  |   0.0   |  -1.7   |
| 工程建设 | 601618 | 中国中冶 | 717.0  |  6.7   | -0.9 |  -0.3   |  -2.0   |
| 工程建设 | 601117 | 中国化学 | 628.7  |  16.1  | 0.9  |   0.0   |   6.8   |
| 工程建设 | 600039 | 四川路桥 | 513.6  |  8.2   | -0.3 |   1.1   |  -1.4   |
| 工程建设 | 002761 | 浙江建投 | 317.9  |  24.2  | 2.1  |   2.6   |  -3.7   |
| 工程建设 | 600170 | 上海建工 | 266.2  | -37.2  | 0.0  |   0.3   |  -1.3   |
| 工程建设 | 601611 | 中国核建 | 235.5  |  13.9  | 0.5  |   3.2   |   5.8   |
| 工程建设 | 600970 | 中材国际 | 225.9  |  11.8  | 1.4  |   6.1   |   4.1   |
| 工程建设 | 600248 | 陕西建工 | 192.9  |  6.3   | 0.2  |   1.0   |  -4.6   |
| 工程建设 | 600820 | 隧道股份 | 187.4  |  15.8  | 1.5  |   1.5   |  -2.1   |
| 工程建设 | 603098 | 森特股份 | 178.3  | 108.2  | -2.7 |  -1.9   |  -7.0   |
| 工程建设 | 000498 | 山东路桥 | 168.2  |  17.8  | 7.5  |  10.0   |   9.4   |
| 工程建设 | 601068 | 中铝国际 | 125.5  | 171.6  | -1.9 |  -0.5   |  -4.3   |
| 工程建设 | 600502 | 安徽建工 | 123.2  |  9.9   | 1.0  |   2.0   |  -0.8   |
| 工程建设 | 002061 | 浙江交科 | 119.1  |  8.2   | 0.6  |   1.4   |  -5.2   |
| 工程建设 | 000090 | 天健集团 | 110.2  |  3.0   | -1.2 |  -1.5   |  -10.7  |
| 工程建设 | 300712 | 永福股份 | 109.3  | 162.0  | -3.9 |   2.8   |   4.2   |
| 工程建设 | 002051 | 中工国际 | 108.3  |  36.4  | 2.2  |   3.1   |  -0.1   |
| 工程建设 | 002135 | 东南网架 | 102.9  |  15.1  | -1.3 |  -0.2   |  -7.3   |
| 工程建设 | 600491 | 龙元建设 | 102.0  |  15.0  | -1.2 |   2.6   |  -0.5   |
| 工程建设 | 002060 |  粤水电  | 100.4  |  53.3  | -0.2 |   3.9   |  -2.0   |
| 工程建设 | 002941 | 新疆交建 |  97.3  | 628.0  | 2.2  |   2.4   |  -2.7   |
| 工程建设 | 301058 | 中粮工科 |  89.4  |  78.2  | 7.2  |   7.7   |   1.0   |
| 工程建设 | 002307 | 北新路桥 |  89.3  | 260.7  | 0.4  |   8.1   |  15.8   |
| 工程建设 | 000065 | 北方国际 |  81.8  |  19.5  | 0.1  |  -1.8   |  -4.5   |
| 工程建设 | 600939 | 重庆建工 |  81.6  |  22.5  | 1.4  |   1.7   |  -0.5   |
| 工程建设 | 002062 | 宏润建设 |  81.0  |  19.7  | 5.0  |   8.4   |   4.5   |
| 工程建设 | 600284 | 浦东建设 |  68.6  |  11.0  | 1.4  |   1.3   |  -4.5   |
| 工程建设 | 300982 | 苏文电能 |  63.8  |  37.8  | 3.7  |   7.0   |   1.8   |
| 工程建设 | 000628 | 高新发展 |  62.0  | 134.6  | 0.6  |   3.8   |   3.5   |
| 工程建设 | 601789 | 宁波建工 |  58.0  |  14.1  | -0.4 |  -1.3   |  -4.3   |
| 工程建设 | 002140 | 东华科技 |  55.6  |  20.8  | -4.3 |   0.2   |  -0.6   |
| 工程建设 | 002542 | 中化岩土 |  54.5  | -83.5  | 3.1  |   4.5   |   5.2   |
| 工程建设 | 603815 | 交建股份 |  52.3  |  41.1  | 1.8  |   1.7   |  -3.8   |
| 工程建设 | 002586 | *ST围海  |  50.7  | -69.2  | -1.1 |  -0.2   |  -5.1   |
| 工程建设 | 600512 | 腾达建设 |  49.4  |  -7.2  | -0.6 |  -0.3   |  -1.9   |
| 工程建设 | 300536 | 农尚环境 |  49.4  | 331.1  | -2.2 |  -3.8   |   2.9   |
| 工程建设 | 600846 | 同济科技 |  49.3  |  22.0  | -0.8 |   0.0   |   0.9   |
| 工程建设 | 002431 | 棕榈股份 |  48.8  |  -6.5  | 0.3  |   2.8   |  -1.5   |
| 工程建设 | 600133 | 东湖高新 |  45.6  |  37.9  | 0.2  |   0.0   |  -2.9   |
| 工程建设 | 603176 | 汇通集团 |  42.3  | -29.7  | -0.9 |   0.3   |  -4.0   |
| 工程建设 | 002374 | 中锐股份 |  42.2  |  83.0  | -1.3 |  -1.8   |  -4.0   |
| 工程建设 | 000010 | 美丽生态 |  38.4  | 486.3  | -4.0 |  -1.4   |  -6.2   |
| 工程建设 | 301038 | 深水规院 |  36.3  | -18.7  | 3.4  |   3.3   |   1.6   |
| 工程建设 | 300237 | 美晨生态 |  36.2  |  -8.3  | 0.8  |   4.2   |   0.8   |
