[行业>市值]
+----------+--------+------------+--------+---------+------+---------+---------+
|   行业   |  代码  |    名称    |  市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+------------+--------+---------+------+---------+---------+
| 生物制品 | 300122 |  智飞生物  | 1817.0 |  23.6   | 1.2  |   0.2   |  -0.3   |
| 生物制品 | 688235 | 百济神州-U | 1412.0 |  -12.3  | -1.6 |  -6.2   |   4.8   |
| 生物制品 | 000661 |  长春高新  | 889.6  |  19.5   | -1.4 |  -2.0   |  -4.0   |
| 生物制品 | 300142 |  沃森生物  | 757.5  |  490.4  | -1.1 |  -3.6   |  -2.6   |
| 生物制品 | 688180 | 君实生物-U | 669.2  |  -42.2  | 1.4  |  -1.8   |  -0.9   |
| 生物制品 | 300601 |  康泰生物  | 491.2  |  44.9   | 0.1  |  -1.6   |  -1.8   |
| 生物制品 | 688185 |   康希诺   | 445.1  |  91.7   | -1.7 |  -4.5   |  -8.0   |
| 生物制品 | 002007 |  华兰生物  | 407.7  |  43.6   | -1.8 |  -4.7   |  -3.5   |
| 生物制品 | 002252 |  上海莱士  | 404.4  |  18.4   | -0.8 |   1.0   |   1.3   |
| 生物制品 | 600161 |  天坛生物  | 353.5  |  70.6   | 2.5  |   3.7   |   7.5   |
| 生物制品 | 688331 |  荣昌生物  | 296.4  |  -25.8  | 0.5  |   1.6   |  12.9   |
| 生物制品 | 300357 |  我武生物  | 273.5  |  74.5   | -2.2 |   2.3   |   3.9   |
| 生物制品 | 603087 |  甘李药业  | 268.4  |  59.2   | 0.5  |  -0.5   |   1.6   |
| 生物制品 | 688276 |  百克生物  | 253.1  |  365.4  | -1.1 |  -6.2   |  -10.2  |
| 生物制品 | 688520 | 神州细胞-U | 244.1  |  -42.6  | -0.5 |  -1.1   |   7.8   |
| 生物制品 | 301207 |  华兰疫苗  | 223.0  | -6558.4 | -4.8 |  -7.6   |  -10.3  |
| 生物制品 | 688739 |  成大生物  | 206.7  |  34.2   | -0.9 |  -1.6   |  -2.6   |
| 生物制品 | 600867 |  通化东宝  | 203.8  |   6.1   | -0.4 |  -1.6   |  -1.5   |
| 生物制品 | 300294 |  博雅生物  | 173.5  |  41.9   | -0.5 |  -1.5   |  -2.8   |
| 生物制品 | 301047 |  义翘神州  | 170.4  |  37.3   | -0.9 |   2.3   |   2.9   |
| 生物制品 | 300009 |  安科生物  | 163.7  |  23.7   | -0.9 |  -2.2   |  -1.1   |
| 生物制品 | 000403 |  派林生物  | 160.7  |  38.0   | -0.9 |   0.6   |   0.5   |
| 生物制品 | 300841 |  康华生物  | 139.8  |  25.8   | -1.1 |  -8.4   |  -10.5  |
