[行业>市值]
+------+--------+----------+--------+--------+------+---------+---------+
| 行业 |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+------+--------+----------+--------+--------+------+---------+---------+
| 证券 | 600030 | 中信证券 | 2994.0 |  14.3  | -2.3 |  -3.4   |  -5.3   |
| 证券 | 601066 | 中信建投 | 2094.0 |  34.0  | -2.4 |  -3.0   |  -5.1   |
| 证券 | 601995 | 中金公司 | 2049.0 |  30.9  | -3.0 |  -3.3   |  -2.6   |
| 证券 | 601211 | 国泰君安 | 1348.0 |  13.4  | -0.2 |   1.1   |   0.3   |
| 证券 | 000776 | 广发证券 | 1317.0 |  25.3  | -0.9 |  -1.6   |  -6.5   |
| 证券 | 600837 | 海通证券 | 1240.0 |  20.7  | -1.4 |  -0.6   |  -2.4   |
| 证券 | 601688 | 华泰证券 | 1234.0 |  13.9  | -0.7 |  -1.5   |  -3.1   |
| 证券 | 600999 | 招商证券 | 1207.0 |  20.3  | -0.4 |  -1.0   |  -2.7   |
| 证券 | 000166 | 申万宏源 | 1037.0 |  24.2  | -0.7 |  -0.7   |  -2.4   |
| 证券 | 601881 | 中国银河 | 940.7  |  15.1  | -0.2 |  -1.4   |  -2.8   |
| 证券 | 002736 | 国信证券 | 888.2  |  28.9  | -0.2 |  -1.0   |  -2.4   |
| 证券 | 600958 | 东方证券 | 785.1  |  86.0  | -0.5 |  -2.9   |  -8.0   |
| 证券 | 601788 | 光大证券 | 695.3  |  26.1  | 0.3  |  -3.5   |  -1.9   |
| 证券 | 601901 | 方正证券 | 541.7  |  28.4  | -0.5 |  -2.8   |  -1.2   |
| 证券 | 600918 | 中泰证券 | 507.3  |  57.7  | -0.7 |  -1.6   |  -3.6   |
| 证券 | 601377 | 兴业证券 | 448.7  |  71.8  | -1.0 |  -1.9   |  -3.7   |
| 证券 | 601236 | 红塔证券 | 423.1  | -14.7  | 0.0  |  -2.4   |  -2.4   |
| 证券 | 601878 | 浙商证券 | 417.7  |  32.3  | -0.6 |  -1.6   |  -4.0   |
| 证券 | 002945 | 华林证券 | 409.9  |  69.1  | 0.3  |  -5.8   |   0.1   |
| 证券 | 600061 | 国投资本 | 391.3  | 153.7  | -0.7 |  -0.8   |  -3.0   |
| 证券 | 601696 | 中银证券 | 355.9  |  37.0  | -1.0 |  -1.3   |  -3.0   |
| 证券 | 601108 | 财通证券 | 351.1  |  55.9  | -0.4 |  -0.5   |  -2.5   |
| 证券 | 601555 | 东吴证券 | 333.5  |  73.3  | -0.8 |  -0.9   |  -2.1   |
| 证券 | 600109 | 国金证券 | 322.5  |  64.8  | -0.5 |  -0.9   |  -2.0   |
| 证券 | 601456 | 国联证券 | 322.0  |  42.6  | -1.0 |  -1.3   |  -4.5   |
| 证券 | 000783 | 长江证券 | 305.3  | 162.9  | -1.4 |  -0.9   |  -0.7   |
| 证券 | 002939 | 长城证券 | 297.6  | -95.1  | -0.7 |  -3.5   |  -4.5   |
| 证券 | 601990 | 南京证券 | 297.5  |  59.4  | -0.5 |  -1.3   |  -1.7   |
| 证券 | 002673 | 西部证券 | 284.7  | -422.5 | -0.3 |  -0.6   |  -1.6   |
| 证券 | 601198 | 东兴证券 | 274.8  | 228.0  | -0.5 |  -0.9   |  -2.5   |
| 证券 | 600906 | 财达证券 | 271.9  |  88.2  | -0.5 |  -2.2   |  -4.9   |
| 证券 | 601162 | 天风证券 | 265.2  | -78.6  | -0.7 |  -1.3   |  -2.5   |
| 证券 | 000728 | 国元证券 | 261.4  | -54.4  | -0.2 |  -0.7   |  -2.0   |
| 证券 | 002797 | 第一创业 | 260.1  |  90.5  | 0.3  |   0.0   |  -4.2   |
| 证券 | 600369 | 西南证券 | 255.2  | -49.7  | -0.5 |  -0.5   |  -1.8   |
| 证券 | 600095 | 湘财股份 | 214.4  | -86.3  | 2.6  |   1.9   |  -0.8   |
| 证券 | 600909 | 华安证券 | 205.3  |  48.2  | -0.2 |  -0.7   |  -2.7   |
| 证券 | 002926 | 华西证券 | 196.9  | -29.0  | -0.4 |  -1.4   |  -3.0   |
| 证券 | 601099 |  太平洋  | 196.3  | 531.0  | -0.7 |  -0.3   |  -2.4   |
| 证券 | 002500 | 山西证券 | 196.0  |  75.3  | 0.2  |  -0.7   |  -2.7   |
| 证券 | 000750 | 国海证券 | 190.0  |  90.9  | -0.8 |  -1.1   |  -3.3   |
| 证券 | 601375 | 中原证券 | 187.1  | 253.8  | -1.0 |  -0.7   |  -2.2   |
| 证券 | 002670 | 国盛金控 | 185.8  | -119.8 | 0.0  |   0.0   |   0.0   |
| 证券 | 000686 | 东北证券 | 156.1  | -15.1  | -0.7 |  -0.9   |  -3.0   |
| 证券 | 600155 | 华创阳安 | 140.9  | 129.9  | -0.2 |  -0.1   |  -2.3   |
| 证券 | 600621 | 华鑫股份 | 137.7  |  42.7  | 1.0  |   2.0   |  -0.8   |
| 证券 | 000712 | 锦龙股份 | 131.1  | -15.6  | -0.5 |  -0.2   |  -1.1   |
| 证券 | 600864 | 哈投股份 | 103.8  |  -5.4  | 0.4  |   4.0   |   0.8   |
+------+--------+----------+--------+--------+------+---------+---------+
 




 [行业>单日涨幅]
+------+--------+----------+--------+--------+------+---------+---------+
| 行业 |  代码  |   名称   |  市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+------+--------+----------+--------+--------+------+---------+---------+
| 证券 | 600095 | 湘财股份 | 214.4  | -86.3  | 2.6  |   1.9   |  -0.8   |
| 证券 | 600621 | 华鑫股份 | 137.7  |  42.7  | 1.0  |   2.0   |  -0.8   |
| 证券 | 600864 | 哈投股份 | 103.8  |  -5.4  | 0.4  |   4.0   |   0.8   |
| 证券 | 601788 | 光大证券 | 695.3  |  26.1  | 0.3  |  -3.5   |  -1.9   |
| 证券 | 002797 | 第一创业 | 260.1  |  90.5  | 0.3  |   0.0   |  -4.2   |
| 证券 | 002945 | 华林证券 | 409.9  |  69.1  | 0.3  |  -5.8   |   0.1   |
| 证券 | 002500 | 山西证券 | 196.0  |  75.3  | 0.2  |  -0.7   |  -2.7   |
| 证券 | 601236 | 红塔证券 | 423.1  | -14.7  | 0.0  |  -2.4   |  -2.4   |
| 证券 | 002670 | 国盛金控 | 185.8  | -119.8 | 0.0  |   0.0   |   0.0   |
| 证券 | 000728 | 国元证券 | 261.4  | -54.4  | -0.2 |  -0.7   |  -2.0   |
| 证券 | 601211 | 国泰君安 | 1348.0 |  13.4  | -0.2 |   1.1   |   0.3   |
| 证券 | 601881 | 中国银河 | 940.7  |  15.1  | -0.2 |  -1.4   |  -2.8   |
| 证券 | 002736 | 国信证券 | 888.2  |  28.9  | -0.2 |  -1.0   |  -2.4   |
| 证券 | 600909 | 华安证券 | 205.3  |  48.2  | -0.2 |  -0.7   |  -2.7   |
| 证券 | 600155 | 华创阳安 | 140.9  | 129.9  | -0.2 |  -0.1   |  -2.3   |
| 证券 | 002673 | 西部证券 | 284.7  | -422.5 | -0.3 |  -0.6   |  -1.6   |
| 证券 | 601108 | 财通证券 | 351.1  |  55.9  | -0.4 |  -0.5   |  -2.5   |
| 证券 | 002926 | 华西证券 | 196.9  | -29.0  | -0.4 |  -1.4   |  -3.0   |
| 证券 | 600999 | 招商证券 | 1207.0 |  20.3  | -0.4 |  -1.0   |  -2.7   |
| 证券 | 601901 | 方正证券 | 541.7  |  28.4  | -0.5 |  -2.8   |  -1.2   |
| 证券 | 600109 | 国金证券 | 322.5  |  64.8  | -0.5 |  -0.9   |  -2.0   |
| 证券 | 601198 | 东兴证券 | 274.8  | 228.0  | -0.5 |  -0.9   |  -2.5   |
| 证券 | 600906 | 财达证券 | 271.9  |  88.2  | -0.5 |  -2.2   |  -4.9   |
| 证券 | 601990 | 南京证券 | 297.5  |  59.4  | -0.5 |  -1.3   |  -1.7   |
| 证券 | 600369 | 西南证券 | 255.2  | -49.7  | -0.5 |  -0.5   |  -1.8   |
| 证券 | 600958 | 东方证券 | 785.1  |  86.0  | -0.5 |  -2.9   |  -8.0   |
| 证券 | 000712 | 锦龙股份 | 131.1  | -15.6  | -0.5 |  -0.2   |  -1.1   |
| 证券 | 601878 | 浙商证券 | 417.7  |  32.3  | -0.6 |  -1.6   |  -4.0   |
| 证券 | 600061 | 国投资本 | 391.3  | 153.7  | -0.7 |  -0.8   |  -3.0   |
| 证券 | 601162 | 天风证券 | 265.2  | -78.6  | -0.7 |  -1.3   |  -2.5   |
| 证券 | 600918 | 中泰证券 | 507.3  |  57.7  | -0.7 |  -1.6   |  -3.6   |
| 证券 | 601099 |  太平洋  | 196.3  | 531.0  | -0.7 |  -0.3   |  -2.4   |
| 证券 | 000166 | 申万宏源 | 1037.0 |  24.2  | -0.7 |  -0.7   |  -2.4   |
| 证券 | 002939 | 长城证券 | 297.6  | -95.1  | -0.7 |  -3.5   |  -4.5   |
| 证券 | 601688 | 华泰证券 | 1234.0 |  13.9  | -0.7 |  -1.5   |  -3.1   |
| 证券 | 000686 | 东北证券 | 156.1  | -15.1  | -0.7 |  -0.9   |  -3.0   |
| 证券 | 601555 | 东吴证券 | 333.5  |  73.3  | -0.8 |  -0.9   |  -2.1   |
| 证券 | 000750 | 国海证券 | 190.0  |  90.9  | -0.8 |  -1.1   |  -3.3   |
| 证券 | 000776 | 广发证券 | 1317.0 |  25.3  | -0.9 |  -1.6   |  -6.5   |
| 证券 | 601375 | 中原证券 | 187.1  | 253.8  | -1.0 |  -0.7   |  -2.2   |
| 证券 | 601696 | 中银证券 | 355.9  |  37.0  | -1.0 |  -1.3   |  -3.0   |
| 证券 | 601377 | 兴业证券 | 448.7  |  71.8  | -1.0 |  -1.9   |  -3.7   |
| 证券 | 601456 | 国联证券 | 322.0  |  42.6  | -1.0 |  -1.3   |  -4.5   |
| 证券 | 600837 | 海通证券 | 1240.0 |  20.7  | -1.4 |  -0.6   |  -2.4   |
| 证券 | 000783 | 长江证券 | 305.3  | 162.9  | -1.4 |  -0.9   |  -0.7   |
| 证券 | 600030 | 中信证券 | 2994.0 |  14.3  | -2.3 |  -3.4   |  -5.3   |
| 证券 | 601066 | 中信建投 | 2094.0 |  34.0  | -2.4 |  -3.0   |  -5.1   |
| 证券 | 601995 | 中金公司 | 2049.0 |  30.9  | -3.0 |  -3.3   |  -2.6   |
+------+--------+----------+--------+--------+------+---------+---------+
