[行业>市值]
+----------+--------+----------+--------+--------+-------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+-------+---------+---------+
| 通信设备 | 000063 | 中兴通讯 | 1167.0 |  13.2  | -0.1  |  -0.1   |  -2.4   |
| 通信设备 | 600522 | 中天科技 | 799.0  |  19.7  | -4.8  |  -2.2   |   0.2   |
| 通信设备 | 300628 | 亿联网络 | 648.5  |  33.3  | -0.8  |  -4.1   |  -1.6   |
| 通信设备 | 600487 | 亨通光电 | 363.1  |  26.4  | -3.9  |   3.7   |   9.2   |
| 通信设备 | 603236 | 移远通信 | 243.1  |  49.2  | -2.8  |  -4.1   |   0.8   |
| 通信设备 | 601869 | 长飞光纤 | 241.6  |  29.7  | -2.6  |   6.7   |   7.1   |
| 通信设备 | 300308 | 中际旭创 | 240.5  |  27.7  |  0.2  |  -0.7   |  -3.0   |
| 通信设备 | 603712 |  七一二  | 231.9  | 269.8  | -2.8  |  -3.1   |  -4.1   |
| 通信设备 | 002465 | 海格通信 | 201.9  |  96.7  | -1.5  |  -1.5   |  -2.9   |
| 通信设备 | 300627 | 华测导航 | 183.7  |  68.8  | -0.9  |  -1.7   |   4.2   |
| 通信设备 | 600562 | 国睿科技 | 182.7  |  53.0  | -2.7  |   1.4   |  -0.4   |
| 通信设备 | 000547 | 航天发展 | 180.6  |  31.3  | -3.8  |  -9.3   |  -4.2   |
| 通信设备 | 000032 | 深桑达Ａ  | 168.2  | -32.8  | -2.7  |   0.5   |  -1.7   |
| 通信设备 | 003031 | 中瓷电子 | 167.5  | 117.4  | -6.5  |  -0.9   |  12.7   |
| 通信设备 | 600498 | 烽火通信 | 167.4  | 126.3  | -3.0  |  -0.1   |  -1.8   |
| 通信设备 | 002151 | 北斗星通 | 155.8  |  85.0  | -2.5  |  -2.2   |  -3.8   |
| 通信设备 | 300638 |  广和通  | 148.5  |  35.5  | -3.6  |   0.0   |  -8.8   |
| 通信设备 | 600435 | 北方导航 | 134.8  |  95.3  |  0.4  |  -1.0   |   0.9   |
| 通信设备 | 002396 | 星网锐捷 | 127.9  |  26.6  | -1.8  |  -0.2   |  -2.6   |
| 通信设备 | 600776 | 东方通信 | 127.2  | 579.3  | -2.8  |  -1.4   |  -5.5   |
| 通信设备 | 002281 | 光迅科技 | 121.5  |  21.2  |  2.4  |   3.0   |   0.3   |
| 通信设备 | 300502 |  新易盛  | 115.6  |  21.8  | -3.6  |  -6.2   |  -10.8  |
| 通信设备 | 300101 | 振芯科技 | 112.8  |  41.7  | -1.6  |   1.2   |   0.9   |
| 通信设备 | 688100 | 威胜信息 | 109.8  |  42.1  | -3.8  |   0.7   |   2.6   |
| 通信设备 | 600734 |  ST实达  | 106.7  | -181.0 | -5.0  |   2.7   |  11.4   |
| 通信设备 | 300394 | 天孚通信 |  92.9  |  28.0  | -1.7  |  -3.1   |  -10.6  |
| 通信设备 | 003040 |  楚天龙  |  88.1  |  54.0  | -2.8  |  -1.6   |  -7.2   |
| 通信设备 | 002583 |  海能达  |  86.3  | -29.3  | -1.0  |   1.9   |   0.0   |
| 通信设备 | 600775 | 南京熊猫 |  85.4  | -126.0 | -2.4  |   1.7   |  -2.5   |
| 通信设备 | 300762 | 上海瀚讯 |  83.7  | -102.9 | -0.5  |   2.9   |  20.7   |
| 通信设备 | 300065 |  海兰信  |  79.8  | -68.6  | -2.5  |  -2.5   |  -4.2   |
| 通信设备 | 688027 | 国盾量子 |  78.6  | -100.2 | -2.8  |   0.2   |  -1.8   |
| 通信设备 | 002897 | 意华股份 |  77.8  |  43.3  | -0.7  |   6.1   |  -0.4   |
| 通信设备 | 002413 | 雷科防务 |  75.8  |  72.6  | -2.8  |   4.2   |   0.7   |
| 通信设备 | 002491 | 通鼎互联 |  69.1  |  28.2  |  3.5  |  12.8   |  10.5   |
| 通信设备 | 688311 | 盟升电子 |  69.0  | -138.9 | -2.9  |   5.3   |   0.6   |
| 通信设备 | 002446 | 盛路通信 |  66.1  |  26.6  | -0.8  |   2.0   |   4.5   |
| 通信设备 | 600990 | 四创电子 |  65.7  | -20.9  | -2.2  |  -0.3   |  -2.0   |
| 通信设备 | 002194 | 武汉凡谷 |  65.4  |  15.1  | -4.4  |  -3.7   |  -5.2   |
| 通信设备 | 688668 | 鼎通科技 |  65.2  |  50.6  |  2.9  |   2.3   |   4.4   |
