[行业>三日涨幅]
+------------+--------+-------------+--------+---------+------+---------+---------+
|    行业    |  代码  |    名称     |  市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+------------+--------+-------------+--------+---------+------+---------+---------+
|  食品饮料  | 000972 |   *ST中基   |  22.4  | -112.1  | 4.3  |   6.6   |   8.2   |
|  食品饮料  | 600191 |   *ST华资   |  24.6  |  -17.9  | 5.0  |   4.8   |  -1.7   |
|  风电设备  | 688349 |  三一重能   | 512.3  |  21.5   | 4.6  |   9.2   |   4.7   |
|  风电设备  | 300772 |  运达股份   | 142.6  |  31.9   | 5.5  |   8.6   |   7.1   |
|  风电设备  | 300443 |  金雷股份   | 123.3  |  66.9   | 4.6  |  -0.1   |   5.1   |
|  风电设备  | 002487 |  大金重工   | 242.2  |  97.2   | 5.5  |  -0.2   |   4.9   |
|  铁路公路  | 600106 |  重庆路桥   |  58.5  |  96.8   | 3.0  |   5.0   |   4.5   |
|  酿酒行业  | 000995 |   *ST皇台   |  33.5  |  531.5  | 5.0  |  12.1   |  11.4   |
|  造纸印刷  | 600963 |  岳阳林纸   | 108.8  |  21.9   | 3.8  |  -0.5   |  -0.7   |
|  通用设备  | 002685 |  华东重机   |  43.7  |  44.5   | 5.1  |  11.3   |  18.9   |
|  通用设备  | 301163 |  宏德股份   |  29.8  |  48.0   | 3.3  |   3.3   |  -0.4   |
|  通用设备  | 603985 |  恒润股份   | 125.4  |  248.2  | 3.5  |  -0.6   |   0.7   |
|  通用设备  | 300080 |  易成新能   | 129.5  |  119.7  | 5.1  |  -1.2   |  16.5   |
|  通信设备  | 002491 |  通鼎互联   |  69.1  |  28.2   | 3.5  |  12.8   |  10.5   |
|  通信服务  | 603421 |  鼎信通讯   |  51.6  |  -12.7  | 5.5  |  12.7   |   9.6   |
|  通信服务  | 002908 |  德生科技   |  39.5  |  98.8   | 5.3  |   1.6   |   7.3   |
|  软件开发  | 301179 |  泽宇智能   |  61.1  |  54.8   | 3.6  |  21.1   |  14.8   |
|  软件开发  | 300830 |   金现代    |  36.0  |  -45.3  | 4.2  |  12.7   |   9.3   |
|  软件开发  | 300799 |  左江科技   |  79.0  |  -75.6  | 4.0  |   8.4   |   4.6   |
|  贸易行业  | 301099 |  雅创电子   |  64.9  |  49.7   | 5.9  |   5.3   |   0.8   |
