[行业>市值]
+--------+--------+------------+--------+--------+-------+---------+---------+
|  行业  |  代码  |    名称    |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+--------+--------+------------+--------+--------+-------+---------+---------+
| 半导体 | 688981 |  中芯国际  | 3309.0 |  29.1  |  0.1  |  -3.3   |  -5.1   |
| 半导体 | 002371 |  北方华创  | 1482.0 | 179.4  | -6.2  |  -6.1   |   5.6   |
| 半导体 | 603501 |  韦尔股份  | 1312.0 |  36.6  | -4.1  |  -6.6   |  -8.9   |
| 半导体 | 002049 |  紫光国微  | 1218.0 |  57.4  | -1.4  |  -3.6   |  -4.3   |
| 半导体 | 603986 |  兆易创新  | 841.0  |  30.6  | -2.3  |  -2.5   |  -3.2   |
| 半导体 | 688396 |   华润微   | 713.6  |  28.8  | -2.4  |  -3.7   |  -1.6   |
| 半导体 | 688012 |  中微公司  | 707.4  | 150.9  | -5.7  |  -8.6   |   3.5   |
| 半导体 | 600460 |   士兰微   | 668.5  |  62.3  | -3.3  |  -7.0   |  -3.9   |
| 半导体 | 300782 |   卓胜微   | 636.2  |  34.6  | -3.8  |  -9.3   |  -10.8  |
| 半导体 | 603290 |  斯达半导  | 616.0  | 101.8  | -3.7  |  -4.4   |  -4.2   |
| 半导体 | 300661 |  圣邦股份  | 610.9  |  58.7  | -3.9  |  -7.3   |  -2.4   |
| 半导体 | 688008 |  澜起科技  | 605.0  |  49.4  | -1.7  |  -3.7   |  -5.5   |
| 半导体 | 688126 | 沪硅产业-U | 576.1  | -950.5 | -2.2  |  -4.2   |  -4.1   |
| 半导体 | 688385 |  复旦微电  | 521.4  |  56.0  | -1.0  |   1.6   |   0.1   |
| 半导体 | 688728 |   格科微   | 458.3  |  47.5  | -3.3  |  -5.6   |  -7.6   |
| 半导体 | 600584 |  长电科技  | 443.3  |  12.9  | -1.9  |  -5.3   |  -5.3   |
| 半导体 | 605358 |   立昂微   | 427.5  |  44.9  | -6.2  |  -3.9   |  -2.3   |
| 半导体 | 300223 |  北京君正  | 425.4  |  45.9  | -2.6  |  -5.6   |  -11.2  |
| 半导体 | 603893 |   瑞芯微   | 418.0  | 124.2  | -7.3  |  -4.0   |   3.8   |
| 半导体 | 688052 |   纳芯微   | 384.2  | 114.0  | -7.3  |  -3.8   |  -1.7   |
| 半导体 | 688536 |   思瑞浦   | 383.6  | 104.9  | -4.6  |  -4.9   |  -4.2   |
| 半导体 | 688099 |  晶晨股份  | 345.6  |  31.9  | -6.8  |  -7.3   |  -9.3   |
| 半导体 | 688047 |  龙芯中科  | 335.8  | 230.5  | -6.0  |  -1.7   |  -7.9   |
| 半导体 | 300373 |  扬杰科技  | 322.0  |  29.1  |  0.4  |  -3.8   |  -4.7   |
| 半导体 | 603160 |  汇顶科技  | 307.2  | -152.0 | -7.6  |  -6.8   |   0.6   |
| 半导体 | 688120 |  华海清科  | 282.8  |  77.5  | -7.8  |  -3.7   |   7.1   |
| 半导体 | 688234 |  天岳先进  | 277.2  | -158.3 | -7.0  |  -1.6   |  -4.3   |
| 半导体 | 002185 |  华天科技  | 276.9  |  33.5  | -2.9  |  -5.0   |  -5.4   |
| 半导体 | 688220 | 翱捷科技-U | 276.2  | -213.8 | -1.2  |  -2.3   |  -1.8   |
| 半导体 | 688107 | 安路科技-U | 275.6  | 389.4  | -1.0  |   0.3   |   8.8   |
| 半导体 | 300604 |  长川科技  | 254.5  |  89.5  | -4.8  |  -7.4   |  -3.1   |
| 半导体 | 605111 |   新洁能   | 253.6  |  56.4  | -5.0  |  -0.3   |   7.8   |
| 半导体 | 688256 |  寒武纪-U  | 241.3  | -21.0  | -2.1  |  -2.4   |  -4.6   |
| 半导体 | 688072 | 拓荆科技-U | 228.9  | -481.8 | -1.2  |   2.5   |  21.2   |
| 半导体 | 002409 |  雅克科技  | 227.7  |  38.3  | -1.7  |  -6.2   |  -6.7   |
| 半导体 | 688521 | 芯原股份-U | 221.5  | 1686.4 | -4.6  |  -5.6   |  -4.8   |
| 半导体 | 688213 |  思特威-W  | 206.2  | 365.3  | -3.9  |  -10.4  |  -11.7  |
| 半导体 | 688798 |  艾为电子  | 206.1  |  89.6  | -1.9  |  -4.3   |  -4.8   |
| 半导体 | 002156 |  通富微电  | 200.3  |  30.4  | -0.5  |  -0.6   |   1.8   |
| 半导体 | 688200 |  华峰测控  | 189.2  |  38.7  | -6.1  |  -8.8   |  -7.7   |
| 半导体 | 301050 |  雷电微力  | 188.0  |  43.9  | -0.4  |  -5.0   |   2.7   |
| 半导体 | 688153 | 唯捷创芯-U | 187.4  | 127.4  | -1.8  |  -0.6   |  -1.0   |
| 半导体 | 300458 |  全志科技  | 167.0  |  54.3  | -4.1  |  -8.2   |  -9.9   |
| 半导体 | 300613 |   富瀚微   | 166.5  |  41.0  | -4.2  |  -7.3   |  -9.0   |
| 半导体 | 603005 |  晶方科技  | 164.0  |  44.6  | -1.8  |  -10.2  |  -8.5   |
| 半导体 | 300623 |  捷捷微电  | 161.3  |  40.2  | -4.0  |  -6.0   |  -8.2   |
| 半导体 | 688261 |  东微半导  | 160.5  |  84.0  | -4.5  |  -3.9   |   1.5   |
| 半导体 | 600171 |  上海贝岭  | 154.8  |  26.9  | -6.4  |  -8.2   |  -9.0   |
| 半导体 | 688608 |  恒玄科技  | 152.1  | 169.0  | -4.8  |  -5.4   |  -4.0   |
| 半导体 | 688002 |  睿创微纳  | 151.3  | 264.8  | -3.9  |  -5.5   |  -11.4  |
| 半导体 | 300327 |  中颖电子  | 151.2  |  29.4  | -1.8  |  -6.9   |  -3.8   |
| 半导体 | 688048 |  长光华芯  | 149.2  | 135.0  | -9.3  |  -9.8   |  -7.0   |
| 半导体 | 600667 |  太极实业  | 148.1  |  21.1  | -2.4  |  -2.5   |  -2.8   |
| 半导体 | 688110 |  东芯股份  | 146.9  |  33.4  | -7.8  |  -7.1   |  -6.2   |
| 半导体 | 300666 |  江丰电子  | 136.7  | 102.2  | -2.2  |  -6.8   |   2.3   |
| 半导体 | 300671 |   富满微   | 132.0  |  59.4  | -4.2  |  -8.6   |  -15.0  |
| 半导体 | 300672 |   国科微   | 130.9  | -143.2 | -4.2  |  -10.1  |  -18.3  |
| 半导体 | 688206 |  概伦电子  | 129.4  | 688.1  | -5.7  |  -9.4   |   2.6   |
| 半导体 | 688037 |   芯源微   | 124.9  |  96.4  | -6.8  |  -3.8   |   2.4   |
| 半导体 | 688262 |  国芯科技  | 121.5  | 9879.5 | -3.9  |  -1.2   |   7.6   |
| 半导体 | 300456 |  赛微电子  | 117.8  | 124.7  | -4.1  |  -8.3   |  -10.9  |
| 半导体 | 600877 |  声光电科  | 117.6  |  93.2  | -2.0  |  -9.6   |  -11.4  |
| 半导体 | 688123 |  聚辰股份  | 116.4  |  50.8  | -0.4  |  -4.2   |  -8.5   |
| 半导体 | 688167 |  炬光科技  | 115.5  | 143.3  | -7.1  |  -13.0  |  -17.1  |
| 半导体 | 688173 |   希荻微   | 112.1  | 292.8  | -13.8 |  -12.0  |  -8.3   |
| 半导体 | 688332 |  中科蓝讯  | 110.0  |  68.5  |  0.0  |   0.0   |   0.0   |
| 半导体 | 688711 |  宏微科技  | 108.7  | 222.5  | -7.3  |   3.1   |   6.0   |
| 半导体 | 002079 |  苏州固锝  | 105.8  |  44.7  | -1.4  |   0.7   |  -2.9   |
| 半导体 | 001270 |  铖昌科技  |  98.7  | 233.2  |  3.5  |  -5.4   |  -11.9  |
| 半导体 | 300077 |  国民技术  |  97.6  |  99.1  | -3.8  |  -7.0   |  -8.8   |
| 半导体 | 688209 |   英集芯   |  97.0  |  41.7  | -5.8  |  -10.6  |  -13.7  |
| 半导体 | 688368 |  晶丰明源  |  88.4  | -192.6 | -8.4  |  -13.2  |  -9.9   |
| 半导体 | 600198 |  大唐电信  |  84.3  | -48.6  | -1.7  |  -2.7   |  -4.9   |
| 半导体 | 688601 |   力芯微   |  83.2  |  31.7  | -16.1 |  -4.5   |  -5.7   |
| 半导体 | 688018 |  乐鑫科技  |  82.2  |  73.7  | -4.4  |  -4.8   |  -0.8   |
| 半导体 | 688270 |  臻镭科技  |  79.3  | 286.8  | -2.6  |   9.1   |  10.7   |
| 半导体 | 688595 |  芯海科技  |  77.6  | 1919.1 | -12.9 |  -7.9   |  -3.7   |
| 半导体 | 688233 |  神工股份  |  77.2  |  38.7  | -3.8  |  -6.2   |  -6.2   |
| 半导体 | 688508 |   芯朋微   |  75.1  |  55.8  | -7.6  |  -3.5   |  -5.8   |
| 半导体 | 688766 |  普冉股份  |  69.3  |  41.7  | -5.6  |  -8.2   |  -10.1  |
| 半导体 | 688699 |  明微电子  |  69.3  |  24.3  | -5.2  |  -5.8   |  -7.9   |
| 半导体 | 600360 |  华微电子  |  67.5  |  65.7  | -2.9  |  -5.5   |  -6.4   |
| 半导体 | 688279 |  峰岹科技  |  60.3  |  39.5  | -4.3  |  -9.3   |  -7.7   |
| 半导体 | 688259 |  创耀科技  |  55.6  |  54.6  | -3.2  |  -4.8   |  -8.1   |
| 半导体 | 300053 |   欧比特   |  52.9  | 165.5  | -2.2  |  -3.6   |  -6.8   |
| 半导体 | 688230 |  芯导科技  |  52.3  |  43.7  | -3.5  |  -3.3   |  -4.1   |
| 半导体 | 603068 |  博通集成  |  51.6  | 363.9  | -3.3  |  -4.6   |  -11.2  |
| 半导体 | 003026 |  中晶科技  |  49.4  |  60.5  | -6.8  |  -11.8  |  -12.1  |
| 半导体 | 688325 |  赛微微电  |  47.2  |  97.3  |  1.0  |  -0.5   |  -2.7   |
| 半导体 | 688135 |  利扬芯片  |  46.0  | 110.4  | -6.7  |  11.6   |  12.1   |
| 半导体 | 688661 |  和林微纳  |  43.1  |  55.8  | -4.3  |  -6.7   |  -7.2   |
| 半导体 | 300046 |  台基股份  |  42.4  | 103.9  | -3.0  |  -7.3   |  -6.4   |
| 半导体 | 002077 |  大港股份  |  42.4  |  55.5  | -7.4  |   5.5   |  -8.1   |
| 半导体 | 688138 |  清溢光电  |  42.1  |  79.2  | -1.7  |  -4.0   |   2.7   |
| 半导体 | 002119 |  康强电子  |  41.4  |  34.3  | -4.2  |  -5.6   |  -6.5   |
| 半导体 | 688049 |  炬芯科技  |  41.3  |  98.4  | -5.0  |  -6.0   |  -5.6   |
| 半导体 | 300831 |  派瑞股份  |  41.2  |  84.9  | -6.6  |  -8.9   |  -8.1   |
| 半导体 | 688045 |   必易微   |  41.0  |  35.1  | -6.0  |  -3.5   |  -3.5   |
| 半导体 | 001309 |   德明利   |  39.9  |  52.6  | -10.0 |  -10.9  |  18.6   |
| 半导体 | 688589 |   力合微   |  39.3  |  73.0  | -3.1  |  -3.8   |  -5.2   |
| 半导体 | 300706 |   阿石创   |  36.1  | 152.2  | -2.9  |  -2.5   |  -2.5   |
| 半导体 | 688689 |  银河微电  |  35.8  |  44.6  | -7.5  |  -5.6   |  -6.1   |
| 半导体 | 300493 |  润欣科技  |  32.5  |  62.3  | -3.7  |  -4.6   |  -4.9   |
| 半导体 | 688216 |  气派科技  |  26.8  | -109.7 | -5.6  |  -3.3   |  -7.5   |
| 半导体 | 688286 |  敏芯股份  |  25.0  | -235.2 | -7.2  |  -6.2   |  -6.4   |
| 半导体 | 300812 |  易天股份  |  24.0  |  41.9  | -5.1  |  -8.1   |  -12.6  |
| 半导体 | 300139 |  晓程科技  |  23.0  | -11.4  | -3.8  |  -4.2   |  -6.4   |
| 半导体 | 603933 |  睿能科技  |  22.6  |  24.6  | -1.8  |  -3.0   |  -2.3   |
| 半导体 | 605588 |  冠石科技  |  22.2  |  25.0  | -4.5  |  -5.9   |  -6.1   |
| 半导体 | 000670 |  *ST盈方   |  18.4  | 120.7  |  0.0  |   0.0   |   0.0   |
+--------+--------+------------+--------+--------+-------+---------+---------+
 




 [行业>单日涨幅]
+--------+--------+------------+--------+--------+-------+---------+---------+
|  行业  |  代码  |    名称    |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+--------+--------+------------+--------+--------+-------+---------+---------+
| 半导体 | 001270 |  铖昌科技  |  98.7  | 233.2  |  3.5  |  -5.4   |  -11.9  |
| 半导体 | 688325 |  赛微微电  |  47.2  |  97.3  |  1.0  |  -0.5   |  -2.7   |
| 半导体 | 300373 |  扬杰科技  | 322.0  |  29.1  |  0.4  |  -3.8   |  -4.7   |
