[行业>市值]
+----------+--------+----------+--------+--------+-------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+-------+---------+---------+
| 消费电子 | 002475 | 立讯精密 | 2367.0 |  32.8  | -0.6  |   3.2   |   2.5   |
| 消费电子 | 601138 | 工业富联 | 1913.0 |  14.7  | -0.1  |   0.4   |  -1.3   |
| 消费电子 | 002241 | 歌尔股份 | 1110.0 |  30.8  |  0.3  |   0.3   |  -1.7   |
| 消费电子 | 600745 | 闻泰科技 | 896.2  |  44.6  | -3.8  |  -4.8   |  -7.0   |
| 消费电子 | 688036 | 传音控股 | 630.7  |  19.8  | -2.8  |  -6.4   |  -10.7  |
| 消费电子 | 300433 | 蓝思科技 | 543.1  | -33.0  | -2.7  |   0.2   |  -0.4   |
| 消费电子 | 002841 | 视源股份 | 487.4  |  39.6  |  3.4  |   2.0   |  -3.1   |
| 消费电子 | 002600 | 领益智造 | 343.7  |  28.6  | -1.0  |  -0.8   |  -2.8   |
| 消费电子 | 601231 | 环旭电子 | 302.6  |  17.2  | -0.1  |  -1.4   |  -2.1   |
| 消费电子 | 300866 | 安克创新 | 295.9  |  37.2  | -3.5  |  -0.5   |  -9.8   |
| 消费电子 | 300679 | 电连技术 | 174.8  |  49.6  | -2.4  |  -7.8   |  -5.9   |
| 消费电子 | 001308 | 康冠科技 | 170.2  |  18.7  |  1.4  |  10.4   |   9.6   |
| 消费电子 | 300083 |  创世纪  | 169.0  |  25.1  | -4.5  |  -2.5   |  -4.2   |
| 消费电子 | 000021 |  深科技  | 167.0  |  17.2  | -1.6  |  -4.0   |  -5.3   |
| 消费电子 | 300136 | 信维通信 | 154.1  |  31.8  | -3.5  |  -4.3   |  -7.7   |
| 消费电子 | 002925 | 盈趣科技 | 150.2  |  24.2  | -2.7  |  -6.5   |  -9.4   |
| 消费电子 | 002402 |  和而泰  | 145.5  |  50.9  | -2.0  |  -6.5   |  -16.1  |
| 消费电子 | 002139 | 拓邦股份 | 137.0  |  36.4  | -3.1  |  -15.8  |  -13.3  |
| 消费电子 | 300115 | 长盈精密 | 112.7  | -14.4  | -2.3  |  -7.2   |  -7.3   |
| 消费电子 | 603595 | 东尼电子 | 103.7  | 140.3  | -4.0  |   7.3   |  11.4   |
| 消费电子 | 002635 | 安洁科技 |  98.5  |  29.0  | -3.2  |  -6.2   |  -6.3   |
| 消费电子 | 002993 | 奥海科技 |  95.4  |  22.8  |  0.7  |  11.2   |   1.2   |
| 消费电子 | 688007 | 光峰科技 |  95.1  | 133.1  | -5.8  |  -6.9   |  -11.8  |
| 消费电子 | 002782 |  可立克  |  78.1  |  94.9  | -4.9  |  -11.8  |  -4.0   |
| 消费电子 | 603327 | 福蓉科技 |  77.7  |  20.3  |  0.3  |  11.7   |   9.4   |
| 消费电子 | 300735 | 光弘科技 |  75.3  |  40.5  | -2.6  |  -4.5   |  -5.2   |
| 消费电子 | 002881 | 美格智能 |  74.3  |  75.5  | -2.6  |  -4.8   |  -1.0   |
| 消费电子 | 301180 | 万祥科技 |  73.0  |  34.5  | -4.8  |  -7.2   |  -9.2   |
| 消费电子 | 002351 |  漫步者  |  72.0  |  32.6  | -2.2  |  -2.5   |  -4.4   |
| 消费电子 | 300602 |  飞荣达  |  70.8  | -98.8  | -3.7  |  -10.2  |  -8.6   |
