[行业>市值]
+----------+--------+----------+--------+---------+------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+---------+------+---------+---------+
| 电力行业 | 600900 | 长江电力 | 5663.0 |  45.1   | 0.8  |   3.3   |   2.3   |
| 电力行业 | 600905 | 三峡能源 | 1889.0 |  18.4   | -0.1 |   3.3   |   2.5   |
| 电力行业 | 001289 | 龙源电力 | 1857.0 |  20.6   | -0.9 |  -1.9   |   1.0   |
| 电力行业 | 003816 | 中国广核 | 1449.0 |  12.7   | 0.3  |   1.4   |   2.6   |
| 电力行业 | 600025 | 华能水电 | 1327.0 |  44.7   | 0.6  |   1.4   |   2.4   |
| 电力行业 | 601985 | 中国核电 | 1312.0 |  11.4   | 0.9  |   0.4   |  -2.4   |
| 电力行业 | 600011 | 华能国际 | 1287.0 |  -33.6  | 2.0  |   1.1   |   9.0   |
| 电力行业 | 600886 | 国投电力 | 857.2  |  20.7   | 1.2  |   2.2   |   5.3   |
| 电力行业 | 600795 | 国电电力 | 752.7  |  17.8   | -1.9 |   3.7   |   3.9   |
| 电力行业 | 600674 | 川投能源 | 628.8  |  20.1   | 5.2  |   7.9   |  14.3   |
| 电力行业 | 601991 | 大唐发电 | 523.7  |  -32.0  | -1.7 |   0.3   |   8.8   |
| 电力行业 | 600236 | 桂冠电力 | 521.0  |  17.1   | -3.6 |  -5.8   |   5.1   |
| 电力行业 | 600023 | 浙能电力 | 520.9  |  20.8   | 0.5  |   3.2   |   6.1   |
| 电力行业 | 600027 | 华电国际 | 486.6  |  19.7   | 0.8  |   4.0   |  13.9   |
| 电力行业 | 600157 | 永泰能源 | 386.6  |  29.6   | -1.1 |   0.6   |   6.8   |
| 电力行业 | 000883 | 湖北能源 | 356.7  |  16.2   | 1.7  |   1.1   |   4.4   |
| 电力行业 | 000027 | 深圳能源 | 322.6  |  15.6   | 0.7  |   2.1   |   3.0   |
| 电力行业 | 000155 | 川能动力 | 314.8  |  35.9   | -2.4 |  -11.1  |  -11.7  |
| 电力行业 | 600032 | 浙江新能 | 300.8  |  36.8   | -5.6 |  -1.6   |  -3.8   |
| 电力行业 | 600642 | 申能股份 | 297.2  |  36.8   | 0.8  |   1.0   |   6.3   |
| 电力行业 | 600021 | 上海电力 | 281.3  |  69.4   | 0.2  |  -4.5   |   0.0   |
| 电力行业 | 600863 | 内蒙华电 | 276.1  |  13.9   | -2.1 |   0.0   |   5.2   |
| 电力行业 | 002015 | 协鑫能科 | 270.9  |  39.8   | -1.4 |  -4.8   |  -4.9   |
| 电力行业 | 600483 | 福能股份 | 267.4  |  10.4   | 1.6  |  -2.8   |  -2.7   |
| 电力行业 | 002608 | 江苏国信 | 259.6  |  18.0   | -0.6 |   1.6   |   2.2   |
| 电力行业 | 000539 | 粤电力Ａ  | 249.9  |  -13.9  | -4.2 |   5.5   |   9.9   |
| 电力行业 | 000591 |  太阳能  | 245.1  |  23.4   | -0.1 |  -3.9   |  -3.4   |
| 电力行业 | 601016 | 节能风电 | 242.1  |  14.3   | -0.4 |  -2.8   |  -1.4   |
| 电力行业 | 601908 |  京运通  | 233.0  |  652.7  | 10.0 |  -2.3   |  -0.5   |
| 电力行业 | 600578 | 京能电力 | 232.0  |  19.8   | -0.9 |   0.0   |   1.2   |
| 电力行业 | 600098 | 广州发展 | 218.0  |  20.9   | 1.0  |   2.3   |   1.1   |
| 电力行业 | 000537 | 广宇发展 | 217.7  |  40.2   | -1.9 |  -5.9   |  -12.9  |
| 电力行业 | 000875 | 吉电股份 | 203.1  |  12.2   | -0.7 |  -2.4   |  -0.4   |
| 电力行业 | 600116 | 三峡水利 | 193.7  |  491.2  | 3.0  |   1.9   |  -0.6   |
| 电力行业 | 000966 | 长源电力 | 170.5  |  53.3   | -4.5 |   0.7   |  -0.6   |
| 电力行业 | 600167 | 联美控股 | 166.1  |   6.2   | -1.2 |  -2.4   |  -2.9   |
