[行业>三日涨幅]
+--------------+--------+----------+-------+---------+------+---------+---------+
|     行业     |  代码  |   名称   | 市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+--------------+--------+----------+-------+---------+------+---------+---------+
|  非金属材料  | 603612 | 索通发展 | 200.7 |  31.7   | 10.0 |  17.9   |  12.6   |
|   铁路公路   | 000755 | 山西路桥 | 96.3  |  25.0   | 10.1 |  33.1   |  60.0   |
|   钢铁行业   | 000629 | 攀钢钒钛 | 527.4 |  28.0   | 10.1 |  33.3   |  67.0   |
|   钢铁行业   | 000709 | 河钢股份 | 288.8 |  23.2   | 10.1 |   3.4   |  18.8   |
|   造纸印刷   | 002012 | 凯恩股份 | 26.8  |  47.3   | 10.0 |   7.1   |   8.5   |
|   通用设备   | 002514 | 宝馨科技 | 65.5  |  293.8  | 10.1 |  33.2   |  32.8   |
|   通用设备   | 003043 | 华亚智能 | 59.3  |  54.2   | 10.0 |  33.1   |  24.5   |
|   软件开发   | 301162 | 国能日新 | 55.5  |  261.6  | 16.9 |  36.9   |  32.4   |
|   装修建材   | 002333 | 罗普斯金 | 38.5  | -349.8  | 10.1 |  12.2   |  12.8   |
|   综合行业   | 002591 | 恒大高新 | 16.9  | -155.1  | 9.9  |  13.9   |  11.9   |
|   电网设备   | 002090 | 金智科技 | 52.7  |  159.1  | 10.0 |  33.2   |  46.4   |
|   电网设备   | 600192 | 长城电工 | 30.6  |  -42.4  | 10.0 |  33.0   |  33.8   |
|   电网设备   | 300882 | 万胜智能 | 36.0  |  116.6  | 20.0 |  25.7   |  24.0   |
|   电网设备   | 000533 | 顺钠股份 | 31.9  |  178.5  | 10.0 |  22.6   |  27.4   |
|   电网设备   | 002339 | 积成电子 | 34.9  |  -34.0  | 10.0 |  21.8   |  23.1   |
|   电网设备   | 002606 | 大连电瓷 | 47.0  |  20.2   | 10.0 |  18.1   |  19.2   |
|   电网设备   | 603191 | 望变电气 | 79.4  |  54.2   | 10.0 |  12.7   |   6.8   |
|   电子元件   | 002161 |  远望谷  | 38.0  |  -23.7  | 10.1 |   4.0   |  13.0   |
|   电力行业   | 000899 | 赣能股份 | 136.1 | -3352.5 | 10.0 |  33.1   |  77.3   |
|   电力行业   | 000601 | 韶能股份 | 72.1  |  56.5   | 10.1 |  26.8   |  28.5   |
|   电力行业   | 000600 | 建投能源 | 104.5 |  37.5   | 10.0 |  10.6   |  38.1   |
|   电力行业   | 000722 | 湖南发展 | 71.8  |  44.6   | 10.0 |  10.4   |   9.3   |
|   电力行业   | 600101 | 明星电力 | 46.7  |  28.1   | 10.0 |   6.6   |  14.0   |
|   物流行业   | 603329 | 上海雅仕 | 27.2  |  11.8   | 10.0 |   5.2   |   5.2   |
|   消费电子   | 002888 | 惠威科技 | 22.6  | 1130.2  | 10.0 |  23.3   |  22.6   |
|  汽车零部件  | 002813 | 路畅科技 | 42.0  | 1836.1  | 10.0 |  33.1   |  28.1   |
|  汽车零部件  | 603917 | 合力科技 | 46.2  |  99.8   | 10.0 |  20.3   |  23.7   |
|  汽车零部件  | 300978 | 东箭科技 | 63.4  |  110.4  | 20.0 |  19.6   |  13.9   |
|  汽车零部件  | 603161 | 科华控股 | 16.7  |  -25.1  | 10.0 |  10.0   |  10.0   |
|   汽车整车   | 000550 | 江铃汽车 | 195.3 |  25.2   | 10.0 |  33.1   |  40.7   |
|   汽车整车   | 600166 | 福田汽车 | 213.7 |  39.5   | 10.2 |  18.6   |  14.8   |
|  房地产开发  | 600393 | 粤泰股份 | 44.1  |  -15.3  | 10.1 |  16.0   |  10.8   |
|   工程机械   | 002272 | 川润股份 | 29.2  |  75.1   | 10.1 |  18.5   |  11.7   |
|   工程机械   | 002204 | 大连重工 | 148.1 |  53.0   | 10.0 |   8.9   |  45.0   |
| 工程咨询服务 | 301091 |  深城交  | 63.9  |  -42.1  | 20.0 |  27.6   |  12.5   |
|   家电行业   | 002543 | 万和电气 | 62.6  |   9.9   | 10.1 |  22.6   |  20.1   |
|   家电行业   | 000404 | 长虹华意 | 47.3  |  36.2   | 10.0 |  21.6   |  25.7   |
|    半导体    | 001309 |  德明利  | 49.2  |  64.9   | 10.0 |  33.1   |  131.9  |
|   医药商业   | 002589 | 瑞康医药 | 70.9  |  41.5   | 10.1 |  19.2   |  21.4   |
|   医疗器械   | 688607 | 康众医疗 | 27.1  |  -93.7  | 17.6 |  22.0   |  19.6   |
|  光学光电子  | 002992 | 宝明科技 | 39.0  |  -39.0  | 10.0 |  33.1   |  46.4   |
|   专用设备   | 603015 | 弘讯科技 | 40.3  |  65.7   | 10.1 |  25.8   |  21.9   |
|   专用设备   | 002337 | 赛象科技 | 28.5  |  -96.4  | 10.0 |  24.7   |  17.2   |
|   专用设备   | 002523 | 天桥起重 | 46.9  |  159.1  | 10.0 |  23.1   |  19.5   |
|   专用设备   | 002526 | 山东矿机 | 48.3  |  31.1   | 10.2 |   9.3   |  14.8   |
+--------------+--------+----------+-------+---------+------+---------+---------+
