[行业>市值]
+----------+--------+-------------+-------+---------+------+---------+---------+
|   行业   |  代码  |    名称     | 市值  |   pe    | 涨幅 | 3日涨幅 | 6日涨幅 |
+----------+--------+-------------+-------+---------+------+---------+---------+
| 软件开发 | 002230 |  科大讯飞   | 943.9 |  213.0  | 0.2  |  -4.7   |  -7.6   |
| 软件开发 | 688111 |  金山办公   | 815.2 |  81.3   | 0.7  |  -2.9   |  -3.3   |
| 软件开发 | 600588 |  用友网络   | 672.0 |  -42.7  | 0.3  |  -5.1   |  -7.0   |
| 软件开发 | 600570 |  恒生电子   | 597.2 | -361.5  | 0.4  |  -6.5   |  -9.4   |
| 软件开发 | 002410 |   广联达    | 578.2 |  132.9  | -1.9 |  -7.9   |  -9.2   |
| 软件开发 | 601360 |   三六零    | 565.9 |  63.8   | 0.0  |  -2.6   |  -4.1   |
| 软件开发 | 300033 |   同花顺    | 477.9 |  106.8  | -0.2 |  -2.6   |  -4.3   |
| 软件开发 | 002268 |   卫士通    | 390.8 | -254.1  | 0.2  |  -1.5   |   5.0   |
| 软件开发 | 300454 |   深信服    | 382.8 |  -18.5  | 0.4  |  -6.2   |  -8.5   |
| 软件开发 | 688561 |  奇安信-U   | 341.0 |  -17.7  | 0.5  |  -5.1   |  -6.0   |
| 软件开发 | 688777 |  中控技术   | 339.8 |  141.8  | -0.8 |  -4.7   |  -6.1   |
| 软件开发 | 002405 |  四维图新   | 303.3 |  643.4  | -2.3 |  -8.2   |  -5.4   |
| 软件开发 | 002153 |  石基信息   | 300.2 |  244.5  | 0.4  |   0.2   |  -3.2   |
| 软件开发 | 688188 |  柏楚电子   | 290.0 |  70.5   | -4.4 |  -9.2   |  -10.4  |
| 软件开发 | 300803 |   指南针    | 222.2 |  20.8   | -0.6 |  -1.3   |  -3.8   |
| 软件开发 | 301236 |  软通动力   | 219.3 |  57.5   | 8.6  |   8.9   |   8.2   |
| 软件开发 | 002065 |  东华软件   | 190.1 |  39.9   | 0.0  |  -2.3   |  -3.0   |
| 软件开发 | 002439 |  启明星辰   | 178.5 |  -45.8  | 0.9  |  -4.7   |  -7.5   |
| 软件开发 | 300253 |  卫宁健康   | 177.2 |  139.5  | 0.1  |  -6.4   |  -6.0   |
| 软件开发 | 688327 | 云从科技-UW | 162.6 |  -35.1  | -2.3 |  -3.2   |  -5.5   |
| 软件开发 | 688083 |  中望软件   | 161.0 | -204.2  | 0.2  |  -2.9   |  -3.6   |
| 软件开发 | 300773 |   拉卡拉    | 139.8 |  13.7   | 1.2  |  -2.7   |  -5.0   |
| 软件开发 | 603927 |   中科软    | 136.2 |  472.3  | 0.8  |   0.0   |   1.4   |
| 软件开发 | 601519 |   大智慧    | 124.4 |  -66.2  | -0.3 |  -1.0   |  -2.5   |
| 软件开发 | 688232 |  新点软件   | 117.0 |  -80.5  | 0.9  |  -2.5   |  -0.5   |
| 软件开发 | 002063 |  远光软件   | 113.2 |  382.1  | 2.1  |   8.2   |  13.3   |
| 软件开发 | 002212 |   天融信    | 108.2 |  -41.8  | -2.8 |  -5.6   |  -7.3   |
| 软件开发 | 600728 |  佳都科技   | 108.1 |  73.0   | 0.7  |  -3.9   |  -7.2   |
| 软件开发 | 688023 |  安恒信息   | 105.1 |  -13.8  | -1.5 |  -7.8   |  -9.5   |
| 软件开发 | 300451 |  创业慧康   | 103.7 |  28.1   | 0.9  |  -4.8   |  -7.7   |
| 软件开发 | 300188 |  美亚柏科   | 103.3 |  -44.7  | 0.0  |  -4.2   |  -3.4   |
| 软件开发 | 600602 |  云赛智联   | 95.6  |  32.6   | 0.3  |   1.6   |   0.1   |
| 软件开发 | 603039 |   ST泛微    | 90.4  |  149.4  | -1.2 |  -4.7   |  -4.2   |
| 软件开发 | 300525 |  博思软件   | 86.3  |  -50.2  | 0.2  |  -3.8   |  -2.9   |
| 软件开发 | 300768 |  迪普科技   | 85.5  |  47.1   | -0.7 |  -7.3   |  -12.3  |
| 软件开发 | 300036 |  超图软件   | 84.8  |  181.4  | 1.4  |  -6.9   |  -6.9   |
| 软件开发 | 300075 |  数字政通   | 82.6  |  54.3   | 0.1  |  -5.7   |  -7.2   |
| 软件开发 | 300229 |   拓尔思    | 81.7  |  97.2   | -0.4 |   2.0   |   4.4   |
| 软件开发 | 688318 |  财富趋势   | 81.3  |  45.3   | -2.5 |  -4.5   |  -8.4   |
| 软件开发 | 002280 |  联络互动   | 79.9  |  -6.8   | 1.7  |  -0.8   |  -5.7   |
| 软件开发 | 688225 |  亚信安全   | 79.9  |  -25.5  | -0.4 |  -5.2   |  -6.3   |
