[行业>三日涨幅]
+--------------+--------+----------+-------+--------+------+---------+---------+
|     行业     |  代码  |   名称   | 市值  |   pe   | 涨幅 | 3日涨幅 | 6日涨幅 |
+--------------+--------+----------+-------+--------+------+---------+---------+
|   铁路公路   | 000755 | 山西路桥 | 96.3  |  25.0  | 10.1 |  33.1   |  60.0   |
|   铁路公路   | 000548 | 湖南投资 | 27.8  |  84.4  | 10.1 |  24.4   |  24.1   |
|   铁路公路   | 601518 | 吉林高速 | 42.9  |  12.7  | 10.0 |  22.3   |  21.4   |
|   铁路公路   | 600561 | 江西长运 | 16.5  | -25.7  | 10.0 |  11.7   |   9.4   |
|   铁路公路   | 600033 | 福建高速 | 83.2  |  9.2   | 10.2 |  11.0   |   9.8   |
|   钢铁行业   | 000709 | 河钢股份 | 288.8 |  23.2  | 10.1 |   3.4   |  18.8   |
|   通用设备   | 002514 | 宝馨科技 | 65.5  | 293.8  | 10.1 |  33.2   |  32.8   |
|   通用设备   | 002552 | 宝鼎科技 | 48.1  | 733.3  | 10.0 |  11.6   |  11.9   |
|   通用设备   | 603985 | 恒润股份 | 138.0 | 273.0  | 10.0 |   7.8   |  10.2   |
|  计算机设备  | 002383 | 合众思壮 | 56.6  |  97.9  | 10.1 |  19.3   |  29.0   |
|   装修装饰   | 002047 | 宝鹰股份 | 61.7  | -34.0  | 10.0 |   9.7   |   2.0   |
|   装修建材   | 002333 | 罗普斯金 | 56.4  | -512.2 | 10.1 |  33.1   |  61.8   |
|   装修建材   | 000619 | 海螺新材 | 25.7  | -24.5  | 10.0 |  19.8   |  18.6   |
|   装修建材   | 002066 | 瑞泰科技 | 30.1  |  53.5  | 10.0 |  14.2   |  14.8   |
|   综合行业   | 002591 | 恒大高新 | 20.5  | -187.5 | 10.0 |  32.9   |  35.6   |
|   电网设备   | 688248 | 南网科技 | 192.0 | 1060.5 | 14.0 |  34.9   |  45.4   |
|   电网设备   | 002090 | 金智科技 | 70.1  | 211.6  | 10.0 |  33.0   |  77.2   |
|   电网设备   | 600192 | 长城电工 | 30.6  | -42.4  | 10.0 |  33.0   |  33.8   |
|   电网设备   | 300882 | 万胜智能 | 36.0  | 116.6  | 20.0 |  25.7   |  24.0   |
|   电网设备   | 000533 | 顺钠股份 | 31.9  | 178.5  | 10.0 |  22.6   |  27.4   |
|   电网设备   | 002339 | 积成电子 | 38.1  | -37.1  | 10.1 |  20.2   |  33.6   |
|   电网设备   | 603191 | 望变电气 | 79.4  |  54.2  | 10.0 |  12.7   |   6.8   |
|   电子元件   | 002161 |  远望谷  | 43.0  | -26.9  | 10.0 |  13.2   |  17.8   |
|   电力行业   | 000601 | 韶能股份 | 72.1  |  56.5  | 10.1 |  26.8   |  28.5   |
|   电力行业   | 000600 | 建投能源 | 104.5 |  37.5  | 10.0 |  10.6   |  38.1   |
|   电力行业   | 000722 | 湖南发展 | 71.8  |  44.6  | 10.0 |  10.4   |   9.3   |
|   电力行业   | 600101 | 明星电力 | 46.7  |  28.1  | 10.0 |   6.6   |  14.0   |
|   环保行业   | 002479 | 富春环保 | 51.0  |  63.0  | 10.1 |  21.4   |  20.9   |
|   物流行业   | 603329 | 上海雅仕 | 27.2  |  11.8  | 10.0 |   5.2   |   5.2   |
|   消费电子   | 002888 | 惠威科技 | 22.6  | 1130.2 | 10.0 |  23.3   |  22.6   |
|   消费电子   | 002547 | 春兴精工 | 51.0  |  76.3  | 10.0 |  18.0   |   6.9   |
|  汽车零部件  | 603161 | 科华控股 | 16.7  | -25.1  | 10.0 |  10.0   |  10.0   |
|  汽车零部件  | 603917 | 合力科技 | 50.3  | 108.7  | 10.0 |   8.9   |  31.1   |
|   工程机械   | 002204 | 大连重工 | 148.1 |  53.0  | 10.0 |   8.9   |  45.0   |
|   工程建设   | 002374 | 中锐股份 | 51.1  | 100.6  | 10.1 |  19.6   |  17.2   |
| 工程咨询服务 | 301091 |  深城交  | 63.9  | -42.1  | 20.0 |  27.6   |  12.5   |
|   家电行业   | 000404 | 长虹华意 | 57.3  |  43.8  | 10.0 |  33.2   |  52.1   |
|   家电行业   | 002543 | 万和电气 | 62.6  |  9.9   | 10.1 |  22.6   |  20.1   |
|   医药商业   | 002589 | 瑞康医药 | 85.8  |  50.2  | 10.0 |  33.2   |  47.7   |
|   医疗器械   | 688607 | 康众医疗 | 27.1  | -93.7  | 17.6 |  22.0   |  19.6   |
|  光学光电子  | 002992 | 宝明科技 | 39.0  | -39.0  | 10.0 |  33.1   |  46.4   |
|  互联网服务  | 002766 | 索菱股份 | 50.8  | -324.5 | 10.1 |  -1.0   |  10.7   |
|   专用设备   | 688218 | 江苏北人 | 23.3  | -118.5 | 14.8 |  48.2   |  41.2   |
|   专用设备   | 002337 | 赛象科技 | 28.5  | -96.4  | 10.0 |  24.7   |  17.2   |
|   专用设备   | 002526 | 山东矿机 | 48.3  |  31.1  | 10.2 |   9.3   |  14.8   |
|   专用设备   | 002796 | 世嘉科技 | 22.4  | -34.5  | 10.0 |   7.9   |  11.3   |
|   专用设备   | 603656 | 泰禾智能 | 22.6  |  71.6  | 10.0 |   3.0   |  15.4   |
|   专用设备   | 002523 | 天桥起重 | 46.8  | 158.6  | 10.0 |  -0.3   |  22.7   |
+--------------+--------+----------+-------+--------+------+---------+---------+
