[行业>市值]
+----------+--------+----------+--------+--------+-------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+-------+---------+---------+
| 农牧饲渔 | 002714 | 牧原股份 | 3383.0 | -16.3  | -0.5  |  -2.4   |   3.9   |
| 农牧饲渔 | 300498 | 温氏股份 | 1609.0 | -10.7  | -0.4  |  -3.5   |   3.9   |
| 农牧饲渔 | 002311 | 海大集团 | 1007.0 | 125.4  | -0.2  |  -3.8   |   0.7   |
| 农牧饲渔 | 000876 |  新希望  | 778.5  |  -6.8  | -0.9  |  -1.1   |   2.1   |
| 农牧饲渔 | 002385 |  大北农  | 303.1  | -32.6  | -2.9  |  -6.6   |  -6.0   |
| 农牧饲渔 | 600598 |  北大荒  | 250.5  |  14.2  | -0.1  |  -1.9   |  -0.1   |
| 农牧饲渔 | 002299 | 圣农发展 | 233.2  | -89.2  |  0.7  |  -3.0   |  -0.1   |
| 农牧饲渔 | 002157 | 正邦科技 | 219.5  |  -2.3  | -2.1  |  -6.4   |  -6.5   |
| 农牧饲渔 | 603363 | 傲农生物 | 204.7  | -14.6  |  0.1  |  -2.7   |  17.8   |
| 农牧饲渔 | 000998 | 隆平高科 | 196.5  |  90.2  | -1.3  |  -8.2   |  -8.5   |
| 农牧饲渔 | 601952 | 苏垦农发 | 188.5  |  27.2  | -0.9  |  -3.9   |   1.0   |
| 农牧饲渔 | 002041 | 登海种业 | 177.2  |  42.5  | -0.9  |  -3.5   |  -2.1   |
| 农牧饲渔 | 002100 | 天康生物 | 170.8  | -61.3  |  0.4  |  -0.4   |  13.9   |
| 农牧饲渔 | 603477 | 巨星农牧 | 165.5  | -13.3  | -2.9  |  -8.3   |   7.2   |
| 农牧饲渔 | 000930 | 中粮科技 | 164.5  |  11.8  |  0.6  |   0.2   |  -0.8   |
| 农牧饲渔 | 300761 | 立华股份 | 164.3  | -23.1  |  0.1  |  -2.9   |  -4.1   |
| 农牧饲渔 | 002124 | 天邦食品 | 145.3  |  -5.4  | -1.9  |  -1.6   |   7.6   |
| 农牧饲渔 | 605296 | 神农集团 | 140.3  | -23.4  | -0.3  |  -2.7   |  -0.1   |
| 农牧饲渔 | 600313 | 农发种业 | 137.7  | 181.2  | -0.5  |   3.4   |   8.5   |
| 农牧饲渔 | 002567 |  唐人神  | 122.4  | -20.5  | -1.6  |  -2.0   |   6.3   |
| 农牧饲渔 | 600811 | 东方集团 | 111.2  | 237.8  | -0.7  |  -4.4   |  -2.6   |
| 农牧饲渔 | 300087 | 荃银高科 | 100.8  | 123.4  | -2.0  |  -4.9   |  -4.8   |
| 农牧饲渔 | 001201 | 东瑞股份 |  99.1  | -76.8  | -1.8  |  -2.8   |  11.0   |
| 农牧饲渔 | 002458 | 益生股份 |  97.3  |  -8.4  | -0.5  |  -4.8   |  -1.7   |
| 农牧饲渔 | 603609 | 禾丰股份 |  90.0  | -17.6  |  0.4  |  -3.4   |   0.6   |
| 农牧饲渔 | 603668 | 天马科技 |  89.2  |  58.0  |  2.7  |   2.8   |   0.3   |
| 农牧饲渔 | 600251 | 冠农股份 |  84.3  |  9.6   | -6.0  |  -5.3   |   1.2   |
| 农牧饲渔 | 001313 | 粤海饲料 |  83.9  | -50.3  |  0.1  |  -1.8   |  -1.5   |
| 农牧饲渔 | 300138 | 晨光生物 |  82.8  |  19.4  |  0.8  |  -2.1   |  -6.3   |
| 农牧饲渔 | 000735 |  罗牛山  |  80.7  | -69.0  |  1.7  |   0.9   |   4.5   |
| 农牧饲渔 | 002746 | 仙坛股份 |  78.6  | -44.9  |  2.7  |  -0.8   |  -0.1   |
| 农牧饲渔 | 600975 |  新五丰  |  76.9  | -17.1  | -3.0  |  -5.1   |   1.7   |
| 农牧饲渔 | 002891 | 中宠股份 |  71.6  |  76.5  | -1.2  |  -4.7   |  -4.4   |
| 农牧饲渔 | 600108 | 亚盛集团 |  66.6  |  66.3  | -1.4  |  -1.7   |   0.0   |
| 农牧饲渔 | 000505 | 京粮控股 |  64.4  |  43.5  | -1.7  |  -2.6   |  -1.6   |
| 农牧饲渔 | 002234 | 民和股份 |  60.2  |  -8.2  | -2.0  |  -5.0   |  -0.8   |
| 农牧饲渔 | 600965 | 福成股份 |  59.2  |  27.7  | -10.0 |  -9.8   |  -8.1   |
| 农牧饲渔 | 000713 | 丰乐种业 |  54.3  | 186.1  | -1.4  |  -2.6   |  -1.6   |
| 农牧饲渔 | 600127 | 金健米业 |  54.0  | -246.9 | -5.3  |  -6.4   |  -4.6   |
| 农牧饲渔 | 300268 | 佳沃食品 |  53.4  |  12.1  |  0.7  |  -7.0   |   1.6   |
| 农牧饲渔 | 002548 |  金新农  |  53.3  |  -9.0  | -1.4  |  -4.0   |   4.5   |
| 农牧饲渔 | 002321 |  ST华英  |  50.1  | -32.6  | -0.4  |  -0.8   |  -1.3   |
| 农牧饲渔 | 000592 | 平潭发展 |  48.3  | -811.6 | -2.3  |  -1.2   |  -2.3   |
| 农牧饲渔 | 300189 | 神农科技 |  47.7  | -294.3 | -1.9  |  -3.1   |  -2.5   |
| 农牧饲渔 | 300094 | 国联水产 |  47.6  | 125.8  | -1.1  |  -3.0   |  -2.1   |
| 农牧饲渔 | 300021 | 大禹节水 |  46.7  |  71.8  |  1.9  |   2.5   |   0.7   |
| 农牧饲渔 | 300673 | 佩蒂股份 |  43.1  |  37.8  |  0.4  |  -2.0   |  -2.4   |
| 农牧饲渔 | 002982 | 湘佳股份 |  42.6  |  91.1  | -1.4  |  -5.7   |  -1.9   |
| 农牧饲渔 | 600467 |  好当家  |  39.3  | 110.2  | -1.1  |  -0.7   |   0.8   |
| 农牧饲渔 | 603739 | 蔚蓝生物 |  38.8  |  53.6  |  0.5  |  -1.0   |   0.0   |
| 农牧饲渔 | 600371 | 万向德农 |  37.8  |  22.6  | -1.8  |  -2.9   |   0.4   |
| 农牧饲渔 | 000798 | 中水渔业 |  37.4  | -73.1  |  4.5  |   7.1   |   3.8   |
| 农牧饲渔 | 300967 | 晓鸣股份 |  37.1  |  67.9  |  2.5  |  -0.3   |   7.4   |
| 农牧饲渔 | 002688 | 金河生物 |  36.9  |  29.1  | -1.1  |  -4.1   |  -2.1   |
| 农牧饲渔 | 600354 | 敦煌种业 |  34.6  | 108.0  | -1.2  |  -2.2   |  -0.9   |
| 农牧饲渔 | 300511 | 雪榕生物 |  32.7  |  14.3  |  0.3  |  -2.7   |  -1.1   |
| 农牧饲渔 | 600359 | 新农开发 |  32.1  |  17.1  | -2.3  |  -0.7   |   2.3   |
| 农牧饲渔 | 002772 | 众兴菌业 |  28.1  |  49.7  | -1.9  |  -0.6   |   3.3   |
| 农牧饲渔 | 600540 | 新赛股份 |  27.4  | -39.5  | -3.7  |  -2.5   |  -1.1   |
| 农牧饲渔 | 002069 | ST獐子岛 |  27.4  | -37.3  |  0.5  |   0.8   |   1.6   |
| 农牧饲渔 | 603336 | 宏辉果蔬 |  27.3  |  48.5  | -0.5  |  -2.8   |   0.2   |
| 农牧饲渔 | 600257 | 大湖股份 |  25.8  | -49.0  | -0.7  |  -0.9   |   0.2   |
| 农牧饲渔 | 002679 | 福建金森 |  25.7  | -39.6  | -2.1  |   0.7   |   1.2   |
| 农牧饲渔 | 002696 | 百洋股份 |  24.1  |  91.0  | -3.4  |  -1.3   |  -5.3   |
| 农牧饲渔 | 301156 | 美农生物 |  23.8  |  40.3  |  2.2  |   0.0   |  -0.7   |
| 农牧饲渔 | 600097 | 开创国际 |  22.3  |  60.2  | -7.3  |  -6.7   |  -3.8   |
| 农牧饲渔 | 300970 | 华绿生物 |  21.4  |  20.0  |  0.6  |  -2.8   |  -3.2   |
| 农牧饲渔 | 300313 |  ST天山  |  20.7  | -110.1 | -0.6  |  -4.5   |  -3.6   |
| 农牧饲渔 | 300972 | 万辰生物 |  19.3  |  19.8  |  0.5  |  -2.6   |  -3.2   |
| 农牧饲渔 | 300106 | 西部牧业 |  19.2  | 209.8  | -1.5  |   0.6   |   2.2   |
| 农牧饲渔 | 600506 | 香梨股份 |  18.3  | -56.0  | -1.4  |  -3.8   |  -0.2   |
| 农牧饲渔 | 600265 | *ST景谷  |  17.2  | -160.0 |  0.8  |   1.7   |   0.1   |
| 农牧饲渔 | 002086 |  ST东洋  |  16.9  | -39.5  |  3.2  |   1.4   |  -3.0   |
| 农牧饲渔 | 000702 | 正虹科技 |  15.9  |  -8.9  | -1.8  |  -3.6   |  -0.3   |
| 农牧饲渔 | 002200 |  ST云投  |  14.9  | -17.2  | -2.6  |  -1.3   |   4.5   |
+----------+--------+----------+--------+--------+-------+---------+---------+
 




 [行业>单日涨幅]
+----------+--------+----------+--------+--------+-------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+-------+---------+---------+
| 农牧饲渔 | 000798 | 中水渔业 |  37.4  | -73.1  |  4.5  |   7.1   |   3.8   |
| 农牧饲渔 | 002086 |  ST东洋  |  16.9  | -39.5  |  3.2  |   1.4   |  -3.0   |
| 农牧饲渔 | 002746 | 仙坛股份 |  78.6  | -44.9  |  2.7  |  -0.8   |  -0.1   |
| 农牧饲渔 | 603668 | 天马科技 |  89.2  |  58.0  |  2.7  |   2.8   |   0.3   |
| 农牧饲渔 | 300967 | 晓鸣股份 |  37.1  |  67.9  |  2.5  |  -0.3   |   7.4   |
| 农牧饲渔 | 301156 | 美农生物 |  23.8  |  40.3  |  2.2  |   0.0   |  -0.7   |
| 农牧饲渔 | 300021 | 大禹节水 |  46.7  |  71.8  |  1.9  |   2.5   |   0.7   |
