[行业>市值]
+----------+--------+----------+--------+--------+-------+---------+---------+
|   行业   |  代码  |   名称   |  市值  |   pe   | 涨幅  | 3日涨幅 | 6日涨幅 |
+----------+--------+----------+--------+--------+-------+---------+---------+
| 食品饮料 | 603288 | 海天味业 | 3923.0 |  53.6  | -0.5  |  -0.1   |  -5.9   |
| 食品饮料 | 300999 |  金龙鱼  | 2690.0 | 587.3  | -1.2  |  -3.4   |  -6.6   |
| 食品饮料 | 600887 | 伊利股份 | 2310.0 |  16.4  |  0.4  |  -0.1   |  -2.5   |
| 食品饮料 | 000895 | 双汇发展 | 946.5  |  16.2  | -2.0  |  -3.0   |  -5.6   |
| 食品饮料 | 605499 | 东鹏饮料 | 637.4  |  46.2  |  1.0  |  -0.7   |  -2.8   |
| 食品饮料 | 603345 | 安井食品 | 429.8  |  52.6  | -4.3  |  -3.5   |  -4.2   |
| 食品饮料 | 600298 | 安琪酵母 | 390.7  |  31.2  | -1.0  |   0.1   |  -5.3   |
| 食品饮料 | 600873 | 梅花生物 | 382.7  |  8.3   |  0.6  |  -1.4   |  -1.5   |
| 食品饮料 | 300146 | 汤臣倍健 | 328.5  |  12.4  | -0.6  |  -5.3   |  -9.2   |
| 食品饮料 | 603517 | 绝味食品 | 298.8  |  83.9  | -2.8  |  -4.0   |  -6.0   |
| 食品饮料 | 603156 | 养元饮品 | 265.4  |  12.7  | -0.1  |  -1.3   |  -3.2   |
| 食品饮料 | 002507 | 涪陵榨菜 | 263.0  |  30.7  | -1.3  |  -4.4   |  -9.9   |
| 食品饮料 | 002557 | 洽洽食品 | 256.8  |  30.9  | -0.6  |  -0.3   |  -3.9   |
| 食品饮料 | 600872 | 中炬高新 | 248.4  |  39.2  | -0.2  |  -1.2   |  -5.9   |
| 食品饮料 | 600882 | 妙可蓝多 | 241.6  |  82.1  |  0.0  |   0.0   |   0.0   |
| 食品饮料 | 002597 | 金禾实业 | 239.4  |  13.5  |  2.2  |  -0.8   |  -1.0   |
| 食品饮料 | 603317 | 天味食品 | 197.6  |  49.2  | -0.8  |  -1.9   |  -6.6   |
| 食品饮料 | 603866 | 桃李面包 | 190.1  |  30.1  | -2.8  |  -5.9   |  -10.7  |
| 食品饮料 | 603235 | 天新药业 | 188.3  |  26.4  | -10.0 |  16.6   |  16.6   |
| 食品饮料 | 300741 | 华宝股份 | 171.7  |  19.9  |  0.1  |  -1.9   |  -6.3   |
| 食品饮料 | 600597 | 光明乳业 | 161.6  |  24.4  | -0.1  |  -1.8   |  -3.3   |
| 食品饮料 | 002216 | 三全食品 | 158.6  |  15.2  | -2.0  |  -5.8   |  -8.4   |
| 食品饮料 | 600737 | 中粮糖业 | 156.3  |  17.0  | -0.1  |  -0.7   |  -1.8   |
| 食品饮料 | 300973 | 立高食品 | 155.8  |  97.3  |  0.1  |  -1.6   |  -6.7   |
| 食品饮料 | 603027 | 千禾味业 | 148.8  |  67.3  | -0.8  |  -1.8   |  -5.4   |
| 食品饮料 | 002626 |  金达威  | 142.5  |  29.6  |  0.3  |  -1.2   |  -4.0   |
| 食品饮料 | 603043 | 广州酒家 | 127.3  |  60.6  | -1.3  |  -1.7   |  -4.5   |
| 食品饮料 | 600305 | 恒顺醋业 | 119.7  |  38.7  | -0.5  |  -0.8   |  -5.2   |
| 食品饮料 | 002847 | 盐津铺子 | 116.9  |  47.6  |  0.4  |  -3.5   |   0.4   |
| 食品饮料 | 002726 | 龙大美食 | 116.1  | 123.9  | -1.2  |  -2.4   |  -1.4   |
| 食品饮料 | 002840 | 华统股份 | 108.3  | -30.8  |  2.0  |   0.9   |  14.0   |
| 食品饮料 | 605339 | 南侨食品 | 103.1  |  48.6  |  3.9  |   0.8   |  -3.6   |
| 食品饮料 | 002481 | 双塔食品 |  99.8  |  48.5  | -0.1  |  -1.8   |   0.0   |
| 食品饮料 | 002946 |  新乳业  |  98.6  |  56.7  | -0.7  |  -2.6   |  -6.0   |
| 食品饮料 | 603719 | 良品铺子 |  97.2  |  26.1  | -1.5  |  -4.7   |  -8.5   |
| 食品饮料 | 300765 |  新诺威  |  95.3  |  21.5  |  3.4  |   5.8   |  23.1   |
| 食品饮料 | 000848 | 承德露露 |  94.0  |  10.0  | -0.5  |  -3.0   |  -5.5   |
| 食品饮料 | 300783 | 三只松鼠 |  87.8  |  13.6  | -0.9  |  -3.0   |  -4.4   |
| 食品饮料 | 301206 | 三元生物 |  87.2  |  34.7  |  0.7  |  -1.7   |  -5.4   |
| 食品饮料 | 600381 | 青海春天 |  86.2  | -91.5  |  3.8  |   6.9   |  25.0   |
| 食品饮料 | 300401 | 花园生物 |  85.5  |  14.1  | -1.6  |  -5.3   |  -8.3   |
| 食品饮料 | 301116 | 益客食品 |  84.1  | -25.0  |  0.5  |  -4.2   |  -4.2   |
| 食品饮料 | 605337 |  李子园  |  75.3  |  46.1  | -1.0  |   0.2   |  -3.9   |
| 食品饮料 | 600429 | 三元股份 |  74.8  |  45.0  |  0.2  |  -1.2   |  -1.2   |
| 食品饮料 | 600073 | 上海梅林 |  72.5  |  9.0   | -1.5  |  -3.1   |  -2.4   |
| 食品饮料 | 605198 | 德利股份 |  71.4  |  55.2  |  1.5  |   8.5   |  12.4   |
| 食品饮料 | 605338 | 巴比食品 |  70.9  | 1220.5 |  0.5  |  -0.3   |  -3.2   |
| 食品饮料 | 605388 | 均瑶健康 |  66.7  |  91.2  | -1.6  |  -0.6   |  -1.0   |
| 食品饮料 | 605089 |  味知香  |  64.5  |  45.2  | -1.0  |  -1.6   |   1.7   |
| 食品饮料 | 002991 | 甘源食品 |  61.6  |  68.4  | -0.6  |  -4.9   |  -6.1   |
| 食品饮料 | 605300 | 佳禾食品 |  59.4  |  86.2  | -0.6  |  -1.9   |  -4.5   |
| 食品饮料 | 002695 |  煌上煌  |  58.0  |  39.6  | -0.8  |  -4.8   |  -6.4   |
| 食品饮料 | 300829 | 金丹科技 |  55.2  |  31.9  |  1.8  |   2.1   |   0.0   |
| 食品饮料 | 600300 | 维维股份 |  55.2  |  45.5  | -1.2  |  -2.4   |  -2.4   |
| 食品饮料 | 300997 |  欢乐家  |  54.5  |  26.6  |  0.9  |  -2.0   |  -3.9   |
| 食品饮料 | 300791 | 仙乐健康 |  54.1  |  92.4  | -0.8  |  -4.5   |  -2.2   |
| 食品饮料 | 001318 | 阳光乳业 |  53.0  |  53.9  | -2.2  |  -1.6   |  -0.3   |
| 食品饮料 | 002570 |  贝因美  |  50.8  |  63.0  | -0.8  |  -3.9   |  -2.1   |
| 食品饮料 | 002330 |  得利斯  |  50.2  |  41.1  |  1.9  |  -3.5   |  -1.2   |
| 食品饮料 | 603711 |  香飘飘  |  50.1  | -21.0  | -0.7  |  -3.1   |  -4.2   |
| 食品饮料 | 002329 | 皇氏集团 |  48.8  |  15.9  |  2.6  |   0.7   |  -1.5   |
| 食品饮料 | 605077 | 华康股份 |  48.0  |  23.8  |  0.1  |  -1.2   |  -3.7   |
| 食品饮料 | 001215 | 千味央厨 |  46.1  |  40.1  |  0.1  |  -1.2   |  -5.3   |
| 食品饮料 | 605179 | 一鸣食品 |  45.9  | -28.7  | -1.8  |  -3.1   |  -5.8   |
| 食品饮料 | 600866 | 星湖科技 |  45.8  |  49.9  | -2.1  |  -2.7   |  -4.3   |
| 食品饮料 | 600186 | 莲花健康 |  45.6  |  77.7  | -1.9  |  -3.4   |  -1.2   |
| 食品饮料 | 600189 |  泉阳泉  |  45.6  | -96.8  |  1.4  |  -0.5   |   1.8   |
| 食品饮料 | 000639 | 西王食品 |  45.5  | -55.5  | -0.9  |  -2.8   |  -3.4   |
| 食品饮料 | 002650 | 加加食品 |  45.5  | 1182.9 | -1.2  |  -4.6   |  -7.3   |
| 食品饮料 | 688089 | XD嘉必优 |  45.2  |  48.7  |  5.6  |   8.4   |  15.8   |
| 食品饮料 | 605016 | 百龙创园 |  44.1  |  27.1  |  1.8  |  -2.4   |  -15.1  |
| 食品饮料 | 002852 |  道道全  |  43.6  | -20.2  |  0.0  |  -4.1   |  -5.2   |
| 食品饮料 | 603777 |  来伊份  |  43.0  |  11.6  | -0.2  |  -3.7   |  -6.2   |
| 食品饮料 | 002515 | 金字火腿 |  41.4  |  46.7  |  0.2  |  -1.9   |  -2.1   |
| 食品饮料 | 600419 | 天润乳业 |  40.7  |  28.8  | -0.9  |  -5.1   |  -6.9   |
| 食品饮料 | 603170 | 宝立食品 |  40.2  |  24.0  |  0.0  |   0.0   |   0.0   |
| 食品饮料 | 000529 | 广弘控股 |  39.7  |  19.9  | -2.2  |  -3.0   |   0.0   |
| 食品饮料 | 300915 | 海融科技 |  39.5  |  30.7  | -0.5  |  -2.0   |  -4.1   |
